@relation abalone
@attribute Sex {M, F, I}
@attribute Length real [0.075,  0.815]
@attribute Diameter real [0.055,  0.65]
@attribute Height real [0.0,  1.13]
@attribute Whole_weight real [0.0020,  2.8255]
@attribute Shucked_weight real [0.0010,  1.488]
@attribute Viscera_weight real [5.0E-4,  0.76]
@attribute Shell_weight real [0.0015,  1.005]
@attribute Rings {15, 7, 9, 10, 8, 20, 16, 19, 14, 11, 12, 18, 13, 5, 4, 6, 21, 17, 22, 1, 3, 26, 23, 29, 2, 27, 25, 24}
@data
F, 0.565, 0.44, 0.155, 0.9395, 0.4275, 0.214, 0.27, 12
M, 0.58, 0.47, 0.165, 0.9975, 0.3935, 0.242, 0.33, 10
F, 0.68, 0.56, 0.165, 1.639, 0.6055, 0.2805, 0.46, 15
I, 0.24, 0.175, 0.045, 0.07, 0.0315, 0.0235, 0.02, 5
I, 0.245, 0.19, 0.06, 0.086, 0.042, 0.014, 0.025, 4
M, 0.475, 0.355, 0.12, 0.48, 0.234, 0.1015, 0.135, 8
F, 0.595, 0.475, 0.17, 1.247, 0.48, 0.225, 0.425, 20
F, 0.555, 0.425, 0.14, 0.788, 0.282, 0.1595, 0.285, 11
F, 0.52, 0.425, 0.165, 0.9885, 0.396, 0.225, 0.32, 16
M, 0.555, 0.44, 0.15, 0.755, 0.307, 0.1525, 0.26, 12
M, 0.47, 0.375, 0.13, 0.523, 0.214, 0.132, 0.145, 8
F, 0.52, 0.41, 0.155, 0.727, 0.291, 0.1835, 0.235, 12
F, 0.53, 0.415, 0.115, 0.5915, 0.233, 0.1585, 0.18, 11
F, 0.56, 0.43, 0.15, 0.8825, 0.3465, 0.172, 0.31, 9
M, 0.71, 0.54, 0.165, 1.959, 0.7665, 0.261, 0.78, 18
I, 0.35, 0.26, 0.095, 0.211, 0.086, 0.056, 0.068, 7
M, 0.345, 0.255, 0.09, 0.2005, 0.094, 0.0295, 0.063, 9
M, 0.645, 0.485, 0.215, 1.514, 0.546, 0.2615, 0.635, 16
M, 0.605, 0.465, 0.165, 1.056, 0.4215, 0.2475, 0.34, 13
F, 0.605, 0.485, 0.16, 1.222, 0.53, 0.2575, 0.28, 13
F, 0.645, 0.51, 0.2, 1.5675, 0.621, 0.367, 0.46, 12
I, 0.355, 0.275, 0.085, 0.22, 0.092, 0.06, 0.15, 8
M, 0.5, 0.4, 0.165, 0.825, 0.254, 0.205, 0.285, 13
M, 0.335, 0.25, 0.09, 0.181, 0.0755, 0.0415, 0.06, 7
F, 0.445, 0.355, 0.15, 0.485, 0.181, 0.125, 0.155, 11
M, 0.6, 0.495, 0.165, 1.2415, 0.485, 0.2775, 0.34, 15
F, 0.46, 0.38, 0.13, 0.639, 0.3, 0.1525, 0.16, 11
M, 0.47, 0.39, 0.15, 0.6355, 0.2185, 0.0885, 0.255, 9
F, 0.535, 0.435, 0.16, 0.8105, 0.3155, 0.1795, 0.24, 10
M, 0.59, 0.45, 0.185, 1.283, 0.473, 0.276, 0.425, 16
I, 0.375, 0.305, 0.115, 0.2715, 0.092, 0.074, 0.09, 8
M, 0.63, 0.515, 0.16, 1.016, 0.4215, 0.244, 0.355, 19
F, 0.68, 0.58, 0.2, 1.787, 0.585, 0.453, 0.6, 19
M, 0.46, 0.38, 0.135, 0.482, 0.207, 0.1225, 0.145, 10
F, 0.47, 0.375, 0.125, 0.5615, 0.252, 0.137, 0.18, 10
F, 0.515, 0.415, 0.14, 0.6935, 0.3115, 0.152, 0.2, 10
F, 0.525, 0.44, 0.15, 0.8425, 0.3685, 0.1985, 0.24, 12
F, 0.67, 0.54, 0.165, 1.5015, 0.518, 0.358, 0.505, 14
F, 0.565, 0.49, 0.155, 0.9245, 0.405, 0.2195, 0.255, 11
M, 0.38, 0.285, 0.1, 0.2665, 0.115, 0.061, 0.075, 11
M, 0.655, 0.53, 0.195, 1.388, 0.567, 0.2735, 0.41, 13
M, 0.665, 0.54, 0.175, 1.347, 0.4955, 0.254, 0.415, 17
M, 0.54, 0.42, 0.135, 0.8075, 0.3485, 0.1795, 0.235, 11
M, 0.28, 0.2, 0.08, 0.0915, 0.033, 0.0215, 0.03, 5
F, 0.38, 0.29, 0.105, 0.257, 0.099, 0.051, 0.085, 10
I, 0.525, 0.405, 0.15, 0.795, 0.3075, 0.205, 0.255, 14
F, 0.44, 0.34, 0.105, 0.364, 0.148, 0.0805, 0.1175, 8
I, 0.45, 0.345, 0.135, 0.443, 0.1975, 0.0875, 0.1175, 14
F, 0.61, 0.475, 0.14, 1.133, 0.5275, 0.2355, 0.35, 11
I, 0.45, 0.35, 0.145, 0.525, 0.2085, 0.1, 0.1655, 15
