@relation page-blocks
@attribute Height integer [1,  804]
@attribute Lenght integer [1,  553]
@attribute Area integer [7,  143993]
@attribute Eccen real [0.0070,  537.0]
@attribute P_black real [0.052,  1.0]
@attribute P_and real [0.062,  1.0]
@attribute Mean_tr real [1.0,  4955.0]
@attribute Blackpix integer [1,  33017]
@attribute Blackand integer [7,  46133]
@attribute Wb_trans integer [1,  3212]
@attribute Class {1, 2, 3, 4, 5}
@data
6, 18, 108, 3.0, 0.287, 0.741, 4.43, 31, 80, 7, 1
4, 6, 24, 1.5, 0.458, 0.792, 5.5, 11, 19, 2, 1
13, 25, 325, 1.923, 0.351, 0.68, 6.0, 114, 221, 19, 1
7, 16, 112, 2.286, 0.321, 0.643, 2.57, 36, 72, 14, 1
7, 103, 721, 14.714, 0.295, 0.691, 1.76, 213, 498, 121, 1
11, 9, 99, 0.818, 0.343, 0.626, 3.4, 34, 62, 10, 1
3, 113, 339, 37.667, 0.41, 0.472, 13.9, 139, 160, 10, 2
10, 98, 980, 9.8, 0.379, 0.835, 2.22, 371, 818, 167, 1
2, 22, 44, 11.0, 0.75, 0.75, 33.0, 33, 33, 1, 2
9, 90, 810, 10.0, 0.26, 0.786, 2.18, 211, 637, 97, 1
1, 13, 13, 13.0, 1.0, 1.0, 13.0, 13, 13, 1, 2
11, 20, 220, 1.818, 0.168, 0.75, 3.36, 37, 165, 11, 1
9, 13, 117, 1.444, 0.239, 0.462, 4.67, 28, 54, 6, 1
7, 107, 749, 15.286, 0.27, 0.654, 1.6, 202, 490, 126, 1
9, 95, 855, 10.556, 0.285, 0.723, 2.1, 244, 618, 116, 1
9, 35, 315, 3.889, 0.263, 0.667, 2.86, 83, 210, 29, 1
1, 75, 75, 75.0, 0.813, 1.0, 5.55, 61, 75, 11, 2
5, 8, 40, 1.6, 0.35, 0.675, 4.67, 14, 27, 3, 1
1, 13, 13, 13.0, 0.692, 1.0, 4.5, 9, 13, 2, 2
94, 2, 188, 0.021, 0.516, 0.516, 97.0, 97, 97, 1, 4
10, 81, 810, 8.1, 0.279, 0.81, 2.11, 226, 656, 107, 1
9, 82, 738, 9.111, 0.329, 0.871, 2.11, 243, 643, 115, 1
11, 84, 924, 7.636, 0.251, 0.681, 1.77, 232, 629, 131, 1
11, 115, 1265, 10.455, 0.266, 0.723, 1.79, 337, 915, 188, 1
4, 2, 8, 0.5, 0.875, 0.875, 7.0, 7, 7, 1, 4
8, 46, 368, 5.75, 0.348, 0.918, 1.97, 128, 338, 65, 1
8, 41, 328, 5.125, 0.424, 0.966, 2.53, 139, 317, 55, 1
2, 236, 472, 118.0, 0.566, 0.689, 10.27, 267, 325, 26, 2
8, 14, 112, 1.75, 0.223, 0.661, 3.57, 25, 74, 7, 1
9, 80, 720, 8.889, 0.338, 0.954, 2.04, 243, 687, 119, 1
9, 120, 1080, 13.333, 0.331, 0.859, 1.98, 358, 928, 181, 1
11, 35, 385, 3.182, 0.335, 0.584, 4.78, 129, 225, 27, 1
9, 21, 189, 2.333, 0.529, 0.958, 3.33, 100, 181, 30, 1
10, 53, 530, 5.3, 0.34, 0.9, 1.82, 180, 477, 99, 1
10, 40, 400, 4.0, 0.338, 0.878, 1.9, 135, 351, 71, 1
8, 82, 656, 10.25, 0.288, 0.997, 1.99, 189, 654, 95, 1
11, 13, 143, 1.182, 0.42, 0.979, 2.22, 60, 140, 27, 1
11, 8, 88, 0.727, 0.25, 1.0, 2.44, 22, 88, 9, 1
11, 43, 473, 3.909, 0.334, 0.875, 2.47, 158, 414, 64, 1
9, 75, 675, 8.333, 0.396, 0.914, 2.21, 267, 617, 121, 1
9, 121, 1089, 13.444, 0.356, 0.817, 2.2, 388, 890, 176, 1
10, 40, 400, 4.0, 0.428, 0.895, 3.05, 171, 358, 56, 1
14, 340, 4760, 24.286, 0.259, 0.592, 2.45, 1232, 2819, 503, 1
12, 8, 96, 0.667, 0.615, 0.969, 5.9, 59, 93, 10, 1
17, 2, 34, 0.118, 0.706, 0.706, 24.0, 24, 24, 1, 4
11, 118, 1298, 10.727, 0.348, 0.797, 2.71, 452, 1035, 167, 1
9, 41, 369, 4.556, 0.507, 0.992, 3.28, 187, 366, 57, 1
1, 29, 29, 29.0, 0.586, 1.0, 2.13, 17, 29, 8, 2
7, 31, 217, 4.429, 0.295, 0.857, 1.64, 64, 186, 39, 1
6, 17, 102, 2.833, 0.314, 0.686, 2.29, 32, 70, 14, 1
10, 49, 490, 4.9, 0.59, 0.982, 3.11, 289, 481, 93, 1
9, 34, 306, 3.778, 0.412, 0.902, 1.91, 126, 276, 66, 1
9, 82, 738, 9.111, 0.37, 0.924, 2.39, 273, 682, 114, 1
12, 8, 96, 0.667, 0.302, 1.0, 2.9, 29, 96, 10, 1
10, 86, 860, 8.6, 0.326, 0.844, 1.85, 280, 726, 151, 1
10, 48, 480, 4.8, 0.331, 0.742, 2.37, 159, 356, 67, 1
1, 40, 40, 40.0, 0.875, 1.0, 11.67, 35, 40, 3, 2
6, 13, 78, 2.167, 0.128, 0.577, 1.67, 10, 45, 6, 1
10, 8, 80, 0.8, 0.4, 0.7, 4.0, 32, 56, 8, 1
8, 24, 192, 3.0, 0.297, 0.974, 1.43, 57, 187, 40, 1
8, 17, 136, 2.125, 0.309, 0.676, 2.33, 42, 92, 18, 1
9, 82, 738, 9.111, 0.309, 0.778, 1.93, 228, 574, 118, 1
10, 63, 630, 6.3, 0.251, 0.898, 1.84, 158, 566, 86, 1
9, 34, 306, 3.778, 0.363, 0.863, 1.76, 111, 264, 63, 1
1, 11, 11, 11.0, 0.727, 1.0, 4.0, 8, 11, 2, 2
1, 17, 17, 17.0, 0.824, 1.0, 4.67, 14, 17, 3, 2
7, 121, 847, 17.286, 0.305, 0.675, 1.79, 258, 572, 144, 1
10, 38, 380, 3.8, 0.424, 0.939, 2.78, 161, 357, 58, 1
9, 36, 324, 4.0, 0.506, 0.91, 2.93, 164, 295, 56, 1
9, 13, 117, 1.444, 0.103, 0.752, 4.0, 12, 88, 3, 2
9, 52, 468, 5.778, 0.37, 0.996, 1.71, 173, 466, 101, 1
10, 46, 460, 4.6, 0.363, 0.843, 2.01, 167, 388, 83, 1
9, 9, 81, 1.0, 0.383, 0.802, 2.38, 31, 65, 13, 1
1, 42, 42, 42.0, 0.31, 1.0, 2.6, 13, 42, 5, 2
2, 176, 352, 88.0, 0.528, 0.605, 31.0, 186, 213, 6, 2
2, 52, 104, 26.0, 0.144, 0.702, 2.5, 15, 73, 6, 1
5, 44, 220, 8.8, 0.241, 0.791, 2.52, 53, 174, 21, 1
2, 14, 28, 7.0, 0.286, 0.821, 8.0, 8, 23, 1, 2
7, 123, 861, 17.571, 0.265, 0.626, 1.66, 228, 539, 137, 1
12, 8, 96, 0.667, 0.51, 0.927, 7.0, 49, 89, 7, 1
11, 8, 88, 0.727, 0.716, 1.0, 7.88, 63, 88, 8, 1
9, 12, 108, 1.333, 0.38, 1.0, 1.46, 41, 108, 28, 1
11, 101, 1111, 9.182, 0.267, 0.849, 1.72, 297, 943, 173, 1
9, 42, 378, 4.667, 0.347, 0.915, 2.34, 131, 346, 56, 1
19, 455, 8645, 23.947, 0.081, 0.095, 33.48, 703, 821, 21, 1
8, 23, 184, 2.875, 0.255, 1.0, 2.14, 47, 184, 22, 1
8, 15, 120, 1.875, 0.258, 0.683, 3.88, 31, 82, 8, 1
8, 14, 112, 1.75, 0.277, 0.643, 2.82, 31, 72, 11, 1
6, 2, 12, 0.333, 0.667, 1.0, 8.0, 8, 12, 1, 1
10, 7, 70, 0.7, 0.429, 0.429, 30.0, 30, 30, 1, 1
9, 12, 108, 1.333, 0.407, 0.898, 1.63, 44, 97, 27, 1
11, 101, 1111, 9.182, 0.253, 0.77, 1.71, 281, 856, 164, 1
1, 73, 73, 73.0, 0.616, 1.0, 3.75, 45, 73, 12, 2
8, 21, 168, 2.625, 0.363, 0.774, 1.69, 61, 130, 36, 1
8, 46, 368, 5.75, 0.356, 0.927, 2.11, 131, 341, 62, 1
9, 93, 837, 10.333, 0.259, 0.895, 1.74, 217, 749, 125, 1
13, 106, 1378, 8.154, 0.306, 0.688, 2.37, 422, 948, 178, 1
5, 17, 85, 3.4, 0.471, 0.929, 2.35, 40, 79, 17, 1
8, 72, 576, 9.0, 0.399, 0.811, 2.25, 230, 467, 102, 1
10, 108, 1080, 10.8, 0.297, 0.831, 1.84, 321, 897, 174, 1
13, 409, 5317, 31.462, 0.267, 0.582, 2.23, 1421, 3095, 637, 1
6, 100, 600, 16.667, 0.345, 0.795, 1.68, 207, 477, 123, 1
12, 84, 1008, 7.0, 0.331, 0.792, 2.35, 334, 798, 142, 1
11, 35, 385, 3.182, 0.351, 0.652, 2.25, 135, 251, 60, 1
9, 42, 378, 4.667, 0.378, 0.841, 2.65, 143, 318, 54, 1
13, 147, 1911, 11.308, 0.358, 0.703, 3.6, 684, 1343, 190, 1
12, 128, 1536, 10.667, 0.339, 0.737, 2.91, 520, 1132, 179, 1
12, 410, 4920, 34.167, 0.324, 0.706, 2.47, 1595, 3474, 645, 1
8, 69, 552, 8.625, 0.415, 0.984, 2.16, 229, 543, 106, 1
9, 106, 954, 11.778, 0.309, 0.791, 1.97, 295, 755, 150, 1
6, 29, 174, 4.833, 0.356, 0.684, 1.88, 62, 119, 33, 1
9, 37, 333, 4.111, 0.517, 0.934, 2.82, 172, 311, 61, 1
10, 54, 540, 5.4, 0.378, 0.622, 3.14, 204, 336, 65, 1
22, 71, 1562, 3.227, 0.536, 0.876, 11.64, 838, 1368, 72, 1
5, 43, 215, 8.6, 0.265, 0.786, 1.33, 57, 169, 43, 1
36, 96, 3456, 2.667, 0.096, 0.207, 7.7, 331, 717, 43, 5
