@relation penbased
@Attribute At1 integer [0,  100]
@Attribute At2 integer [0,  100]
@Attribute At3 integer [0,  100]
@Attribute At4 integer [0,  100]
@Attribute At5 integer [0,  100]
@Attribute At6 integer [0,  100]
@Attribute At7 integer [0,  100]
@Attribute At8 integer [0,  100]
@Attribute At9 integer [0,  100]
@Attribute At10 integer [0,  100]
@Attribute At11 integer [0,  100]
@Attribute At12 integer [0,  100]
@Attribute At13 integer [0,  100]
@Attribute At14 integer [0,  100]
@Attribute At15 integer [0,  100]
@Attribute At16 integer [0,  100]
@Attribute Class {0,1,2,3,4,5,6,7,8,9}
@data
0, 57, 31, 68, 72, 90, 100, 100, 76, 75, 50, 51, 28, 25, 16, 0, 1
74, 87, 31, 100, 0, 69, 62, 64, 100, 79, 100, 38, 84, 0, 18, 1, 9
24, 66, 43, 100, 59, 65, 34, 28, 0, 1, 16, 11, 58, 0, 100, 1, 2
11, 100, 0, 69, 15, 43, 87, 47, 100, 65, 74, 67, 71, 33, 66, 0, 4
61, 59, 58, 100, 0, 84, 44, 42, 80, 0, 8, 5, 33, 44, 100, 70, 8
40, 99, 51, 66, 79, 26, 39, 0, 0, 27, 8, 77, 46, 100, 100, 94, 5
77, 97, 40, 100, 0, 59, 9, 29, 84, 33, 100, 64, 77, 44, 48, 0, 4
0, 83, 29, 100, 88, 95, 64, 69, 73, 43, 100, 13, 50, 1, 10, 0, 3
18, 73, 0, 73, 10, 24, 54, 0, 100, 22, 95, 71, 52, 100, 5, 84, 0
18, 88, 2, 54, 40, 25, 2, 0, 0, 30, 20, 70, 45, 100, 100, 93, 5
39, 100, 23, 82, 0, 52, 1, 21, 48, 0, 100, 16, 70, 42, 6, 55, 6
0, 60, 38, 80, 80, 100, 100, 92, 80, 69, 65, 46, 55, 23, 55, 0, 1
100, 100, 63, 78, 28, 53, 0, 27, 4, 0, 60, 1, 78, 22, 24, 21, 6
9, 100, 0, 66, 20, 25, 61, 0, 100, 21, 93, 64, 54, 91, 9, 76, 0
43, 94, 15, 66, 52, 38, 20, 0, 5, 35, 0, 83, 42, 100, 100, 98, 5
73, 98, 35, 100, 0, 59, 0, 13, 71, 8, 100, 45, 29, 41, 9, 0, 6
15, 73, 0, 34, 30, 0, 81, 1, 100, 38, 87, 78, 44, 100, 16, 68, 0
7, 100, 0, 56, 51, 37, 39, 0, 9, 15, 5, 62, 42, 92, 100, 96, 5
44, 66, 67, 100, 80, 62, 47, 25, 5, 0, 0, 3, 50, 4, 100, 7, 2
84, 100, 59, 99, 16, 72, 0, 42, 20, 12, 100, 0, 94, 22, 4, 27, 6
0, 42, 30, 56, 59, 72, 86, 94, 100, 100, 80, 68, 62, 35, 53, 0, 1
29, 38, 61, 60, 92, 83, 100, 100, 73, 76, 49, 50, 25, 25, 0, 0, 1
0, 63, 41, 77, 79, 94, 100, 100, 85, 74, 75, 48, 71, 22, 82, 0, 1
0, 70, 63, 80, 90, 100, 100, 89, 100, 67, 92, 44, 84, 22, 71, 0, 1
0, 61, 22, 89, 59, 100, 72, 73, 53, 42, 31, 12, 58, 0, 100, 4, 2
78, 85, 65, 66, 100, 25, 49, 0, 15, 29, 58, 67, 66, 100, 0, 84, 8
69, 100, 31, 73, 39, 55, 89, 62, 100, 84, 63, 57, 31, 28, 0, 0, 4
39, 80, 21, 60, 35, 19, 12, 0, 0, 31, 16, 72, 51, 98, 100, 100, 5
80, 100, 60, 76, 26, 52, 0, 28, 46, 11, 97, 29, 100, 24, 100, 0, 4
91, 100, 66, 88, 31, 58, 15, 26, 50, 0, 100, 17, 67, 45, 0, 47, 6
49, 54, 100, 78, 65, 100, 0, 82, 12, 60, 90, 64, 95, 33, 86, 0, 9
13, 78, 45, 100, 97, 87, 69, 58, 76, 47, 100, 15, 49, 0, 0, 19, 3
42, 100, 34, 73, 0, 42, 2, 42, 62, 36, 100, 59, 92, 35, 87, 0, 4
24, 66, 100, 89, 30, 66, 88, 32, 34, 0, 0, 34, 61, 72, 77, 100, 8
0, 89, 28, 100, 64, 85, 43, 61, 9, 44, 23, 21, 62, 11, 100, 0, 2
100, 100, 75, 83, 43, 57, 20, 28, 31, 0, 77, 6, 48, 24, 0, 24, 6
11, 50, 0, 16, 38, 0, 79, 8, 100, 46, 76, 84, 37, 100, 0, 84, 0
97, 66, 77, 100, 8, 96, 0, 67, 69, 72, 100, 73, 92, 36, 86, 0, 9
89, 100, 56, 85, 0, 62, 44, 50, 100, 54, 82, 77, 52, 38, 20, 0, 4
39, 76, 74, 40, 83, 2, 11, 0, 50, 35, 100, 67, 73, 100, 0, 81, 8
23, 63, 31, 100, 64, 84, 54, 45, 28, 10, 0, 5, 50, 3, 100, 0, 2
54, 100, 28, 76, 5, 51, 0, 28, 66, 27, 100, 49, 82, 25, 69, 0, 4
0, 98, 40, 100, 78, 88, 59, 42, 32, 0, 28, 14, 47, 41, 100, 42, 7
99, 100, 61, 78, 37, 40, 41, 0, 99, 0, 100, 33, 47, 50, 0, 28, 6
42, 79, 67, 100, 78, 79, 71, 60, 100, 39, 85, 10, 41, 0, 0, 14, 3
0, 65, 37, 82, 82, 100, 100, 90, 86, 65, 70, 39, 55, 14, 49, 0, 1
100, 81, 55, 54, 0, 63, 23, 95, 84, 100, 94, 64, 74, 29, 35, 0, 9
0, 95, 51, 100, 91, 86, 81, 45, 68, 5, 55, 0, 46, 34, 100, 33, 7
68, 100, 50, 79, 15, 51, 0, 47, 54, 38, 100, 49, 91, 35, 87, 0, 4
0, 90, 47, 100, 65, 69, 48, 31, 37, 0, 14, 34, 49, 40, 100, 39, 7
81, 90, 29, 82, 0, 42, 10, 0, 70, 16, 100, 56, 96, 100, 47, 82, 0
78, 99, 0, 100, 17, 63, 57, 28, 47, 0, 7, 31, 45, 65, 100, 95, 8
43, 75, 61, 100, 94, 86, 75, 47, 43, 14, 0, 2, 49, 0, 100, 1, 2
100, 100, 65, 85, 33, 64, 10, 39, 0, 11, 35, 0, 54, 22, 10, 24, 6
27, 100, 34, 93, 0, 62, 25, 44, 100, 44, 91, 65, 68, 32, 51, 0, 4
18, 97, 35, 100, 0, 76, 0, 53, 64, 54, 100, 53, 75, 27, 66, 0, 4
48, 77, 19, 66, 0, 6, 49, 0, 93, 38, 100, 96, 48, 100, 0, 70, 0
19, 81, 53, 100, 68, 79, 49, 52, 95, 38, 100, 9, 50, 0, 0, 7, 3
0, 79, 19, 100, 60, 93, 59, 64, 41, 38, 19, 12, 54, 1, 100, 0, 2
14, 70, 46, 100, 48, 78, 41, 36, 21, 0, 0, 3, 50, 1, 100, 1, 1
19, 100, 61, 98, 62, 56, 50, 14, 29, 0, 0, 35, 50, 40, 100, 39, 7
38, 83, 40, 53, 55, 14, 11, 0, 0, 30, 10, 71, 52, 92, 100, 100, 5
82, 97, 35, 100, 0, 67, 0, 25, 45, 2, 100, 10, 61, 23, 14, 0, 6
66, 91, 100, 100, 90, 89, 53, 77, 29, 52, 58, 30, 38, 4, 0, 0, 5
0, 83, 35, 100, 71, 91, 63, 46, 57, 0, 40, 17, 60, 34, 100, 34, 7
35, 100, 1, 77, 0, 57, 86, 62, 100, 77, 48, 81, 22, 41, 6, 0, 4
64, 100, 21, 74, 0, 38, 17, 3, 72, 0, 100, 31, 59, 51, 6, 39, 6
0, 68, 38, 78, 91, 96, 100, 100, 78, 75, 62, 49, 59, 24, 81, 0, 1
70, 91, 25, 69, 0, 35, 6, 0, 58, 0, 97, 25, 100, 63, 85, 100, 0
25, 91, 61, 100, 74, 75, 44, 55, 94, 43, 100, 16, 53, 0, 0, 6, 3
28, 94, 96, 100, 83, 94, 22, 76, 50, 64, 100, 41, 66, 9, 0, 0, 5
0, 61, 36, 82, 78, 100, 100, 95, 76, 71, 49, 47, 24, 23, 22, 0, 1
54, 92, 5, 69, 51, 52, 50, 3, 0, 0, 12, 43, 45, 86, 100, 100, 5
45, 87, 41, 100, 89, 96, 54, 65, 68, 55, 100, 26, 60, 0, 0, 3, 3
0, 78, 40, 100, 80, 86, 70, 42, 40, 7, 14, 0, 56, 18, 100, 3, 2
62, 100, 37, 81, 14, 55, 0, 28, 55, 24, 100, 45, 66, 27, 58, 0, 4
0, 76, 42, 100, 51, 91, 43, 52, 46, 13, 100, 7, 71, 2, 31, 0, 1
37, 100, 48, 71, 0, 44, 63, 37, 100, 37, 89, 63, 80, 29, 74, 0, 4
53, 81, 86, 100, 98, 69, 83, 37, 52, 9, 0, 3, 47, 0, 100, 2, 2
63, 98, 95, 76, 93, 100, 61, 74, 100, 81, 99, 33, 67, 0, 0, 4, 9
87, 100, 51, 81, 0, 45, 74, 46, 100, 66, 89, 90, 78, 44, 60, 0, 4
64, 92, 100, 100, 85, 98, 47, 80, 70, 54, 82, 18, 43, 0, 0, 13, 5
16, 100, 11, 71, 5, 39, 29, 11, 85, 11, 100, 28, 46, 18, 0, 0, 6
29, 100, 16, 77, 0, 41, 70, 34, 100, 64, 89, 67, 57, 34, 26, 0, 4
27, 84, 58, 100, 76, 68, 57, 34, 16, 13, 0, 9, 50, 5, 100, 0, 2
10, 71, 57, 100, 91, 76, 65, 37, 30, 0, 0, 11, 30, 31, 100, 33, 7
41, 81, 63, 100, 82, 75, 52, 47, 100, 46, 98, 17, 46, 0, 0, 9, 3
93, 69, 100, 100, 44, 95, 12, 68, 68, 69, 80, 46, 50, 17, 0, 0, 9
9, 100, 9, 77, 0, 46, 2, 22, 81, 29, 100, 35, 56, 31, 59, 0, 4
69, 90, 33, 100, 63, 76, 70, 98, 100, 61, 98, 16, 51, 0, 0, 10, 9
55, 89, 52, 100, 0, 71, 16, 53, 100, 60, 100, 65, 57, 33, 27, 0, 4
0, 79, 65, 71, 100, 100, 27, 90, 3, 62, 78, 68, 70, 41, 35, 0, 9
95, 85, 100, 100, 61, 71, 41, 36, 50, 0, 93, 3, 58, 30, 0, 26, 6
16, 100, 9, 84, 0, 59, 30, 40, 86, 49, 100, 47, 75, 24, 63, 0, 4
100, 100, 59, 82, 25, 57, 0, 28, 14, 0, 59, 14, 46, 39, 0, 30, 6
45, 72, 18, 100, 0, 64, 64, 33, 98, 0, 7, 5, 26, 41, 100, 68, 8
100, 94, 40, 100, 0, 68, 43, 35, 92, 5, 23, 0, 3, 34, 46, 68, 8
34, 100, 32, 100, 8, 64, 0, 27, 41, 0, 100, 10, 76, 42, 19, 60, 6
0, 93, 43, 100, 93, 90, 89, 63, 60, 39, 28, 17, 44, 0, 100, 4, 2
0, 76, 63, 91, 100, 100, 90, 80, 73, 60, 57, 40, 50, 20, 60, 0, 1
39, 96, 14, 77, 0, 36, 25, 0, 78, 4, 100, 43, 77, 82, 28, 100, 0
17, 85, 51, 100, 83, 82, 55, 53, 59, 39, 100, 20, 55, 0, 0, 3, 3
12, 67, 42, 36, 57, 4, 12, 0, 0, 38, 12, 73, 55, 87, 100, 100, 5
97, 100, 53, 77, 32, 44, 39, 9, 90, 0, 100, 31, 51, 49, 0, 36, 6
28, 88, 75, 100, 100, 99, 51, 87, 8, 70, 32, 45, 47, 12, 0, 0, 5
0, 100, 37, 94, 47, 55, 46, 15, 37, 0, 6, 29, 53, 34, 100, 37, 7
0, 90, 67, 100, 85, 68, 65, 34, 40, 0, 4, 16, 14, 40, 100, 44, 7
54, 63, 100, 76, 80, 100, 43, 75, 51, 35, 47, 0, 0, 16, 27, 46, 8
100, 100, 63, 85, 83, 78, 93, 84, 90, 52, 77, 23, 45, 0, 0, 2, 9
88, 100, 53, 84, 77, 69, 100, 86, 88, 60, 73, 35, 43, 13, 0, 0, 9
0, 100, 55, 98, 100, 80, 98, 51, 80, 22, 72, 0, 91, 28, 71, 43, 7
39, 59, 74, 78, 100, 100, 76, 77, 62, 51, 57, 24, 38, 0, 0, 2, 1
46, 95, 0, 94, 18, 100, 94, 92, 59, 61, 4, 32, 49, 7, 100, 0, 2
0, 54, 50, 76, 80, 100, 60, 82, 52, 57, 60, 33, 88, 9, 100, 0, 1
