@relation segment
@attribute Region-centroid-col real [1.0,  254.0]
@attribute Region-centroid-row real [11.0,  251.0]
@attribute Region-pixel-count real [9.0,  10.0]
@attribute Short-line-density-5 real [0.0,  0.33333334]
@attribute Short-line-density-2 real [0.0,  0.22222222]
@attribute Vedge-mean real [0.0,  29.222221]
@attribute Vegde-sd real [0.0,  991.7184]
@attribute Hedge-mean real [0.0,  44.722225]
@attribute Hedge-sd real [-1.5894573E-8,  1386.3292]
@attribute Intensity-mean real [0.0,  143.44444]
@attribute Rawred-mean real [0.0,  137.11111]
@attribute Rawblue-mean real [0.0,  150.88889]
@attribute Rawgreen-mean real [0.0,  142.55556]
@attribute Exred-mean real [-49.666668,  9.888889]
@attribute Exblue-mean real [-12.444445,  82.0]
@attribute Exgreen-mean real [-33.88889,  24.666666]
@attribute Value-mean real [0.0,  150.88889]
@attribute Saturatoin-mean real [0.0,  1.0]
@attribute Hue-mean real [-3.0441751,  2.9124804]
@attribute Class {1, 2, 3, 4, 5, 6, 7}
@data
218.0, 178.0, 9.0, 0.11111111, 0.0, 0.8333327, 0.54772234, 1.1111094, 0.5443307, 59.62963, 52.444443, 75.22222, 51.22222, -21.555555, 46.77778, -25.222221, 75.22222, 0.31899637, -2.0405545, 6
29.0, 111.0, 9.0, 0.0, 0.0, 0.38888884, 0.24074061, 0.6111111, 0.15185188, 5.4074073, 6.888889, 6.3333335, 3.0, 4.4444447, 2.7777777, -7.2222223, 6.888889, 0.56415343, -0.89785874, 1
1.0, 81.0, 9.0, 0.0, 0.0, 12.166667, 267.45554, 9.222222, 205.36296, 21.333334, 14.0, 30.555555, 19.444445, -22.0, 27.666666, -5.6666665, 30.555555, 0.5952822, -2.438409, 3
207.0, 115.0, 9.0, 0.0, 0.0, 1.0555555, 0.3296295, 0.16666669, 0.033333343, 1.2222222, 0.44444445, 2.8888888, 0.33333334, -2.3333333, 5.0, -2.6666667, 2.8888888, 0.93333334, -2.0655363, 5
214.0, 246.0, 9.0, 0.0, 0.0, 2.8333328, 1.9177537, 2.9999993, 1.988857, 17.518518, 14.222222, 15.444445, 22.88889, -9.888889, -6.2222223, 16.11111, 22.88889, 0.39154765, 2.2328491, 7
245.0, 249.0, 9.0, 0.0, 0.0, 2.0, 1.2888895, 1.4999999, 0.61111146, 14.740741, 10.777778, 15.333333, 18.11111, -11.888889, 1.7777778, 10.111111, 18.11111, 0.40621215, 2.7435553, 7
121.0, 60.0, 9.0, 0.0, 0.0, 2.277778, 2.329629, 2.888889, 2.8740742, 26.74074, 24.666666, 35.22222, 20.333334, -6.2222223, 25.444445, -19.222221, 35.22222, 0.4223002, -1.776113, 1
90.0, 101.0, 9.0, 0.11111111, 0.0, 0.8888893, 0.3851848, 1.7222223, 1.8851866, 20.074074, 20.333334, 25.0, 14.888889, 0.7777778, 14.777778, -15.555555, 25.0, 0.40403765, -1.5201249, 1
180.0, 224.0, 9.0, 0.0, 0.0, 3.7222223, 3.7074065, 3.6111107, 5.618522, 15.185185, 11.666667, 13.333333, 20.555555, -10.555555, -5.5555553, 16.11111, 20.555555, 0.4433746, 2.2982552, 7
112.0, 90.0, 9.0, 0.0, 0.0, 7.38889, 6.9455557, 1.2777773, 0.87981415, 65.18519, 57.666668, 79.77778, 58.11111, -22.555555, 43.77778, -21.222221, 79.77778, 0.27834544, -2.108813, 4
37.0, 120.0, 9.0, 0.0, 0.0, 0.83333325, 0.3444444, 1.0555556, 0.46296284, 1.925926, 0.22222222, 4.4444447, 1.1111112, -5.111111, 7.5555553, -2.4444444, 4.4444447, 0.962963, -2.298085, 3
54.0, 140.0, 9.0, 0.11111111, 0.0, 0.72222215, 0.4430532, 1.7777777, 1.0470418, 8.333333, 3.7777777, 14.0, 7.2222223, -13.666667, 17.0, -3.3333333, 14.0, 0.73447025, -2.4423232, 3
48.0, 81.0, 9.0, 0.0, 0.0, 0.6111107, 0.24074274, 0.88889056, 0.42962864, 112.92593, 105.666664, 128.88889, 104.22222, -21.777779, 47.88889, -26.11111, 128.88889, 0.19307978, -2.0334873, 2
235.0, 196.0, 9.0, 0.0, 0.0, 1.6666666, 1.333334, 2.222222, 1.1482682, 47.25926, 41.77778, 58.555557, 41.444443, -16.444445, 33.88889, -17.444445, 58.555557, 0.29423782, -2.0746155, 6
147.0, 87.0, 9.0, 0.0, 0.0, 6.8333335, 6.6189947, 1.5555567, 1.6953089, 43.333332, 37.88889, 54.88889, 37.22222, -16.333334, 34.666668, -18.333334, 54.88889, 0.319706, -2.050388, 4
211.0, 107.0, 9.0, 0.11111111, 0.0, 2.5555556, 2.251853, 2.0555558, 2.818519, 16.74074, 11.777778, 25.777779, 12.666667, -14.888889, 27.11111, -12.222222, 25.777779, 0.5471734, -2.1594636, 5
