@relation twonorm
@attribute A1 real [-4.2497,  3.5782]
@attribute A2 real [-3.9606,  4.3451]
@attribute A3 real [-4.4798,  4.4039]
@attribute A4 real [-3.8891,  4.2589]
@attribute A5 real [-3.9099,  5.6395]
@attribute A6 real [-4.0095,  3.9901]
@attribute A7 real [-3.7334,  4.4522]
@attribute A8 real [-4.5744,  3.8648]
@attribute A9 real [-3.8136,  4.254]
@attribute A10 real [-4.1999,  4.0829]
@attribute A11 real [-3.9204,  4.0953]
@attribute A12 real [-3.8262,  4.3025]
@attribute A13 real [-3.9451,  3.7817]
@attribute A14 real [-3.8516,  4.1238]
@attribute A15 real [-3.6978,  3.5485]
@attribute A16 real [-3.6976,  4.2439]
@attribute A17 real [-3.9428,  3.7233]
@attribute A18 real [-4.0653,  4.0557]
@attribute A19 real [-4.1218,  4.3238]
@attribute A20 real [-3.7831,  4.279]
@attribute Class {0, 1}
@data
0.1713, -0.1669, -0.4155, -0.9974, -0.9459, -1.2382, -1.4933, -0.3869, 0.645, -0.6253, -0.9652, -2.4557, -0.5912, -0.9731, -1.657, -2.0039, -1.3395, -1.1801, 1.3244, 0.0202, 1
-1.6787, -1.7165, -1.7605, -0.7118, -0.9282, -1.0667, -0.3491, -0.7272, -1.7985, -0.5027, 0.5124, -0.5739, 1.2052, 0.8229, 1.0856, -0.0754, -0.3115, -0.8571, -2.8611, -0.4501, 1
-1.4109, 0.535, 0.3639, -0.5772, -0.0547, -1.9344, -2.1996, -1.4273, -1.1568, 1.2674, -0.9255, -0.8467, 0.1303, 0.0052, -0.3814, 0.7856, -1.5538, -1.0281, 1.7261, -0.5213, 1
0.3853, -0.7743, -1.6799, -0.7385, -0.5065, 0.6665, -1.2168, -0.2349, -0.07, 1.0888, -0.7377, -0.2275, -0.7977, 0.3254, 1.0648, -0.0331, -1.5656, 0.0141, -1.4358, -0.6591, 1
0.3975, -1.1279, -1.1988, -1.4314, -0.1873, -1.6196, -0.7602, -0.8741, -2.3324, 0.3645, 0.9253, 0.5312, -0.5905, -1.517, -0.824, -0.4296, -2.4746, -0.8375, -0.713, -1.3519, 1
1.6805, -0.9258, -0.0937, 0.2464, -1.033, -1.7706, -1.2487, 0.0351, -0.4, -0.4632, 0.2046, 0.2424, 0.4705, 0.6238, -1.296, -1.887, 1.2586, -0.2443, 1.8665, -1.4511, 1
0.4954, -0.0838, -1.2046, -0.9241, -0.1296, -1.4074, 1.3047, 0.1701, -0.5016, 1.0839, 0.3665, 0.0236, 0.9624, 0.2951, -1.7011, 0.9429, 3.1887, 0.6173, 0.2408, -0.6946, 0
-0.0708, -0.2498, -1.5999, -1.1951, 0.9169, 1.7842, 0.406, -0.8827, -0.7945, 1.2749, -0.3751, 1.7164, -0.8303, 1.1434, 0.9623, -0.2181, 0.4712, 0.8698, 0.5666, 0.7023, 0
-0.7371, 0.5067, 0.4422, -0.5832, 1.7369, -1.5447, 0.6747, -1.1563, 0.9926, 0.0283, -0.8922, -2.0418, -1.2294, -0.5935, -1.0568, -0.6759, 0.4816, -2.9967, 0.5124, 0.6339, 1
0.2465, -0.695, 0.6418, -0.2026, -0.8858, -0.7132, -0.8408, 1.0427, 1.4186, 0.8703, 1.2832, 0.4865, 0.4315, -0.8201, -0.0371, 0.0371, 1.1465, 1.1687, 0.5181, 1.3477, 0
