@relation australian

@attribute A6 numeric
@attribute A8 {0,1}
@attribute A9 {0,1}
@attribute A14 numeric
@attribute Class {0,1}

@data
8,0,0,33,0
8,1,0,101,0
4,1,0,1,1
4,1,1,1,0
8,0,0,18,0
8,0,0,247,0
4,1,0,1443,1
5,0,0,1,0
4,0,0,1,0
4,1,1,2080,1
1,0,1,201,0
4,0,0,1,0
8,0,0,1,0
4,0,0,287,0
4,0,0,391,0
4,1,0,1,1
8,1,0,5861,1
4,0,0,1,0
8,1,1,1001,1
7,0,0,41,1
8,1,0,1,0
4,1,1,1,1
1,0,0,5,0
8,1,1,1,1
4,1,1,26727,1
8,1,1,2385,1
4,1,0,1,1
4,1,0,341,0
4,0,1,36,0
4,0,0,476,0
9,1,1,1,1
1,0,0,1,0
8,0,0,1,0
4,1,1,1,0
4,1,1,301,1
4,1,1,601,1
4,1,1,1,1
4,1,1,1,1
4,0,0,1,1
4,0,0,2,0
1,1,1,248,1
8,0,1,4,0
4,1,1,4,1
4,1,1,691,1
5,1,1,29,0
8,0,0,17,0
5,1,1,1,1
4,1,1,1,1
8,1,0,1,1
1,0,0,88,0
4,0,0,1,0
4,0,0,1,0
8,1,0,201,1
5,1,1,15001,1
5,0,0,1,0
5,1,1,1,1
5,1,0,1,0
4,0,0,1,0
8,0,0,1,0
4,1,1,5001,1
4,0,1,1951,0
1,0,0,1,0
4,0,1,11,0
4,1,1,8,1
8,0,0,1,0
4,0,0,317,0
4,0,0,1,0
8,1,1,376,1
4,1,0,1,1
