@relation australian

@attribute A8 {0,1}
@attribute A10 numeric
@attribute A13 numeric
@attribute Class {0,1}

@data
0,0,280,0
0,0,0,0
1,0,0,0
0,0,100,0
0,0,80,0
0,1,108,0
1,0,252,0
0,0,272,0
0,0,180,0
0,0,520,0
0,0,320,0
0,0,160,0
0,2,369,0
0,0,0,0
0,2,225,0
0,0,0,0
0,0,220,0
0,0,140,0
0,0,160,0
0,0,320,0
0,0,100,0
1,3,180,0
1,0,360,0
0,0,360,0
1,5,140,0
0,2,180,0
1,0,0,0
0,0,0,0
0,1,280,0
0,0,0,0
0,1,200,0
0,0,0,0
0,1,280,0
0,0,0,0
0,0,460,0
1,1,160,0
0,0,228,0
0,0,120,0
0,0,180,0
0,0,200,0
0,4,254,0
0,0,420,0
0,2,128,0
0,0,140,0
0,0,0,0
0,0,160,0
0,4,160,0
0,1,96,0
0,0,132,0
1,0,171,0
0,0,200,0
1,0,240,0
0,0,136,0
0,0,0,0
0,1,416,0
0,0,80,0
0,0,0,0
0,0,120,0
1,0,180,0
0,0,120,0
0,5,176,0
0,0,231,0
0,0,480,0
0,6,0,0
0,0,0,0
0,0,340,0
0,0,240,0
0,0,0,0
0,0,280,0
0,0,320,0
0,0,100,0
0,0,263,0
0,0,320,0
0,0,360,0
0,0,200,0
1,0,0,0
1,0,560,0
0,1,92,0
0,0,80,0
0,2,320,0
0,0,0,0
0,0,300,0
0,0,0,0
0,0,280,0
0,0,160,0
0,0,210,0
0,0,100,0
0,0,120,0
1,0,112,0
0,0,120,0
0,0,0,0
0,0,170,0
0,1,352,0
0,0,180,0
0,0,320,0
0,0,0,0
0,0,200,0
0,0,145,0
0,0,184,0
0,0,120,0
1,0,320,0
0,0,120,0
0,1,2000,0
0,0,372,0
0,0,260,0
0,0,200,0
1,0,268,0
0,0,280,0
0,0,200,0
0,2,220,0
0,0,100,0
0,0,340,0
0,1,160,0
0,0,168,0
0,2,160,0
0,1,240,0
1,2,120,0
1,0,440,0
0,0,178,0
1,0,80,0
0,0,160,0
0,0,0,0
1,2,200,0
0,0,160,0
0,0,180,0
1,0,140,0
1,0,523,0
0,0,200,0
0,0,216,0
0,0,120,0
1,0,320,0
0,0,280,0
0,2,17,0
0,0,465,0
0,0,280,0
0,0,120,0
0,0,0,0
0,0,0,0
1,2,167,0
1,1,180,0
0,0,348,0
0,0,600,0
0,1,200,0
1,0,200,0
0,0,0,0
1,0,130,0
1,0,200,0
1,0,980,0
0,1,200,0
0,0,340,0
0,0,140,0
0,2,0,0
0,0,252,0
0,0,200,0
0,0,20,0
0,0,360,0
0,0,460,0
0,0,100,0
0,0,160,0
0,1,272,0
0,0,0,0
0,0,200,0
0,0,76,0
0,0,200,0
0,0,240,0
1,0,140,0
1,0,160,0
0,0,440,0
0,0,380,0
0,4,45,0
0,0,120,0
0,0,120,0
0,2,200,0
0,0,0,0
0,0,80,0
1,3,329,0
0,0,240,0
1,0,140,0
0,0,80,0
0,1,80,0
1,0,680,0
1,0,100,0
1,0,0,0
0,0,100,0
0,0,280,0
1,20,152,0
0,10,0,0
0,2,200,0
0,0,108,0
1,7,300,0
0,0,160,0
0,2,174,0
0,1,40,0
0,2,200,0
0,0,216,0
0,3,0,0
0,0,256,0
0,0,240,0
0,0,144,0
1,0,200,0
0,0,184,0
0,0,0,0
0,2,160,0
0,1,400,0
0,0,280,0
0,0,80,0
0,0,110,0
0,0,28,0
1,1,760,0
0,1,420,0
0,0,160,0
1,0,180,0
1,0,160,0
1,10,80,0
1,0,120,0
0,0,550,0
0,0,640,0
1,0,100,0
0,0,0,0
0,0,232,0
0,0,120,0
1,0,288,0
0,2,184,0
0,0,132,0
0,0,220,0
0,0,0,0
0,0,320,0
0,0,0,0
1,0,80,0
0,0,62,0
1,3,140,0
