@relation australian

@attribute A8 {0,1}
@attribute A10 numeric
@attribute A13 numeric
@attribute Class {0,1}

@data
0,0,60,0
0,0,200,0
1,1,180,1
1,2,519,1
1,2,49,1
0,0,132,0
0,0,141,0
1,0,280,1
0,0,380,0
1,0,100,0
0,11,0,0
1,9,0,1
0,0,290,1
0,0,0,0
1,4,0,1
1,7,100,1
0,0,220,0
0,0,260,0
1,8,396,1
0,0,180,0
1,67,140,1
0,0,300,0
0,2,400,0
0,0,210,0
0,0,280,0
1,1,88,1
1,40,0,1
1,1,232,1
1,4,0,1
0,1,80,0
0,0,180,0
0,0,480,0
1,3,120,1
0,0,232,0
1,0,400,0
0,0,300,0
0,1,0,0
0,2,200,0
0,0,309,0
0,0,0,1
0,0,720,0
1,0,443,0
0,0,240,0
0,0,160,0
1,0,340,1
1,1,0,1
1,0,120,0
1,1,260,1
1,0,164,0
1,0,200,0
1,2,80,1
1,3,0,1
1,0,120,0
0,1,120,0
0,1,120,0
1,8,0,1
1,3,311,1
1,5,60,1
1,3,0,1
0,0,280,0
1,12,0,1
1,12,93,1
1,0,102,1
1,0,393,1
0,0,160,0
1,23,455,1
1,2,0,0
1,0,928,0
0,0,160,0
