@relation australian

@attribute A4 {1,2,3}
@attribute A8 {0,1}
@attribute A9 {0,1}
@attribute Class {0,1}

@data
1,1,0,0
2,0,0,0
1,0,0,0
1,1,0,0
2,0,1,0
2,0,0,0
2,0,1,0
1,0,0,0
2,0,0,0
2,0,0,0
2,1,1,0
1,1,0,0
2,1,0,0
2,0,0,0
1,0,0,0
2,0,1,0
2,1,0,0
2,0,1,0
1,0,0,0
2,0,0,0
1,0,0,0
2,1,0,0
2,0,0,0
1,0,1,0
2,0,1,0
1,0,0,0
2,0,1,0
2,0,0,0
1,0,0,0
1,0,0,0
2,1,1,0
1,0,0,0
2,0,1,0
1,0,0,0
2,0,1,0
2,0,1,0
2,0,1,0
2,0,0,0
2,1,0,0
2,0,0,0
2,1,1,0
2,0,0,0
2,0,1,0
2,1,1,0
1,1,0,0
2,0,0,0
1,0,0,0
2,0,0,0
2,0,0,0
1,0,0,0
2,0,0,0
2,0,0,0
2,0,0,0
1,0,0,0
2,0,0,0
1,0,0,0
2,0,0,0
1,0,0,0
2,1,0,0
2,0,0,0
2,1,0,0
1,0,0,0
2,0,0,0
1,0,0,0
1,0,0,0
2,0,0,0
1,0,0,0
2,0,0,0
2,0,0,0
1,0,0,0
2,1,1,0
2,1,1,0
2,0,0,0
1,0,0,0
1,0,0,0
2,0,0,0
2,0,1,0
2,0,1,0
2,0,0,0
2,0,0,0
1,0,0,0
2,0,0,0
2,0,1,0
1,0,0,0
1,0,0,0
2,0,1,0
2,0,0,0
1,1,0,0
2,0,0,0
2,0,0,0
1,0,0,0
1,0,0,0
2,0,0,0
2,0,0,0
2,0,0,0
2,0,0,0
1,0,0,0
2,0,0,0
2,1,0,0
2,1,0,0
2,0,0,0
2,0,1,0
2,1,0,0
2,0,0,0
1,1,0,0
1,1,1,0
2,0,0,0
2,1,1,0
2,0,0,0
2,0,1,0
2,0,0,0
2,0,0,0
2,0,0,0
1,0,0,0
1,0,0,0
2,0,0,0
2,0,0,0
2,0,0,0
2,1,0,0
1,1,0,0
2,0,0,0
1,0,0,0
1,0,0,0
2,1,0,0
2,1,0,0
1,0,0,0
2,0,1,0
1,1,0,0
2,0,0,0
1,0,0,0
2,1,1,0
1,0,0,0
1,0,0,0
2,0,0,0
1,0,0,0
2,0,0,0
2,0,0,0
2,0,0,0
2,0,0,0
1,0,0,0
2,1,1,0
2,1,0,0
2,0,0,0
1,0,1,0
2,1,0,0
1,0,0,0
1,0,0,0
2,0,0,0
1,0,0,0
2,0,1,0
2,1,0,0
2,0,0,0
1,0,0,0
2,1,1,0
1,0,0,0
2,0,0,0
2,0,0,0
2,1,0,0
2,0,0,0
2,0,0,0
2,0,0,0
1,0,0,0
2,0,0,0
2,0,1,0
1,0,1,0
2,1,0,0
2,0,0,0
2,0,0,0
1,0,0,0
1,1,0,0
2,0,0,0
2,0,1,0
2,0,0,0
2,0,0,0
2,1,0,0
1,0,1,0
1,0,0,0
1,0,0,0
2,0,1,0
2,1,0,0
2,0,0,0
1,0,0,0
2,0,1,0
2,1,0,0
1,0,0,0
1,0,0,0
2,0,0,0
1,1,0,0
1,0,0,0
1,0,1,0
2,1,0,0
2,0,0,0
2,0,0,0
2,1,1,0
2,1,0,0
2,0,0,0
2,0,0,0
2,0,1,0
2,0,0,0
2,1,0,0
1,0,0,0
2,1,0,0
2,0,0,0
1,1,1,0
2,0,0,0
2,0,0,0
2,0,0,0
2,1,1,0
2,0,0,0
1,0,0,0
2,0,1,0
2,0,1,0
2,1,0,0
2,0,0,0
2,1,1,0
2,0,0,0
2,0,0,0
2,0,1,0
1,0,0,0
1,0,0,0
2,0,0,0
2,0,0,0
2,0,0,0
1,0,0,0
2,0,0,0
2,0,0,0
2,0,0,0
2,0,1,0
2,0,0,0
1,1,0,0
2,0,0,0
1,0,1,0
2,1,0,0
2,0,1,0
2,0,0,0
2,0,1,0
2,0,0,0
2,0,0,0
2,0,0,0
2,0,0,0
2,0,0,0
2,0,0,0
2,0,0,0
1,1,0,0
1,1,1,0
2,0,0,0
2,1,0,0
1,0,0,0
2,0,1,0
2,0,1,0
2,0,0,0
1,0,0,0
2,0,0,0
2,0,0,0
2,0,0,0
2,0,1,0
1,0,0,0
2,0,0,0
2,0,0,0
1,0,1,0
2,1,0,0
2,0,1,0
2,0,0,0
2,0,0,0
1,0,0,0
2,1,0,0
2,1,1,0
2,0,0,0
2,0,0,0
2,0,1,0
2,0,1,0
2,0,1,0
1,0,0,0
1,0,0,0
2,0,0,0
2,0,0,0
2,0,0,0
2,0,1,0
1,0,0,0
2,1,0,0
2,0,0,0
2,0,0,0
1,0,0,0
1,0,0,0
2,0,0,0
1,0,0,0
2,0,0,0
1,0,0,0
2,1,0,0
2,0,0,0
2,0,1,0
2,0,1,0
2,0,0,0
2,0,0,0
2,0,0,0
2,1,0,0
1,0,0,0
2,1,0,0
2,0,1,0
2,0,0,0
2,0,1,0
1,1,1,0
2,0,0,0
1,0,0,0
2,0,0,0
2,1,1,0
2,0,0,0
2,1,0,0
2,0,0,0
2,0,0,0
2,0,0,0
1,0,0,0
2,0,1,0
2,0,0,0
2,0,1,0
2,0,1,0
2,0,0,0
1,0,1,0
2,0,0,0
2,0,0,0
1,1,0,0
2,0,1,0
1,1,0,0
2,0,0,0
2,1,0,0
2,0,1,0
1,0,1,0
2,0,1,0
2,0,0,0
2,0,0,0
2,0,0,0
1,0,0,0
2,0,0,0
1,1,1,0
2,0,1,0
2,0,0,0
2,0,0,0
2,0,1,0
1,0,0,0
2,1,0,0
2,0,0,0
1,0,0,0
1,1,0,0
1,0,0,0
2,0,1,0
2,1,1,1
2,1,1,1
2,1,0,1
2,1,0,1
1,1,1,1
1,1,1,1
2,1,0,1
2,1,1,1
2,1,1,1
2,1,1,1
2,1,1,1
2,1,1,1
2,1,0,1
2,1,1,1
2,1,1,1
2,1,1,1
2,1,1,1
2,1,1,1
2,1,0,1
2,1,1,1
1,1,1,1
2,1,1,1
2,1,1,1
2,1,1,1
2,1,1,1
2,1,1,1
1,1,1,1
2,1,1,1
1,1,1,1
2,1,1,1
2,1,1,1
2,1,0,1
2,0,0,1
2,1,0,1
2,1,1,1
1,1,1,1
2,1,1,1
2,1,0,1
1,0,0,1
1,1,0,1
1,1,1,1
2,1,0,1
2,1,1,1
2,0,0,1
2,1,1,1
2,1,1,1
2,1,1,1
2,1,1,1
2,1,1,1
2,1,1,1
2,1,1,1
2,1,1,1
2,1,1,1
1,1,1,1
2,1,0,1
2,1,1,1
2,1,0,1
2,1,1,1
2,1,0,1
2,1,1,1
1,1,1,1
2,1,1,1
2,1,1,1
1,1,0,1
2,1,0,1
2,1,1,1
2,1,1,1
2,1,0,1
1,1,1,1
2,1,1,1
2,1,0,1
2,1,1,1
2,1,1,1
2,1,1,1
1,1,0,1
2,1,1,1
2,1,1,1
2,1,1,1
2,1,1,1
2,1,1,1
2,1,1,1
1,1,0,1
2,1,1,1
2,0,0,1
3,0,0,1
2,1,1,1
2,1,0,1
2,1,1,1
2,1,1,1
2,1,1,1
2,1,1,1
2,1,1,1
2,1,1,1
2,1,1,1
2,1,1,1
2,1,1,1
2,1,1,1
2,1,0,1
2,1,1,1
2,0,0,1
2,1,1,1
2,1,0,1
2,1,0,1
1,0,0,1
2,1,1,1
2,1,1,1
2,1,1,1
2,1,1,1
2,1,1,1
2,1,0,1
2,1,1,1
1,1,1,1
2,1,1,1
2,1,0,1
2,1,0,1
1,1,1,1
2,1,0,1
2,0,0,1
2,1,0,1
1,1,1,1
2,1,1,1
1,1,1,1
2,1,0,1
2,1,1,1
2,1,1,1
2,1,1,1
2,1,1,1
2,1,1,1
2,1,0,1
1,1,0,1
2,1,0,1
2,1,1,1
2,1,1,1
2,1,1,1
2,0,0,1
2,1,1,1
2,1,0,1
2,1,1,1
2,1,1,1
2,1,1,1
2,1,1,1
2,1,1,1
2,1,0,1
2,1,1,1
2,1,1,1
2,1,1,1
2,1,1,1
