@relation automobile

@attribute Wheel-base numeric
@attribute Width numeric
@attribute Curb-weight numeric
@attribute Num-of-cylinders {eight,five,four,six,three,twelve,two}
@attribute Highway-mpg numeric
@attribute Price numeric
@attribute Symboling {-2,-1,0,1,2,3}

@data
104.3,67.2,2935,four,28,15985,-2
104.3,67.2,3045,four,22,18420,-2
104.3,67.2,2912,four,28,12940,-2
109.1,68.9,2952,four,28,16845,-1
104.5,66.5,3131,six,24,15690,-1
109.1,68.8,3049,four,25,19045,-1
109.1,68.9,3062,four,25,22625,-1
103.3,64.6,2535,four,30,8921,-1
110,70.3,3750,five,25,28248,-1
110,70.3,3515,five,25,25552,-1
102.4,66.5,2414,four,32,10898,-1
104.3,67.2,3034,four,28,13415,-1
115.6,71.7,3770,five,25,31600,-1
102.4,66.5,2414,four,32,9988,-1
103.3,64.6,2535,four,30,8921,-1
96.3,65.4,2403,four,30,9279,-1
102.4,66.5,2326,four,34,8948,-1
102.4,66.5,2458,four,32,11248,-1
109.1,68.9,3217,six,27,22470,-1
109.1,68.9,3012,six,23,21485,-1
102.4,66.5,2480,four,33,10698,-1
96.5,62.5,2372,four,33,10295,0
94.5,63.6,1909,four,43,6575,0
97.2,65.2,2302,four,34,9549,0
97,65.4,2510,four,29,11259,0
113,69.6,4066,six,19,32250,0
95.7,64.4,2275,four,36,7898,0
98.8,66.5,2410,four,32,8495,0
95.7,63.6,3110,four,32,8778,0
101.2,64.8,2710,six,28,20970,0
95.7,64.4,2122,four,34,8358,0
97.2,65.2,2324,four,34,8949,0
107.9,68.4,3075,four,24,16630,0
100.4,66.5,3095,six,22,13499,0
96.5,65.2,2465,four,28,12945,0
107.9,68.4,3020,four,24,11900,0
97,65.4,2385,four,25,9233,0
97.2,65.4,2190,four,33,7775,0
97.2,65.4,2340,four,32,9960,0
95.7,63.6,2290,four,32,7898,0
107.9,68.4,3075,four,24,15580,0
96.5,63.9,2024,four,34,7295,0
106.7,70.3,3495,five,25,28176,0
107.9,68.4,3252,four,33,16900,0
95.7,64.4,2140,four,34,9258,0
108,68.3,3130,four,24,18150,0
98.8,66.5,2410,four,32,10245,0
96.5,65.2,2304,four,33,8845,0
95.7,64.4,2094,four,47,7738,0
97,65.4,2290,four,32,7463,0
100.4,66.5,3296,six,22,14399,0
95.7,64.4,2275,four,47,7788,0
97.2,65.4,2145,four,37,7126,0
95.7,64.4,2081,four,37,6938,0
100.4,66.5,3060,six,25,13499,0
95.7,63.6,2280,four,37,6918,0
107.9,68.4,3252,four,33,17950,0
104.9,66.1,2670,four,27,18280,0
97,65.4,2455,four,31,10198,0
96.9,65.4,2650,four,23,11694,0
101.2,64.8,2765,six,28,21105,0
98.8,66.5,2425,four,32,11245,0
101.2,64.8,2395,four,29,16925,0
96.5,64,2010,four,34,7295,0
96.5,65.2,2236,four,33,7895,0
94.5,63.6,1874,four,43,6295,1
93.7,63.8,1876,four,41,5572,1
105.8,71.4,3086,five,20,23875,1
105.8,71.4,2844,five,25,17710,1
93.7,63.8,1876,four,38,6377,1
93.7,63.8,1989,four,38,6692,1
93.1,64.2,1945,four,38,6695,1
99.2,67.9,3139,six,25,18399,1
93.7,63.8,1989,four,38,7609,1
94.5,64,2169,four,34,8058,1
93.1,64.2,1905,four,38,6795,1
93.7,64,1956,four,34,7129,1
93.1,64.2,1950,four,38,7395,1
94.5,63.8,2024,four,37,7349,1
93.7,63.8,2191,four,38,7609,1
93.7,63.8,1989,four,38,6692,1
93.7,63.8,2128,four,30,7957,1
94.5,64,2204,four,34,8238,1
94.5,64,2300,four,29,9538,1
95.7,63.6,1985,four,39,5348,1
94.5,63.8,2028,four,37,7799,1
94.5,63.8,2037,four,37,7999,1
94.5,63.8,1971,four,37,7499,1
93.7,64,1837,four,42,5399,1
94.5,63.8,1889,four,37,5499,1
96.3,65.4,2405,four,32,8189,1
93.7,63.8,2128,four,30,7957,1
96.3,65.4,2403,four,30,9279,1
93.7,63.8,1967,four,38,6229,1
93.7,63.8,1967,four,38,6229,1
94.5,63.8,1938,four,37,6849,1
95.7,63.6,2015,four,38,6488,1
93.7,64,1940,four,34,6529,1
95.7,63.6,2040,four,38,6338,1
93.7,63.8,1918,four,41,5572,1
96.5,66,2293,four,31,10345,1
96.3,65.4,2365,four,32,6989,1
93.1,64.2,1890,four,31,5195,1
98.8,66.5,2385,four,32,8845,1
94.5,64,2265,four,29,9298,1
94.5,63.8,1918,four,37,6649,1
93,63.8,2145,four,30,7689,1
93.7,64.4,2004,four,38,6669,2
97.3,65.5,2261,four,46,7775,2
98.4,65.6,2975,four,30,17669,2
95.1,63.8,2008,four,37,8249,2
101.2,64.8,2395,four,29,16430,2
97.3,65.5,2275,four,34,8495,2
99.4,66.4,2824,five,22,17450,2
88.4,60.3,1488,three,53,5151,2
93.7,63.6,2120,four,31,7053,2
98.4,65.6,2536,four,30,9639,2
97.3,65.5,2319,four,42,9495,2
97.3,65.5,2264,four,46,7995,2
97.3,65.5,2300,four,32,9995,2
99.1,66.5,2758,four,28,15510,2
98.4,65.6,2679,four,30,11199,2
99.8,66.2,2337,four,30,13950,2
86.6,63.9,1713,four,54,6479,2
93.7,64.4,1944,four,38,6189,2
93.7,64.4,1918,four,41,5389,2
93.7,63.4,2050,four,36,5118,2
97.3,65.5,2209,four,34,7975,2
99.1,66.5,2695,four,28,12170,2
98.4,65.6,2551,four,30,9989,2
98.4,65.6,2714,four,30,11549,2
86.6,63.9,1819,four,38,6855,2
99.1,66.5,2847,four,26,18620,2
102.9,67.7,3016,six,24,15998,3
95.9,66.3,2811,four,24,12964,3
96.3,65.4,2370,four,30,9959,3
91.3,67.9,3139,six,23,19699,3
102.9,67.7,2976,six,24,16558,3
96.3,65.4,2328,four,32,8499,3
99.1,66.5,2707,four,28,15040,3
96.6,70.5,3685,eight,18,35056,3
94.5,64,2221,four,29,9980,3
99.1,66.5,2808,four,26,18150,3
94.5,68.3,2778,four,27,22018,3
