@relation contraceptive

@attribute Wife_age numeric
@attribute Children numeric
@attribute Husband_occupation numeric
@attribute Contraceptive_method {1,2,3}

@data
47,5,4,1
29,4,1,1
26,3,2,1
48,2,1,1
25,4,3,1
43,5,1,1
35,8,3,1
42,9,3,1
25,0,2,1
26,1,3,1
25,1,3,1
36,2,3,1
24,2,3,1
49,10,2,1
32,2,2,1
27,1,1,1
20,0,3,1
37,8,2,1
40,3,3,1
21,1,3,1
45,1,1,1
28,3,2,1
18,1,3,1
47,6,1,1
41,11,2,1
22,0,2,1
23,1,2,1
21,0,3,1
28,0,1,1
33,2,1,1
48,4,3,1
27,3,1,1
47,2,3,1
30,4,3,1
31,2,1,1
44,3,3,1
36,2,3,1
35,2,3,1
42,10,3,1
23,2,1,1
39,5,3,1
24,0,2,1
46,6,1,1
35,2,3,1
25,3,3,1
40,4,2,1
29,7,2,1
30,4,2,1
24,0,1,1
22,0,2,1
45,6,3,1
34,6,2,1
24,0,2,1
19,1,2,1
23,2,3,1
28,0,3,1
32,4,3,1
24,2,2,1
25,1,2,1
27,0,3,1
36,6,2,1
45,3,1,1
40,2,1,1
23,2,3,1
42,2,1,1
47,2,2,1
33,0,3,1
40,1,3,1
27,2,1,1
28,1,3,1
39,10,3,1
42,1,3,1
24,1,1,1
26,3,3,1
36,4,3,1
30,1,1,1
45,0,2,1
34,2,1,1
25,2,3,1
36,2,2,1
31,3,2,1
47,4,2,1
43,5,1,1
31,0,2,1
27,3,3,1
33,2,1,1
32,2,3,1
31,2,2,1
24,1,3,1
26,1,1,1
30,0,3,1
21,4,3,1
19,1,1,1
32,5,2,1
49,7,2,1
20,0,3,1
32,1,3,1
44,6,3,1
28,1,2,1
49,9,1,1
21,0,2,1
39,5,2,1
40,0,3,1
41,5,2,1
44,2,1,1
21,0,3,1
32,1,1,1
36,6,2,1
38,1,1,1
18,1,3,1
23,6,3,1
26,4,2,1
34,7,3,1
24,3,2,1
22,2,3,1
26,1,1,1
43,2,3,1
24,2,3,1
46,3,2,1
25,3,3,1
49,6,2,1
22,0,1,1
44,2,3,1
26,2,1,1
23,3,2,1
23,4,3,1
24,1,3,1
18,1,3,1
38,2,3,1
49,8,3,1
48,11,1,1
44,1,1,1
40,8,3,1
47,6,3,1
45,8,2,1
22,1,2,1
42,3,1,1
49,1,3,1
26,1,2,1
20,2,3,1
38,8,3,1
45,4,2,1
49,6,1,1
21,0,2,1
37,2,1,1
39,1,1,1
31,5,3,1
29,2,3,1
49,5,1,1
34,8,2,1
42,9,3,1
47,5,2,1
28,5,3,1
34,6,3,1
21,0,2,1
39,1,2,1
29,0,2,1
22,0,1,1
37,6,2,1
25,2,3,1
43,10,3,1
40,3,3,1
45,4,2,1
31,1,3,1
45,6,3,1
33,3,2,1
48,1,1,1
47,3,2,1
47,1,1,1
36,0,3,1
21,1,3,1
28,0,3,1
22,0,1,1
48,5,2,1
47,1,3,1
41,2,1,1
47,8,3,1
45,11,2,1
26,0,3,1
27,2,1,1
25,1,2,1
25,1,3,1
29,1,2,1
48,3,4,1
40,3,2,1
38,5,2,1
25,1,1,1
27,1,1,1
36,6,2,1
25,1,2,1
25,1,2,1
37,5,3,1
48,3,2,1
35,8,3,1
36,2,2,1
23,0,2,1
20,3,3,1
42,3,1,1
26,0,3,1
40,8,1,1
30,3,3,1
45,0,2,1
18,1,2,1
34,4,2,1
28,0,1,1
42,10,3,1
47,2,1,1
16,1,3,1
37,2,1,1
35,5,2,1
46,11,2,1
45,0,1,1
38,6,2,1
24,1,4,1
36,8,3,1
20,1,2,1
47,7,2,1
28,1,1,1
41,10,2,1
44,8,3,1
31,1,3,1
43,3,2,1
35,2,2,1
21,0,1,1
36,3,2,1
48,8,3,1
20,1,3,1
28,1,1,1
39,6,3,1
32,0,3,1
35,5,1,1
25,1,3,1
29,1,1,1
19,0,3,1
45,1,1,1
44,4,3,1
23,2,2,1
30,2,1,1
33,2,3,1
49,6,1,1
26,1,3,1
22,2,3,1
36,3,3,1
32,0,3,1
39,1,3,1
38,5,1,1
25,1,3,1
25,2,3,1
38,7,3,1
28,0,1,1
25,3,1,1
25,2,3,1
23,1,2,1
42,3,3,1
20,2,3,1
34,2,1,1
25,0,3,1
31,3,3,1
22,0,3,1
48,8,1,1
28,1,2,1
47,1,1,1
48,3,3,1
36,4,1,1
33,0,3,1
39,5,3,1
23,1,3,1
39,6,1,1
40,2,3,1
42,4,1,1
31,2,3,1
46,8,1,1
20,1,3,1
43,5,3,1
28,5,3,1
35,1,1,1
22,0,2,1
19,0,2,1
37,1,2,1
25,0,1,1
47,12,3,1
22,0,3,1
30,0,1,1
43,5,1,1
40,3,3,1
27,4,1,1
26,1,4,1
34,3,3,1
30,4,2,1
26,0,1,1
49,0,1,1
45,3,3,1
20,0,3,1
28,2,1,1
38,10,3,1
49,6,1,1
29,0,2,1
27,4,3,1
21,1,1,1
37,2,2,1
22,2,2,1
30,5,3,1
39,1,3,1
37,4,2,1
40,2,3,1
30,1,2,1
34,1,2,1
24,2,3,1
24,1,3,1
45,1,1,1
21,1,3,1
37,7,2,1
32,4,3,1
22,0,2,1
32,3,1,1
26,1,1,1
38,3,1,1
23,2,2,1
26,2,3,1
42,11,2,1
31,8,2,1
25,1,3,1
42,1,3,1
48,4,3,1
47,2,2,1
33,3,1,1
23,2,3,1
42,12,3,1
39,3,1,1
46,6,1,1
21,1,3,1
27,2,2,1
38,4,3,1
25,3,1,1
46,1,1,1
47,0,1,1
37,0,3,1
30,5,2,1
45,1,2,1
44,7,3,1
30,2,3,1
24,3,2,1
45,7,1,1
20,0,2,1
30,2,1,1
24,2,2,1
38,2,2,1
23,2,3,1
31,2,1,1
43,6,1,1
25,2,3,1
30,4,1,1
45,1,3,1
25,1,3,1
43,8,2,1
21,0,3,1
35,0,2,1
26,3,3,1
42,2,3,1
41,3,2,1
30,1,3,1
32,7,2,1
35,3,1,1
28,3,1,1
31,2,3,1
32,4,1,1
48,4,1,1
23,2,3,1
28,1,3,1
19,2,3,1
25,1,2,1
23,2,2,1
46,10,1,1
44,9,1,1
28,0,4,1
32,4,2,1
23,0,1,1
33,1,3,1
27,3,3,1
47,2,2,1
36,2,2,1
44,3,1,1
22,2,1,1
43,3,2,1
44,1,1,1
41,1,2,1
21,0,3,1
26,0,4,1
36,5,2,1
49,0,3,1
45,1,1,1
28,1,3,1
40,6,3,1
31,2,3,1
49,6,2,1
43,6,3,1
44,5,2,1
38,1,2,1
32,4,2,1
33,5,3,1
26,2,3,1
31,2,1,1
47,4,1,1
20,2,2,1
40,1,1,1
28,5,2,1
27,2,3,1
17,3,3,1
47,7,3,1
22,1,2,1
45,0,1,1
29,0,2,1
42,1,2,1
45,7,3,1
46,8,3,1
17,1,3,1
44,1,3,1
38,6,3,1
22,1,3,1
37,2,1,1
26,1,1,1
19,0,3,1
25,1,2,1
47,1,1,1
32,4,2,1
48,1,3,1
35,6,3,1
26,0,1,1
24,0,3,1
25,1,4,1
20,3,3,1
37,7,3,1
32,2,2,1
30,2,3,1
29,2,4,1
22,1,3,1
48,8,2,1
42,5,2,1
36,5,2,1
24,1,3,1
47,7,2,1
28,2,2,1
38,12,2,1
40,8,3,1
45,10,3,1
42,3,2,1
43,7,3,1
47,3,1,1
47,7,2,1
35,0,4,1
23,2,1,1
20,1,2,1
32,1,1,1
47,5,1,1
44,4,1,1
30,0,1,1
47,4,2,1
21,2,3,1
45,2,1,1
44,0,2,1
29,3,2,1
22,4,3,1
29,2,3,1
28,3,1,1
26,1,4,1
25,0,2,1
22,0,3,1
30,5,1,1
26,3,3,1
33,3,1,1
42,1,1,1
48,8,3,1
21,2,2,1
22,1,3,1
47,2,2,1
21,1,3,1
30,2,2,1
46,5,3,1
49,4,3,1
35,2,2,1
32,1,2,1
24,2,3,1
26,3,2,1
35,3,1,1
27,3,3,1
27,0,3,1
27,1,2,1
29,0,1,1
32,1,1,1
29,4,1,1
30,4,4,1
16,1,3,1
32,1,2,1
23,0,2,1
34,4,3,1
28,1,2,1
31,0,2,1
47,2,1,1
22,2,3,1
45,6,2,1
38,4,2,1
20,0,2,1
23,1,2,1
27,4,1,1
30,3,2,1
24,2,3,1
29,1,1,1
38,1,1,1
22,0,3,1
23,4,3,1
25,0,2,1
28,5,1,1
24,1,2,1
48,4,2,1
32,4,1,1
25,1,2,1
44,2,2,1
49,5,2,1
45,1,3,1
28,1,3,1
35,6,2,1
19,0,2,1
49,4,2,1
22,2,2,1
19,2,3,1
29,1,1,1
43,2,2,1
31,4,3,1
31,0,1,1
34,2,1,1
40,1,3,1
39,2,1,1
43,4,2,1
45,5,1,1
35,0,2,1
41,3,2,1
20,1,3,1
48,6,2,1
31,2,1,1
34,4,1,1
24,4,1,1
34,3,3,1
41,5,3,1
33,5,3,1
25,0,3,1
42,0,3,1
26,1,1,1
48,7,2,1
21,1,2,1
28,3,3,1
37,5,2,1
21,3,3,1
34,0,3,1
43,8,3,1
35,1,2,1
37,0,3,1
47,4,3,1
42,12,2,1
44,11,4,1
43,1,3,1
27,4,2,1
33,5,3,1
44,3,2,1
25,0,2,1
27,1,3,1
43,8,2,1
45,2,2,1
41,5,2,2
42,6,1,2
43,6,3,2
45,7,3,2
33,5,3,2
36,4,1,2
40,4,1,2
30,5,3,2
43,5,1,2
36,3,1,2
37,5,3,2
48,4,1,2
29,3,1,2
34,3,1,2
34,4,3,2
35,7,2,2
36,3,3,2
25,2,1,2
44,6,1,2
26,2,1,2
39,3,1,2
28,2,1,2
38,5,1,2
29,3,1,2
25,3,2,2
30,1,2,2
36,4,1,2
21,1,3,2
23,3,3,2
42,3,1,2
44,3,1,2
25,6,3,2
34,2,3,2
45,8,2,2
29,2,1,2
26,3,1,2
41,7,2,2
22,1,1,2
33,2,1,2
34,8,2,2
30,2,1,2
27,3,1,2
32,2,1,2
36,7,2,2
32,2,2,2
48,7,1,2
31,4,3,2
49,11,1,2
28,3,1,2
30,7,3,2
34,5,3,2
41,4,2,2
27,1,3,2
41,8,1,2
44,2,1,2
31,3,2,2
34,2,1,2
39,3,1,2
42,3,1,2
30,4,3,2
29,2,1,2
33,3,2,2
23,1,1,2
31,3,1,2
26,3,2,2
32,2,1,2
27,3,1,2
29,4,3,2
26,4,3,2
24,1,1,2
33,3,2,2
17,1,2,2
36,6,3,2
37,4,2,2
24,5,1,2
35,3,2,2
36,5,1,2
33,3,3,2
42,4,2,2
26,2,1,2
39,3,2,2
25,1,1,2
26,1,2,2
45,3,2,2
40,3,1,2
32,5,2,2
29,2,1,2
34,2,3,2
35,4,3,2
38,8,2,2
35,5,1,2
31,1,1,2
23,1,3,2
25,2,3,2
41,4,2,2
35,5,2,2
41,6,1,2
36,3,1,2
38,4,1,2
24,1,2,2
27,1,1,2
20,1,3,2
46,4,1,2
33,2,1,2
34,3,3,2
21,1,1,2
30,3,2,2
26,2,1,2
33,6,3,2
45,3,1,2
38,3,2,2
24,1,1,2
44,4,1,2
34,2,2,2
38,6,3,2
33,3,1,2
37,3,1,2
33,4,1,2
47,8,3,2
46,4,1,2
34,5,3,2
42,4,2,2
28,2,1,2
49,4,3,2
29,3,3,2
27,1,1,2
18,1,3,2
25,3,1,2
34,4,3,2
29,3,1,2
44,5,1,2
22,1,2,2
39,5,2,2
27,5,2,2
36,4,2,2
26,2,3,2
37,7,3,2
31,2,1,2
26,2,1,2
35,3,2,2
47,4,1,2
28,3,1,2
21,1,2,2
36,4,2,2
32,2,3,2
41,4,1,2
24,2,2,2
45,6,2,2
25,1,4,2
31,4,1,2
27,1,3,2
38,6,3,2
33,3,3,2
44,7,3,2
30,3,3,2
40,4,1,2
44,5,1,2
48,7,2,2
29,2,1,2
36,3,1,2
32,4,1,2
35,4,3,2
25,1,1,2
43,6,1,2
41,4,1,2
35,5,1,2
48,6,2,2
35,3,1,2
43,3,1,2
37,4,1,2
28,2,2,2
27,2,3,2
31,2,3,2
37,3,3,2
35,5,1,2
26,1,2,2
26,3,3,2
39,5,3,2
33,5,3,2
38,3,1,2
36,3,2,2
31,4,4,2
21,1,1,2
35,5,1,2
46,2,1,2
43,5,3,2
27,2,1,2
48,7,1,2
39,4,1,2
42,8,1,2
32,2,3,2
25,4,3,2
35,3,3,2
37,2,3,2
44,3,1,2
34,6,3,2
34,3,1,2
41,5,1,2
44,9,1,2
36,2,2,2
22,1,4,2
20,1,2,2
32,4,2,2
36,3,2,2
46,5,1,2
41,3,2,2
41,5,1,2
47,6,1,2
45,4,1,2
25,2,2,2
22,1,1,2
37,3,1,2
26,2,1,2
22,1,1,2
24,1,1,2
48,3,1,2
42,7,3,2
40,6,1,2
22,2,3,2
29,3,3,2
33,5,2,2
44,4,2,2
40,6,1,2
38,2,1,2
40,5,1,2
43,2,2,2
42,5,2,2
32,2,1,2
28,2,3,2
24,1,2,2
