@relation contraceptive

@attribute Wife_age numeric
@attribute Children numeric
@attribute Husband_occupation numeric
@attribute Contraceptive_method {1,2,3}

@data
39,6,2,1
48,5,1,1
33,2,3,1
43,8,3,1
28,1,3,1
27,1,1,1
47,4,2,1
48,8,1,1
49,6,1,1
33,2,1,1
25,1,1,1
38,1,3,1
41,1,2,1
27,5,2,1
26,3,3,1
37,1,1,1
20,1,1,1
22,2,3,1
22,0,2,1
47,4,1,1
49,8,3,1
18,0,3,1
48,5,3,1
26,1,1,1
20,1,2,1
19,1,2,1
41,4,3,1
34,3,1,1
38,2,2,1
22,0,1,1
27,1,3,1
42,8,4,1
33,1,3,1
24,2,3,1
27,1,3,1
29,0,2,1
37,2,3,1
38,5,3,1
39,2,3,1
40,8,2,1
24,3,2,1
23,1,1,2
28,2,3,2
33,3,2,2
27,1,2,2
34,4,3,2
47,8,1,2
42,6,1,2
24,1,3,2
47,11,2,2
29,1,2,2
36,6,2,2
24,1,3,2
33,5,2,2
26,1,1,2
32,6,3,2
39,3,1,2
32,5,1,2
33,5,2,2
37,3,3,2
38,6,1,2
30,6,3,3
21,1,3,3
29,3,3,3
29,2,3,3
33,8,3,3
33,5,1,3
36,4,1,3
20,1,2,3
27,3,2,3
32,3,1,3
25,1,3,3
30,2,2,3
34,2,3,3
26,3,3,3
27,4,3,3
48,8,1,3
27,1,1,3
21,1,4,3
35,2,1,3
25,4,3,3
23,1,2,3
19,1,2,3
17,1,2,3
25,3,3,3
29,5,1,3
25,3,3,3
38,2,3,3
43,5,1,3
28,2,1,3
22,2,3,3
41,5,1,3
45,2,3,3
46,6,3,3
28,3,3,3
39,2,2,3
36,8,1,3
29,0,3,1
31,3,2,1
30,7,2,1
29,2,1,1
36,1,3,1
30,0,3,1
45,8,2,1
26,3,1,1
34,9,2,1
38,6,3,1
28,0,3,1
27,0,3,1
37,4,2,1
31,6,3,1
46,7,3,1
34,4,3,1
40,6,2,1
22,0,2,1
24,4,3,1
33,3,3,1
49,5,2,1
42,4,3,2
45,9,3,2
28,2,1,2
23,1,3,2
38,7,2,2
43,4,1,2
37,7,1,2
47,4,2,2
32,4,2,2
45,3,1,2
44,6,3,2
28,2,3,2
23,1,3,2
44,1,2,2
43,2,1,3
30,3,3,3
29,1,3,3
29,5,3,3
36,7,2,3
28,1,2,3
35,6,3,3
21,1,3,3
37,5,1,3
33,4,2,3
34,6,3,3
21,1,2,3
42,6,2,3
29,3,1,3
33,2,2,3
