@relation crx

@attribute A5 {g,p,gg}
@attribute A6 {w,q,m,r,cc,k,c,d,x,i,e,aa,ff,j}
@attribute A8 numeric
@attribute A9 {t,f}
@attribute A10 {t,f}
@attribute Class {positive,negative}

@data
g,c,3,t,f,positive
p,aa,25,t,f,positive
g,i,15,t,t,positive
g,w,1085,t,t,positive
g,i,0,t,f,positive
g,w,75,t,t,positive
g,i,5165,t,t,positive
g,q,6,t,t,positive
g,x,25,t,f,positive
g,c,225,f,f,positive
g,x,875,t,f,positive
g,e,8665,t,t,positive
g,aa,35,t,t,positive
g,aa,3,t,f,positive
g,w,15,t,f,positive
p,x,246,f,f,positive
g,c,425,t,t,positive
p,cc,175,t,t,positive
g,x,5,t,t,positive
g,ff,14415,t,t,positive
p,w,225,t,t,positive
p,c,1,t,t,positive
g,aa,85,t,f,positive
g,m,175,t,t,positive
g,aa,1415,t,t,positive
g,cc,35,t,t,positive
g,w,146,t,t,positive
g,c,7875,t,t,positive
g,m,125,t,f,positive
g,c,15,t,t,positive
p,x,4,t,t,positive
g,k,1,t,f,positive
g,w,5,t,t,positive
g,aa,196,t,t,positive
g,w,175,t,t,positive
g,x,45,t,t,positive
g,q,415,t,t,positive
g,x,3085,t,t,positive
g,cc,665,t,f,positive
g,i,5,t,f,positive
g,c,85,t,t,positive
g,w,75,t,t,positive
g,x,575,f,f,positive
g,m,125,t,t,positive
g,k,8,t,f,positive
g,m,425,t,t,positive
g,w,15,f,f,positive
g,c,225,t,t,positive
p,q,125,t,t,positive
g,k,5,t,f,positive
g,c,25,t,f,positive
p,w,375,t,f,positive
g,x,1665,t,t,positive
g,c,4335,t,f,positive
g,d,1875,t,t,positive
g,x,75,t,t,positive
g,e,13,t,t,positive
g,j,0,t,t,positive
g,q,5,t,t,positive
g,c,15,t,f,positive
p,e,4,t,f,positive
p,d,55,t,f,positive
g,m,16,t,f,positive
g,q,458,t,f,positive
g,c,1415,t,f,positive
g,cc,7415,t,f,positive
g,cc,1835,t,t,positive
p,e,0,t,f,positive
g,cc,10,t,t,positive
g,e,7,t,t,positive
g,c,2625,t,t,positive
g,cc,275,t,t,positive
g,ff,5,t,t,positive
g,w,375,t,t,positive
p,c,15,t,t,positive
g,cc,415,t,t,positive
g,q,175,t,f,positive
g,i,35,t,t,positive
g,r,5375,t,t,positive
g,c,65,t,t,positive
g,m,129,t,t,positive
g,cc,4,t,f,positive
g,c,5335,t,t,positive
g,d,15,t,t,positive
g,q,7375,t,t,positive
g,c,21,t,t,positive
g,w,4,t,t,positive
g,c,4,f,f,positive
g,q,2375,t,t,positive
g,q,1835,t,t,positive
p,k,25,t,t,positive
p,q,15,t,t,positive
p,m,0,f,f,positive
g,k,4165,t,t,positive
p,w,85,t,t,positive
g,w,1625,t,t,positive
g,q,2,t,t,positive
g,w,575,t,f,positive
g,c,875,t,f,positive
g,x,13875,t,t,positive
g,m,65,t,t,positive
p,i,85,t,t,positive
g,cc,5085,t,t,positive
g,q,14,t,t,positive
g,k,85,t,f,positive
g,e,225,t,t,positive
g,q,29,t,t,positive
g,x,25,t,t,positive
g,q,21,f,f,positive
g,x,1335,t,t,positive
g,c,1085,t,t,positive
g,i,10,t,t,positive
g,i,0,t,t,positive
g,x,125,t,t,positive
g,w,11,t,f,positive
g,m,129,t,t,positive
g,aa,4,t,f,positive
g,x,4,t,f,positive
p,d,15,f,f,positive
g,e,0,t,t,positive
g,c,1665,t,t,positive
g,q,5,t,t,positive
p,cc,25,t,t,positive
g,c,6,t,f,positive
g,c,175,t,t,positive
g,c,45,t,t,positive
g,cc,4,t,f,positive
g,aa,1375,t,f,positive
g,c,2,t,t,positive
p,x,3165,t,t,positive
g,k,54,t,t,positive
p,c,25,t,f,positive
p,c,3,t,f,positive
g,aa,75,t,t,positive
g,e,1275,t,t,positive
g,c,146,t,t,positive
g,q,229,t,t,positive
g,ff,0,t,f,positive
g,q,275,t,t,positive
g,e,4,f,t,positive
g,q,175,t,f,positive
g,q,2585,t,t,positive
g,q,9,t,f,positive
g,c,55,t,t,positive
g,q,15,t,f,positive
g,w,125,t,t,positive
g,c,1,t,t,positive
g,w,0,t,f,positive
g,w,155,t,t,positive
g,c,25,t,f,positive
p,c,325,t,t,positive
g,m,14,t,t,positive
g,ff,0,t,t,positive
g,c,55,t,t,positive
g,x,1,t,t,positive
g,aa,504,t,t,positive
p,k,25,t,t,positive
g,e,20,t,t,positive
g,x,1625,t,t,positive
g,c,15,t,t,positive
g,x,175,t,t,positive
g,i,5125,t,f,positive
g,cc,375,f,f,positive
g,k,45,t,t,positive
g,i,35,f,f,positive
g,w,835,t,f,positive
g,c,2165,f,f,positive
g,q,55,t,t,positive
g,m,25,t,t,positive
g,c,1,t,t,positive
g,cc,3125,t,t,positive
p,m,4,t,t,positive
g,e,0,t,f,positive
p,j,0,t,t,positive
g,k,629,t,t,positive
g,q,11,t,f,positive
g,c,25,t,t,positive
g,q,125,t,t,positive
g,c,5,t,t,positive
g,q,304,t,t,positive
g,q,125,t,f,positive
g,q,71,t,t,positive
g,x,104,t,f,positive
