@relation crx

@attribute A3 numeric
@attribute A6 {w,q,m,r,cc,k,c,d,x,i,e,aa,ff,j}
@attribute A9 {t,f}
@attribute Class {positive,negative}

@data
3,m,t,positive
6,aa,t,positive
13,i,t,positive
54,x,t,positive
95,w,t,positive
8,m,t,positive
275,w,t,positive
145,x,t,positive
25,d,t,positive
29,c,t,positive
446,q,t,positive
665,c,f,positive
104,r,t,positive
925,q,t,positive
45,w,t,positive
154,cc,t,positive
10,q,t,positive
979,x,t,positive
7625,w,t,positive
215,e,t,positive
4,w,t,positive
1125,x,t,positive
1125,c,t,positive
125,aa,t,positive
125,aa,t,positive
1585,w,t,positive
5875,q,t,positive
375,cc,f,positive
11,x,t,positive
54,cc,t,positive
11625,w,t,positive
2,k,t,positive
146,w,t,positive
154,i,f,positive
585,c,t,positive
75,q,t,positive
5,q,t,positive
704,m,t,positive
165,c,t,positive
5,q,t,positive
325,q,t,positive
1479,aa,t,positive
25085,w,t,positive
115,j,t,positive
204,w,t,positive
4915,w,t,positive
28,c,t,positive
925,c,t,positive
1835,q,t,positive
171,x,t,positive
15,q,t,positive
165,ff,t,positive
254,c,t,positive
1,c,t,positive
171,x,t,positive
195,c,t,positive
11835,c,t,positive
5,aa,t,positive
529,e,t,positive
1,q,t,positive
404,cc,t,positive
65,w,t,positive
1175,x,t,positive
375,c,t,positive
1625,c,t,positive
6,m,t,positive
875,q,t,positive
1835,c,t,positive
15,r,t,positive
817,aa,t,positive
1225,m,t,positive
10,i,t,positive
375,c,t,positive
304,c,t,positive
375,m,t,positive
8665,aa,t,positive
115,i,t,positive
254,aa,t,positive
504,q,t,positive
11,q,t,positive
65,q,t,positive
79,q,t,positive
12335,q,t,positive
35,aa,t,positive
13585,k,t,positive
83,c,f,positive
479,w,t,positive
55,e,t,positive
25,i,t,positive
504,c,t,positive
10335,cc,t,positive
11585,cc,t,positive
5,cc,t,positive
375,q,t,positive
125,cc,t,positive
0,c,t,positive
8,c,t,positive
1125,d,f,positive
22,ff,f,positive
1,c,t,positive
2875,x,t,positive
75,c,t,positive
4,c,f,positive
11,e,t,positive
3,x,t,positive
4,e,f,positive
145,ff,t,positive
85,cc,t,positive
4415,c,t,positive
46,k,t,positive
5,c,t,positive
42,c,t,positive
5875,cc,t,positive
404,i,t,positive
65,m,t,positive
3,aa,t,positive
10,c,t,positive
2,m,t,positive
5625,w,t,positive
11,x,t,positive
3335,w,t,positive
15,e,t,positive
917,c,t,positive
1775,ff,t,positive
21,k,t,positive
175,e,t,positive
5125,x,t,positive
3165,x,t,positive
4625,q,t,positive
875,m,t,positive
375,cc,f,positive
25125,x,t,positive
21,i,t,positive
10,c,t,positive
4625,q,t,positive
2125,w,t,positive
175,x,t,positive
1025,q,t,positive
5125,e,t,positive
446,cc,t,positive
12,m,t,positive
65,c,t,positive
154,q,t,positive
65,q,t,positive
9,w,t,positive
21,q,t,positive
29,cc,t,positive
525,w,f,positive
15,c,t,positive
1375,w,t,positive
135,q,t,positive
754,q,t,positive
165,c,f,positive
95,q,t,positive
115,ff,t,positive
5,c,t,positive
4,c,t,positive
65,aa,t,positive
5,i,t,positive
1835,c,t,positive
3,q,t,positive
2,x,t,positive
9335,q,t,positive
165,q,f,positive
105,c,t,positive
2229,e,t,positive
104,c,t,positive
3,d,t,positive
25,c,t,positive
5,c,t,positive
0,m,f,positive
0,w,t,positive
5,k,t,positive
15,c,t,positive
25,m,t,positive
5,c,t,positive
425,c,t,positive
46,cc,t,positive
15,d,t,positive
621,q,t,positive
14,ff,t,positive
65,k,t,positive
105,q,t,positive
12,q,t,positive
6625,d,t,positive
996,e,t,positive
85,e,t,positive
12,c,t,positive
8,e,t,positive
1004,x,t,positive
204,aa,t,positive
2335,i,t,positive
1665,cc,t,positive
1,i,t,positive
875,x,t,positive
205,k,t,positive
54,aa,t,positive
9,aa,t,positive
75,c,t,positive
2,i,t,positive
15,c,t,positive
5,q,t,positive
125,c,f,positive
6,c,t,positive
195,c,t,positive
6,k,t,positive
604,k,f,positive
3,cc,t,positive
1254,aa,t,positive
275,m,t,positive
5,c,t,positive
9,q,t,positive
15,cc,t,positive
96,x,t,positive
7,c,t,positive
15,c,t,positive
15,w,t,positive
55,k,t,positive
9415,ff,t,positive
15,w,f,positive
115,w,t,positive
4,x,t,positive
75,c,t,positive
65,cc,t,positive
1075,q,t,positive
4415,k,t,positive
20,x,t,positive
425,i,t,positive
229,q,t,positive
125,k,t,positive
9625,e,t,positive
55,q,t,positive
11,cc,t,positive
375,q,t,positive
2415,c,t,positive
55,q,t,positive
1,x,t,positive
5,x,t,positive
16,j,t,positive
205,i,t,positive
675,c,t,positive
3,q,t,positive
58,c,t,positive
175,c,t,positive
1415,w,t,positive
9,aa,t,positive
83,x,t,positive
4,j,t,positive
10125,x,t,positive
10,q,t,positive
6665,q,t,positive
8585,cc,t,positive
925,c,t,positive
271,cc,t,positive
25,cc,t,positive
75,aa,t,positive
25,w,t,positive
304,x,t,positive
954,aa,t,positive
5,w,t,positive
204,q,t,positive
95,w,t,positive
11125,x,t,positive
425,m,t,positive
45,x,f,positive
375,cc,t,positive
11,w,t,positive
246,c,f,negative
254,ff,f,negative
125,c,f,negative
175,w,t,negative
15,aa,f,negative
3125,ff,f,negative
25,ff,f,negative
104,ff,t,negative
4585,k,f,negative
85,q,t,negative
254,ff,f,negative
15,m,t,negative
835,c,f,negative
3,aa,f,negative
79,w,f,negative
75,e,t,negative
75,k,t,negative
29,ff,f,negative
