@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute CreditAmount numeric
@attribute InstallmentRate numeric
@attribute Guarantors {A101,A103,A102}
@attribute Housing {A152,A153,A151}
@attribute Customer {1,2}

@data
A14,2748,2,A101,A153,1
A12,932,1,A101,A152,1
A14,929,4,A101,A152,1
A14,2788,2,A102,A152,1
A13,1225,2,A101,A152,1
A14,1149,4,A101,A152,1
A11,1382,4,A101,A152,1
A11,5371,3,A103,A152,1
A14,3430,3,A101,A152,1
A14,5801,2,A101,A151,1
A14,3342,4,A101,A152,1
A12,6078,2,A101,A152,1
A14,996,4,A101,A152,1
A11,2577,2,A101,A152,1
A12,1113,4,A103,A152,1
A14,7166,2,A101,A151,1
A14,930,4,A101,A152,1
A11,2957,4,A101,A152,1
A12,7308,2,A101,A153,1
A11,1107,2,A101,A151,1
A11,2384,4,A101,A151,1
A14,1264,4,A101,A151,1
A14,2301,2,A101,A151,1
A12,5743,2,A101,A153,1
A13,5848,4,A101,A152,1
A14,6842,2,A101,A152,1
A12,1919,4,A101,A151,1
A14,1743,1,A101,A152,1
A12,2181,4,A101,A152,1
A14,7814,3,A101,A152,1
A14,6110,1,A101,A153,1
A14,5842,2,A101,A152,1
A14,4679,3,A101,A152,1
A12,1199,4,A101,A152,1
A12,7057,3,A101,A151,1
A11,1344,4,A101,A152,1
A12,2326,2,A101,A152,1
A11,3104,3,A101,A152,1
A13,1445,4,A101,A152,1
A13,1343,1,A101,A152,1
A11,4020,2,A101,A152,1
A14,3594,1,A101,A152,1
A12,3213,1,A101,A151,1
A14,1736,3,A101,A152,1
A14,1283,4,A101,A151,1
A12,6967,4,A101,A151,1
A12,3872,2,A101,A152,1
A14,846,3,A101,A153,1
A12,3590,3,A101,A152,1
A14,3609,1,A101,A152,1
A14,1901,4,A101,A151,1
A11,3416,3,A101,A152,1
A14,701,4,A101,A152,1
A14,2221,2,A101,A151,1
A12,4771,2,A101,A152,1
A14,2241,4,A101,A152,1
A13,1480,2,A101,A153,1
A12,2028,4,A101,A152,1
A14,2108,2,A101,A151,1
A12,3566,4,A101,A152,1
A14,1204,4,A101,A151,1
A12,3652,2,A101,A152,1
A12,2760,4,A101,A153,1
A14,1851,4,A103,A152,1
A14,682,4,A101,A152,1
A11,10623,3,A101,A153,1
A12,1322,4,A101,A152,1
A12,3069,4,A101,A153,1
A11,652,4,A101,A151,1
A11,1053,4,A101,A152,1
A14,7629,4,A101,A152,1
A14,1924,1,A101,A152,1
A12,907,3,A101,A152,1
A14,2146,1,A101,A151,1
A13,1925,2,A101,A152,1
A14,10144,2,A101,A152,1
A11,1858,4,A101,A151,1
A14,3079,4,A101,A152,1
A14,3757,4,A102,A153,1
A11,1797,3,A101,A152,1
A11,2348,3,A101,A152,1
A11,1526,4,A101,A153,1
A14,5150,4,A101,A152,1
A14,1820,2,A101,A152,1
A11,1755,4,A103,A152,1
A14,3380,1,A101,A152,1
A14,1898,1,A101,A152,1
A13,2251,1,A101,A152,1
A14,1346,2,A101,A153,1
A12,2896,2,A101,A152,1
A12,5965,1,A101,A152,1
A14,3181,4,A101,A152,1
A13,2116,2,A101,A152,1
A14,1413,4,A101,A152,1
A14,2069,2,A101,A152,1
A14,1287,4,A101,A152,1
A14,3780,3,A101,A152,1
A14,909,4,A101,A152,1
A14,362,4,A101,A152,1
A12,2745,3,A101,A152,1
A14,1927,3,A101,A152,1
A14,3488,3,A101,A152,1
A14,1478,4,A101,A152,1
A14,5103,3,A101,A153,1
A14,2051,4,A101,A152,1
A14,1829,4,A101,A152,1
A14,3568,4,A101,A151,1
A14,3527,2,A101,A152,1
A14,1554,1,A101,A151,1
A12,1424,4,A101,A152,1
A12,5866,2,A101,A152,1
A11,1747,4,A102,A152,1
A14,3972,2,A101,A151,1
A12,3711,2,A101,A152,1
A12,5084,2,A101,A152,1
A13,1424,3,A101,A152,1
A11,1603,4,A101,A152,1
A12,3832,2,A101,A152,1
A11,3149,4,A101,A153,1
A11,2389,4,A101,A152,1
A12,1301,4,A103,A152,1
A14,2978,1,A101,A152,1
A12,1743,4,A101,A152,1
A11,1657,2,A101,A152,1
A12,9283,1,A101,A153,1
A14,518,3,A101,A152,1
A12,1521,4,A101,A152,1
A12,2930,2,A101,A152,1
A12,4439,1,A102,A152,1
A14,426,4,A101,A152,1
A13,1881,2,A101,A151,1
A14,4139,3,A101,A152,1
A14,3331,2,A101,A152,1
A12,484,3,A103,A152,1
A14,1525,4,A101,A152,1
A12,2273,3,A101,A152,1
A14,7824,3,A103,A151,1
A14,4594,3,A101,A152,1
A14,3343,4,A101,A153,1
A11,10722,1,A101,A152,1
A14,1867,4,A101,A152,1
A14,730,4,A101,A151,1
A14,2675,3,A101,A152,1
A11,3357,4,A101,A152,1
A14,1224,3,A101,A152,1
A14,3577,1,A103,A151,1
A12,2991,2,A101,A152,1
A11,2122,3,A101,A151,1
A14,3556,3,A101,A152,1
A12,2728,4,A103,A152,1
A12,760,4,A103,A152,1
A11,731,4,A101,A152,1
A13,2687,2,A101,A151,1
A12,983,1,A101,A151,1
A13,5152,4,A101,A152,1
A14,3835,2,A101,A152,1
A14,1386,4,A101,A151,1
A12,1295,4,A101,A152,1
A14,1360,4,A101,A152,1
A11,3394,4,A102,A152,1
A11,14179,4,A101,A152,1
A11,4380,3,A101,A152,1
A11,3599,1,A101,A151,1
A13,1275,4,A101,A152,1
A11,1433,4,A101,A151,1
A14,5742,2,A101,A152,1
A12,12169,4,A102,A153,1
A14,1963,4,A101,A151,1
A11,1364,3,A101,A152,1
A12,6361,2,A101,A152,1
A11,6579,4,A101,A153,1
A12,625,4,A103,A152,1
A14,4272,2,A101,A152,1
A13,3749,2,A101,A152,1
A12,6403,1,A101,A152,1
A11,3676,1,A101,A151,1
A14,1258,2,A101,A151,1
A12,3976,2,A101,A152,1
A11,3590,2,A102,A152,1
A14,1934,2,A101,A152,1
A12,2528,4,A101,A152,1
A14,1278,4,A101,A152,1
