@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute CreditAmount numeric
@attribute InstallmentRate numeric
@attribute Guarantors {A101,A103,A102}
@attribute Housing {A152,A153,A151}
@attribute Customer {1,2}

@data
A14,2096,2,A101,A152,1
A11,7882,2,A103,A153,1
A14,2424,4,A101,A152,1
A14,2134,4,A101,A152,1
A12,1913,3,A101,A152,1
A12,1158,3,A101,A152,1
A12,6204,2,A101,A152,1
A14,1393,4,A101,A152,1
A11,1352,1,A101,A151,1
A14,7228,1,A101,A152,1
A14,3378,2,A101,A152,1
A12,2225,4,A101,A153,2
A11,6229,4,A102,A151,2
A11,2315,3,A101,A152,1
A12,2323,4,A101,A151,1
A12,1410,1,A101,A152,1
A12,1449,1,A101,A152,1
A14,3578,4,A101,A152,1
A12,2366,3,A101,A152,1
A14,3868,4,A101,A151,1
A14,1768,3,A101,A151,1
A13,781,4,A101,A153,1
A12,1860,4,A101,A152,1
A11,3499,3,A102,A152,2
A14,1984,4,A101,A153,1
A12,7758,2,A101,A151,1
A11,1282,2,A101,A151,2
A14,1055,4,A101,A152,1
A14,763,4,A101,A152,1
A12,4297,4,A101,A152,2
A14,5117,3,A101,A152,1
A14,2978,4,A101,A152,1
A14,2141,3,A101,A152,1
A11,1823,4,A101,A152,2
A14,433,3,A102,A151,2
A14,2662,4,A101,A152,1
A11,4788,4,A101,A152,1
A14,2515,3,A101,A152,1
A13,1494,1,A101,A152,1
A11,1938,4,A101,A152,2
A11,3384,1,A101,A151,2
A14,776,4,A101,A152,1
A11,2473,4,A101,A152,2
A12,3001,2,A101,A151,1
A11,1957,1,A101,A152,1
A14,2406,2,A101,A152,1
A14,802,4,A101,A152,1
A14,7253,3,A101,A152,1
A14,2292,4,A101,A152,2
A11,1381,4,A101,A152,2
A11,2579,4,A101,A152,2
A14,3186,2,A101,A151,1
A11,2136,3,A101,A152,1
A12,3017,3,A101,A151,1
A14,2569,4,A101,A152,1
A14,1163,4,A101,A152,1
A12,1209,4,A101,A152,2
A14,1309,4,A103,A152,2
A11,7119,3,A101,A153,2
A14,1750,2,A101,A152,1
A12,1995,4,A101,A152,1
A14,5433,2,A101,A151,1
A12,2820,4,A101,A152,2
A11,1289,4,A103,A152,1
A12,1837,4,A101,A153,2
A12,9157,2,A101,A153,1
A14,1979,4,A101,A152,1
A14,4042,4,A101,A152,1
A12,1444,4,A101,A152,1
A14,1393,4,A101,A152,1
A12,1922,4,A101,A152,2
A12,8086,2,A101,A152,2
A14,10222,4,A101,A152,1
A14,1453,3,A101,A152,1
A12,2862,4,A101,A153,1
A12,2631,3,A101,A152,1
A11,1138,4,A101,A152,1
A11,1228,4,A101,A152,2
A11,2325,2,A101,A152,1
A14,5248,1,A101,A152,1
A12,841,2,A101,A151,1
A14,1393,2,A103,A152,1
A11,7511,1,A101,A153,2
A14,1597,4,A101,A153,1
A14,1101,3,A101,A152,1
A14,886,4,A101,A152,1
A11,5179,4,A101,A152,2
A14,1559,4,A101,A152,1
A11,1442,4,A101,A153,2
A14,10875,2,A101,A152,1
A11,2442,4,A101,A152,1
A14,8947,3,A101,A152,1
A11,4153,2,A102,A152,2
A12,4736,2,A101,A152,2
A11,3161,4,A101,A151,2
A14,522,4,A101,A152,1
A14,1533,4,A102,A152,2
A13,3656,4,A101,A152,1
A12,1264,2,A101,A151,2
A14,4844,3,A101,A151,2
