@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute CreditHistory {A34,A32,A33,A30,A31}
@attribute StatusAndSex {A93,A92,A91,A94}
@attribute InstallmentPlans {A143,A141,A142}
@attribute Customer {1,2}

@data
A14,A32,A93,A143,1
A14,A32,A92,A143,1
A14,A34,A93,A143,1
A14,A33,A93,A143,1
A14,A33,A93,A143,1
A14,A32,A93,A142,1
A14,A34,A93,A143,1
A13,A34,A93,A143,1
A14,A34,A92,A141,1
A12,A30,A93,A143,1
A14,A32,A93,A143,1
A12,A32,A92,A143,1
A14,A32,A93,A143,1
A12,A32,A92,A143,1
A14,A32,A92,A143,1
A12,A32,A94,A141,1
A11,A32,A91,A143,1
A14,A32,A92,A143,1
A14,A34,A93,A143,1
A14,A34,A93,A143,1
A14,A32,A93,A143,1
A14,A33,A93,A143,1
A14,A32,A93,A143,1
A11,A32,A93,A143,1
A11,A32,A93,A141,1
A11,A32,A92,A141,1
A14,A32,A93,A143,1
A14,A34,A92,A143,1
A14,A32,A93,A143,1
A11,A33,A92,A143,1
A11,A30,A93,A141,1
A14,A34,A92,A143,1
A13,A32,A92,A143,1
A14,A34,A93,A143,1
A11,A32,A92,A143,1
A14,A34,A93,A143,1
A12,A32,A92,A143,1
A12,A32,A92,A143,1
A12,A32,A93,A141,1
A13,A34,A91,A143,1
A14,A32,A94,A143,1
A11,A32,A93,A143,1
A14,A32,A93,A143,1
A11,A32,A94,A142,1
A14,A32,A92,A143,1
A12,A31,A93,A142,1
A14,A34,A93,A143,1
A14,A32,A92,A143,1
A13,A31,A92,A143,1
A12,A32,A92,A143,1
A12,A30,A92,A143,1
A11,A34,A93,A143,1
A12,A34,A92,A143,1
A14,A34,A92,A143,1
A12,A32,A93,A143,1
A14,A34,A94,A143,1
A14,A32,A92,A143,1
A12,A32,A93,A143,1
A14,A32,A93,A143,1
A11,A32,A92,A143,1
A14,A34,A93,A143,1
A11,A34,A92,A143,1
A14,A34,A93,A143,1
A12,A33,A93,A143,1
A12,A32,A92,A143,1
A12,A32,A94,A143,1
A14,A34,A93,A143,1
A14,A34,A94,A143,1
A14,A34,A93,A143,1
A11,A32,A93,A143,1
A14,A32,A93,A143,1
A13,A32,A93,A143,1
A14,A32,A92,A142,1
A13,A31,A93,A141,1
A12,A33,A93,A141,1
A11,A34,A92,A143,1
A11,A31,A94,A141,1
A14,A32,A93,A143,1
A14,A32,A93,A143,1
A11,A34,A92,A143,1
A12,A33,A93,A143,1
A14,A34,A93,A143,1
A12,A34,A92,A143,1
A14,A34,A93,A143,1
A12,A32,A93,A143,1
A14,A33,A93,A143,1
A12,A32,A92,A143,1
A12,A32,A93,A143,1
A14,A32,A93,A141,1
A14,A32,A93,A143,1
A14,A31,A93,A141,1
A14,A32,A93,A143,1
A13,A32,A92,A143,1
A12,A33,A91,A141,1
A11,A32,A93,A142,1
A12,A31,A92,A141,1
A11,A32,A92,A143,1
A12,A32,A93,A143,1
A11,A32,A93,A143,1
A12,A34,A93,A143,1
A14,A32,A93,A143,1
