@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute CreditHistory {A34,A32,A33,A30,A31}
@attribute Purpose {A43,A46,A42,A40,A41,A49,A44,A45,A410,A48}
@attribute SavingsAccount {A65,A61,A63,A64,A62}
@attribute Guarantors {A101,A103,A102}
@attribute Age numeric
@attribute Job {A173,A172,A174,A171}
@attribute Customer {1,2}

@data
A12,A33,A40,A62,A101,30,A173,1
A14,A33,A43,A61,A101,33,A173,1
A14,A32,A49,A61,A101,34,A173,1
A11,A32,A42,A61,A101,27,A173,1
A11,A32,A43,A65,A101,23,A172,1
A14,A32,A43,A63,A101,30,A174,1
A14,A34,A43,A61,A101,33,A173,1
A14,A34,A43,A61,A101,42,A172,1
A14,A32,A40,A65,A101,32,A173,1
A14,A34,A41,A65,A101,38,A173,1
A11,A32,A43,A61,A101,23,A173,1
A14,A34,A40,A61,A101,36,A173,1
A12,A32,A42,A64,A101,19,A172,1
A13,A33,A40,A61,A101,36,A173,1
A14,A32,A42,A61,A101,25,A173,1
A14,A32,A43,A61,A101,34,A173,1
A11,A32,A40,A61,A101,28,A173,1
A14,A34,A43,A61,A101,29,A173,1
A11,A34,A40,A61,A101,30,A173,1
A14,A34,A46,A61,A101,49,A172,1
A12,A32,A40,A62,A101,30,A173,1
A12,A34,A42,A61,A101,35,A173,1
A12,A33,A49,A65,A101,42,A173,1
A14,A32,A43,A61,A101,38,A173,1
A11,A34,A42,A61,A101,44,A173,1
A14,A32,A41,A65,A101,20,A173,1
A12,A30,A48,A61,A101,31,A172,1
A11,A34,A41,A61,A101,38,A174,1
A14,A34,A43,A64,A101,46,A173,1
A11,A34,A40,A61,A101,40,A172,1
A11,A34,A45,A62,A103,48,A173,1
A14,A34,A40,A65,A101,44,A173,1
A14,A32,A49,A64,A101,28,A173,1
A12,A34,A41,A62,A101,44,A173,1
A11,A32,A42,A64,A101,28,A173,1
A14,A32,A42,A61,A101,50,A173,1
A14,A31,A49,A61,A101,27,A173,1
A14,A33,A41,A61,A101,41,A173,1
A14,A32,A43,A61,A101,39,A173,1
A13,A32,A40,A61,A101,26,A173,1
A14,A32,A43,A65,A101,41,A173,1
A14,A34,A43,A61,A101,25,A173,1
A14,A32,A49,A61,A101,36,A173,1
A14,A32,A43,A61,A101,26,A173,1
A12,A34,A42,A61,A101,40,A174,1
A14,A34,A43,A61,A102,46,A173,1
A14,A34,A42,A61,A101,30,A172,1
A14,A33,A41,A61,A101,28,A172,1
A11,A32,A43,A61,A101,27,A173,1
A14,A34,A40,A65,A101,59,A173,1
A14,A32,A43,A64,A101,61,A172,1
A11,A34,A40,A61,A101,65,A173,1
A12,A32,A40,A65,A101,33,A172,1
A14,A34,A40,A64,A101,60,A173,1
A12,A34,A43,A61,A101,36,A173,1
A14,A34,A40,A61,A101,37,A173,1
A12,A34,A41,A64,A101,29,A173,1
A14,A32,A43,A61,A101,28,A173,1
A14,A32,A49,A62,A101,24,A172,1
A11,A32,A43,A63,A101,44,A173,1
A14,A33,A49,A62,A101,26,A172,1
A11,A32,A41,A63,A101,23,A171,1
A14,A34,A41,A65,A101,30,A174,1
A14,A34,A42,A64,A101,32,A172,1
A14,A32,A49,A61,A101,26,A173,1
A12,A34,A40,A64,A101,40,A173,1
A14,A34,A43,A65,A101,36,A173,1
A13,A32,A43,A62,A101,49,A173,1
A14,A32,A48,A65,A101,40,A173,1
A14,A34,A40,A62,A101,51,A173,1
A11,A32,A43,A61,A101,27,A174,1
A14,A34,A43,A61,A103,33,A173,1
A11,A34,A42,A61,A101,25,A173,1
A12,A33,A41,A65,A101,36,A174,1
A12,A32,A43,A61,A103,64,A173,1
A13,A32,A40,A61,A103,37,A172,1
A14,A31,A41,A65,A103,40,A173,1
A11,A32,A40,A62,A101,35,A172,1
A14,A34,A43,A61,A101,46,A173,1
A14,A32,A43,A65,A101,35,A173,1
A12,A32,A46,A65,A101,61,A173,1
A12,A32,A43,A61,A101,27,A173,1
A14,A34,A40,A65,A101,63,A174,1
A13,A34,A40,A63,A101,66,A171,1
A14,A32,A42,A65,A101,33,A172,1
A13,A34,A46,A61,A101,50,A172,1
