@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute CreditHistory {A34,A32,A33,A30,A31}
@attribute ForeignWorker {A201,A202}
@attribute Customer {1,2}

@data
A11,A30,A201,1
A11,A32,A201,1
A11,A33,A201,2
A11,A32,A201,1
A12,A32,A201,1
A14,A32,A201,1
A12,A34,A201,1
A14,A31,A201,2
A11,A32,A201,1
A11,A34,A201,2
A11,A32,A201,2
A11,A33,A201,2
A12,A32,A201,1
A14,A34,A201,1
A14,A32,A201,1
A12,A34,A201,2
A14,A32,A201,1
A14,A34,A201,1
A14,A34,A201,1
A12,A32,A201,2
A11,A34,A201,1
A14,A34,A201,1
A11,A32,A201,1
A13,A32,A201,1
A11,A32,A201,1
A11,A32,A201,1
A14,A32,A201,1
A12,A32,A201,1
A11,A32,A201,1
A14,A33,A201,1
A12,A32,A201,2
A11,A32,A201,1
A14,A34,A201,1
A11,A32,A201,1
A13,A34,A201,2
A14,A32,A202,1
A11,A34,A201,2
A11,A34,A201,1
A13,A31,A201,2
A12,A33,A201,2
A11,A32,A201,1
A12,A32,A201,1
A14,A32,A201,1
A14,A32,A201,1
A14,A33,A201,1
A14,A32,A201,1
A11,A32,A201,1
A14,A33,A201,1
A14,A34,A201,1
A11,A31,A201,2
A11,A32,A201,1
A11,A31,A201,2
A12,A32,A201,2
A12,A32,A201,1
A12,A32,A201,1
A12,A32,A201,2
A11,A32,A201,2
A11,A34,A201,2
A12,A32,A201,1
A14,A32,A201,2
A11,A31,A202,1
A14,A32,A201,2
A11,A32,A201,2
A14,A34,A201,1
A11,A34,A201,1
A12,A32,A202,1
A12,A32,A201,2
A11,A34,A201,1
A14,A34,A201,1
A12,A32,A201,1
A11,A32,A201,1
A12,A32,A201,2
A12,A32,A201,1
A12,A32,A201,2
A11,A32,A201,2
A11,A32,A201,2
A11,A34,A201,2
A11,A32,A201,2
A11,A30,A201,2
A14,A34,A201,1
A14,A32,A201,1
A11,A32,A201,2
A14,A32,A201,1
A12,A34,A201,1
A14,A34,A201,1
A11,A34,A202,1
A14,A34,A201,1
A14,A32,A201,1
A11,A32,A201,1
A14,A32,A201,1
A14,A33,A201,1
A14,A34,A201,1
A14,A32,A201,1
A14,A32,A202,1
A14,A34,A201,1
A12,A30,A201,1
A14,A32,A201,1
A11,A34,A201,1
A12,A32,A201,1
A14,A34,A201,1
