@relation german

@attribute CreditHistory {A34,A32,A33,A30,A31}
@attribute Purpose {A43,A46,A42,A40,A41,A49,A44,A45,A410,A48}
@attribute SavingsAccount {A65,A61,A63,A64,A62}
@attribute Age numeric
@attribute Housing {A152,A153,A151}
@attribute Customer {1,2}

@data
A32,A42,A61,46,A152,1
A32,A42,A61,47,A153,1
A34,A43,A63,42,A152,1
A34,A43,A64,34,A152,1
A34,A43,A65,67,A152,1
A32,A41,A61,34,A153,1
A32,A40,A63,51,A153,1
A32,A44,A61,37,A152,1
A34,A41,A65,30,A152,1
A32,A44,A61,27,A152,1
A32,A40,A61,31,A152,1
A34,A43,A61,36,A152,1
A32,A42,A61,30,A152,1
A34,A43,A61,26,A152,1
A34,A40,A61,47,A152,1
A34,A43,A61,33,A152,1
A33,A43,A61,21,A152,1
A30,A40,A63,30,A152,1
A32,A42,A61,45,A152,1
A32,A40,A61,35,A152,1
A34,A42,A61,33,A152,1
A32,A42,A61,21,A152,1
A32,A43,A65,37,A153,1
A34,A43,A61,35,A152,1
A32,A44,A63,62,A152,1
A33,A43,A63,37,A152,1
A34,A40,A61,38,A152,1
A32,A41,A65,49,A153,1
A34,A41,A65,63,A152,1
A30,A49,A65,25,A152,1
A32,A41,A61,30,A152,1
A32,A41,A65,26,A152,1
A34,A43,A61,23,A152,1
A34,A43,A61,24,A151,1
A34,A41,A65,38,A152,1
A32,A49,A62,34,A152,1
A32,A40,A65,25,A151,1
A33,A42,A65,29,A152,1
A34,A43,A61,48,A151,1
A32,A46,A61,23,A151,1
A34,A43,A61,26,A152,1
A31,A49,A61,50,A152,1
A34,A43,A65,49,A152,1
A33,A43,A61,33,A152,1
A32,A43,A63,47,A152,1
A33,A42,A62,34,A152,1
A33,A40,A61,27,A152,1
A34,A41,A61,66,A153,1
A32,A46,A61,67,A152,1
A32,A42,A61,26,A152,1
A34,A41,A62,24,A151,1
A31,A41,A61,22,A151,1
A32,A48,A65,40,A152,1
A32,A43,A61,26,A152,1
A34,A42,A61,25,A152,1
A32,A40,A61,42,A152,1
A32,A40,A65,36,A152,1
A32,A41,A65,60,A152,1
A34,A43,A64,46,A152,1
A32,A43,A62,47,A153,1
A32,A40,A61,27,A152,1
A32,A43,A61,38,A152,1
A32,A40,A63,40,A151,1
A32,A43,A65,23,A152,1
A34,A41,A61,44,A153,1
A34,A40,A61,68,A153,1
A33,A42,A63,40,A152,1
A34,A41,A61,35,A152,1
A32,A41,A61,32,A153,1
A34,A43,A65,29,A152,1
A32,A42,A65,35,A152,1
A34,A40,A65,44,A152,1
A32,A46,A65,27,A152,1
A32,A41,A65,20,A151,1
A32,A43,A61,33,A152,1
A34,A41,A65,43,A152,1
A32,A43,A63,44,A151,1
A34,A42,A61,25,A151,1
A31,A42,A63,22,A152,1
A32,A40,A61,30,A152,1
A33,A43,A61,51,A152,1
A34,A42,A64,35,A152,1
A34,A49,A61,41,A152,1
A33,A49,A62,36,A151,1
A34,A43,A61,48,A152,1
