@relation tae

@attribute Native numeric
@attribute Course numeric
@attribute Class {1,2,3}

@data
2,1,1
2,3,1
2,2,1
2,15,1
1,7,1
2,1,1
2,11,1
2,11,1
2,3,1
2,8,1
2,3,1
2,16,1
1,3,1
2,1,1
2,2,1
2,7,1
2,5,1
2,2,1
2,8,1
2,4,1
2,3,1
2,1,1
2,2,1
2,15,1
2,2,1
1,15,1
2,18,1
2,1,1
2,1,1
2,2,1
2,2,1
2,3,1
1,3,1
2,2,1
1,3,1
2,16,1
2,3,1
2,2,1
2,3,1
2,7,1
2,2,1
2,5,1
2,3,1
2,1,1
2,3,2
2,13,2
2,11,2
1,3,2
2,3,2
2,26,2
1,13,2
2,13,2
2,3,2
2,2,2
2,23,2
2,11,2
2,25,2
2,24,2
2,8,2
2,17,2
2,15,2
2,7,2
2,11,2
2,17,2
2,11,2
2,8,2
2,25,2
1,18,2
1,3,2
2,12,2
2,1,2
2,1,2
2,15,2
2,1,2
2,2,2
2,9,2
2,7,2
1,16,2
2,17,2
2,15,2
2,7,2
2,17,2
2,6,2
2,3,2
2,15,2
2,3,2
2,7,2
1,17,2
2,9,2
1,3,3
2,2,3
2,3,3
1,3,3
2,3,3
2,3,3
2,11,3
2,15,3
1,3,3
2,3,3
1,3,3
2,2,3
1,3,3
1,3,3
2,3,3
2,21,3
2,22,3
2,19,3
2,22,3
2,25,3
1,3,3
2,1,3
2,21,3
1,2,3
2,3,3
2,5,3
2,3,3
2,3,3
1,3,3
2,21,3
1,3,3
2,5,3
2,11,3
1,3,3
2,3,3
2,3,3
2,17,3
1,17,3
1,17,3
2,14,3
1,2,3
1,1,3
2,11,3
2,6,3
2,5,3
2,1,3
