@relation vehicle

@attribute Max_length_aspect_ratio numeric
@attribute Praxis_rectangular numeric
@attribute Length_rectangular numeric
@attribute Major_variance numeric
@attribute Class {van,saab,bus,opel}

@data
8,18,140,158,van
11,20,167,173,van
7,18,145,160,van
7,18,139,155,van
10,19,148,166,van
8,18,141,160,van
6,17,135,134,van
11,20,155,176,van
5,17,134,140,van
8,18,139,159,van
8,18,148,173,van
9,19,155,175,van
10,20,159,176,van
9,18,142,163,van
8,19,147,171,van
7,18,143,160,van
8,18,144,159,van
8,18,142,161,van
7,17,134,140,van
5,17,128,140,van
9,19,157,165,van
10,19,149,176,van
10,19,148,163,van
7,18,133,167,van
11,20,153,172,van
2,17,121,139,van
10,18,141,157,van
10,19,151,175,van
7,17,128,147,van
10,19,153,174,van
11,20,160,180,van
11,20,159,173,van
10,19,149,167,van
9,18,142,163,van
10,20,157,174,van
55,18,145,231,van
5,17,132,141,van
6,17,144,147,van
8,18,139,157,van
8,18,135,157,van
9,18,135,161,van
11,20,162,178,van
11,20,167,175,van
6,17,129,143,van
9,19,140,165,van
9,19,147,169,van
10,20,151,163,van
9,19,148,173,van
7,18,132,155,van
11,19,145,170,van
9,19,147,164,van
9,18,137,156,van
10,19,148,173,van
10,20,163,170,van
6,17,125,138,van
11,20,161,173,van
10,20,157,173,van
11,20,158,170,van
8,18,140,157,van
9,19,139,168,van
9,18,134,159,van
10,20,170,171,van
10,20,158,179,van
7,17,127,141,van
8,18,142,150,van
9,18,127,159,van
10,19,139,167,van
11,20,156,170,van
8,18,146,159,van
8,18,134,153,van
8,18,135,154,van
8,18,150,161,van
9,19,152,168,van
8,17,139,149,van
3,17,128,137,van
11,20,160,169,van
8,18,148,168,van
7,18,144,164,van
10,20,161,179,van
6,17,137,148,van
10,19,144,173,van
11,20,162,173,van
7,18,138,160,van
8,19,150,165,van
9,19,147,164,van
5,17,128,144,van
4,17,125,138,van
11,20,155,175,van
11,20,158,172,van
8,18,148,160,van
9,19,148,161,van
8,18,144,169,van
10,20,164,169,van
8,19,145,171,van
6,18,138,166,van
8,18,145,156,van
8,18,134,163,van
7,18,140,156,van
8,18,131,167,van
9,18,147,168,van
6,17,137,143,van
9,20,165,168,van
5,17,128,135,van
6,17,130,139,van
11,20,159,172,van
10,20,149,173,van
10,20,155,180,van
6,18,139,154,van
10,19,149,173,van
5,17,125,141,van
49,19,156,272,van
8,18,145,158,van
8,19,144,169,van
9,20,150,170,van
7,18,143,158,van
11,20,157,176,van
9,19,148,169,van
11,20,156,169,van
9,19,156,173,van
7,18,142,154,van
11,19,150,174,van
7,18,137,145,van
6,17,129,137,van
7,18,141,164,van
7,17,140,146,van
8,18,137,156,van
6,18,130,150,van
9,20,149,173,van
10,20,160,171,van
9,20,158,170,van
7,18,145,165,van
10,19,150,167,van
11,20,160,170,van
10,19,153,177,van
11,20,163,170,van
9,19,145,163,van
11,20,163,176,van
11,20,163,175,van
11,20,158,177,van
48,20,163,229,van
