@relation vehicle

@attribute Major_variance numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
159,201,van
170,193,van
154,208,van
154,196,van
167,193,van
148,188,van
175,193,van
170,203,van
200,196,van
170,199,van
158,209,van
156,209,van
171,191,van
176,198,van
164,185,van
173,195,van
177,193,van
137,204,van
173,192,van
167,201,van
171,196,van
156,205,van
168,204,van
162,202,van
180,197,van
168,191,van
159,194,van
200,192,van
154,204,van
145,208,van
161,201,van
170,195,van
173,200,van
159,183,van
145,183,van
143,185,van
147,209,van
169,199,van
175,197,van
139,184,van
137,185,van
147,198,van
176,197,van
161,207,van
169,204,van
160,207,van
142,183,van
156,210,van
174,196,van
174,196,van
157,192,van
166,188,van
173,192,van
172,195,van
169,192,van
170,193,van
158,201,van
173,200,van
139,198,van
148,187,van
320,196,van
168,187,van
168,200,van
150,203,van
135,190,van
159,187,van
160,184,van
142,203,van
138,183,van
170,200,van
135,194,van
170,192,van
141,183,van
164,206,van
160,184,van
161,201,van
167,202,van
155,196,van
158,183,van
162,191,van
167,199,van
148,200,van
161,208,van
168,201,van
169,192,van
163,206,van
147,207,van
172,193,van
176,200,van
148,206,van
166,205,van
142,183,van
162,183,van
170,193,van
166,193,van
169,193,van
272,194,van
172,200,van
171,195,van
179,196,van
173,197,van
169,199,van
168,200,van
157,201,van
174,199,van
173,197,van
169,197,van
164,202,van
163,201,van
160,207,van
140,207,van
144,184,van
146,206,van
155,182,van
164,185,van
176,197,van
179,195,van
153,209,van
168,196,van
166,194,van
159,209,van
170,199,van
162,202,van
159,203,van
165,203,van
154,182,van
165,191,van
160,194,van
231,199,van
161,195,van
135,183,van
140,194,van
175,193,van
171,198,van
157,185,van
166,196,van
171,199,van
180,194,van
179,194,van
153,202,van
137,183,van
173,192,van
164,185,van
161,204,van
159,202,van
134,202,van
149,208,van
138,183,van
170,194,van
149,210,van
173,191,van
176,195,van
150,210,van
163,197,van
143,199,van
157,201,van
136,184,van
141,190,van
173,196,van
170,191,van
167,196,van
177,196,van
165,206,van
139,183,van
163,195,van
229,194,van
175,197,van
173,199,van
165,207,van
159,194,van
176,196,van
173,202,van
178,194,van
168,197,van
160,184,van
141,208,van
156,190,van
140,186,van
176,192,van
224,194,saab
218,197,saab
220,199,saab
197,199,saab
180,195,saab
154,192,saab
184,208,saab
130,183,saab
224,199,saab
170,189,saab
200,199,saab
148,187,saab
174,209,saab
152,183,saab
228,201,saab
197,198,saab
214,204,saab
205,195,saab
155,189,saab
207,206,saab
221,197,saab
235,197,saab
186,204,saab
189,193,saab
205,202,saab
228,197,saab
227,203,saab
221,197,saab
223,200,saab
223,204,saab
178,208,saab
214,200,saab
180,206,saab
216,197,saab
200,195,saab
151,184,saab
164,186,saab
226,202,saab
226,201,saab
191,199,saab
217,199,saab
189,208,saab
223,206,saab
163,200,saab
153,183,saab
217,199,saab
197,194,saab
139,184,saab
216,197,saab
223,196,saab
226,199,saab
210,200,saab
225,202,saab
202,196,saab
191,197,saab
228,200,saab
175,187,saab
229,199,saab
200,195,saab
221,197,saab
216,205,saab
184,205,saab
166,189,saab
148,202,saab
