@relation vehicle

@attribute Distance_circularity numeric
@attribute Scatter_ratio numeric
@attribute Major_variance numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
66,134,163,197,van
70,136,159,202,van
58,127,148,206,van
68,128,154,196,van
89,151,170,199,van
60,118,143,199,van
81,156,170,193,van
66,120,140,190,van
66,131,159,201,van
64,130,150,210,van
74,136,167,193,van
82,155,176,197,van
66,137,162,202,van
51,119,139,184,van
90,157,170,200,van
68,131,159,187,van
88,150,164,206,van
76,142,167,196,van
82,143,164,201,van
84,154,174,196,van
84,149,172,200,van
53,118,137,183,van
58,122,146,206,van
73,143,173,199,van
78,160,169,192,van
84,159,173,197,van
85,157,176,195,van
85,161,175,195,van
63,131,154,204,van
62,130,158,186,van
66,130,160,194,van
78,147,168,200,van
78,139,157,208,van
59,132,145,183,van
85,163,177,195,van
53,118,138,183,van
72,133,161,195,van
80,156,166,193,van
53,132,142,183,van
66,133,154,208,van
77,144,168,200,van
58,133,154,182,van
70,130,159,194,van
68,139,166,196,van
76,156,163,193,van
88,149,165,207,van
49,122,144,184,van
70,139,164,185,van
84,156,171,195,van
70,127,156,190,van
86,153,272,194,van
66,122,145,208,van
84,155,176,195,van
88,151,173,199,van
64,135,164,185,van
60,114,135,194,van
85,151,169,204,van
63,132,158,201,van
58,117,140,194,van
88,157,173,200,van
87,156,173,202,van
66,128,148,200,van
62,131,160,184,van
51,119,135,183,van
62,128,149,208,van
85,158,177,193,van
72,137,159,203,van
64,133,157,201,van
84,157,169,192,van
57,135,155,182,van
66,123,147,198,van
68,134,164,186,van
70,127,156,190,van
64,129,161,201,van
57,114,134,202,van
62,116,137,204,van
85,163,176,196,van
55,132,142,183,van
70,133,153,202,van
81,155,200,192,van
70,139,231,199,van
85,155,320,196,van
85,153,168,204,van
77,140,161,208,van
66,140,168,196,van
76,132,157,192,van
87,157,179,195,van
87,157,179,194,van
70,130,157,185,van
68,138,161,201,van
58,122,142,203,van
47,117,136,184,van
73,136,166,188,van
88,159,176,198,van
81,147,171,198,van
81,145,164,202,van
80,146,161,207,van
78,137,156,210,van
82,145,163,207,van
83,156,177,196,van
80,146,169,197,van
66,139,159,183,van
64,116,138,203,van
68,133,153,209,van
68,128,148,187,van
79,144,165,203,van
80,147,169,199,van
84,156,171,191,van
90,153,170,203,van
81,146,167,199,van
72,136,158,209,van
82,146,165,206,van
91,157,172,200,van
82,159,180,194,van
85,155,179,196,van
64,133,157,201,van
82,159,176,192,van
91,151,166,205,van
70,136,168,187,van
75,161,170,192,van
80,148,171,199,van
88,155,173,202,van
85,159,173,192,van
53,123,141,183,van
71,143,171,196,van
81,150,200,196,van
82,159,170,193,van
66,139,160,184,van
92,160,176,200,van
66,137,166,194,van
69,138,163,195,van
68,127,155,196,van
85,155,179,196,van
68,130,150,203,van
81,150,173,195,van
85,158,174,199,van
66,131,162,191,van
88,158,173,202,van
74,157,170,191,van
62,122,141,208,van
64,134,160,184,van
84,145,163,206,van
85,152,173,197,van
85,155,167,202,van
75,160,173,192,van
83,162,176,197,van
73,161,172,191,van
77,157,169,191,van
87,158,178,194,van
62,127,149,210,van
87,154,167,201,van
80,160,175,193,van
83,157,180,197,van
73,161,170,193,van
63,123,148,188,van
44,119,139,183,van
83,158,229,194,van
76,162,175,193,van
85,157,170,195,van
51,118,137,185,van
64,136,161,204,van
85,155,174,196,van
70,137,162,183,van
85,155,173,196,van
85,153,175,197,van
78,160,173,192,van
82,159,173,191,van
58,118,140,186,van
84,149,170,199,van
70,126,147,207,van
60,119,141,190,van
85,156,172,195,van
77,139,159,209,van
77,156,171,191,van
76,137,156,209,van
82,144,160,207,van
75,157,168,191,van
78,160,170,194,van
66,133,158,183,van
108,220,226,203,saab
106,213,223,202,saab
104,211,223,203,saab
69,141,162,209,saab
103,219,221,197,saab
105,202,216,200,saab
104,215,220,199,saab
51,135,150,182,saab
101,192,218,197,saab
69,140,164,204,saab
52,122,139,184,saab
75,144,165,191,saab
98,215,224,197,saab
95,193,220,196,saab
106,207,223,196,saab
90,181,211,199,saab
108,215,229,199,saab
66,148,164,185,saab
108,217,226,201,saab
81,160,180,199,saab
109,199,207,208,saab
53,116,135,190,saab
96,188,207,199,saab
90,177,195,201,saab
101,213,218,198,saab
105,208,220,197,saab
85,160,187,203,saab
100,196,214,205,saab
100,197,218,198,saab
108,219,228,203,saab
72,154,174,209,saab
54,134,151,185,saab
77,140,165,205,saab
63,146,168,185,saab
103,220,224,199,saab
106,212,220,197,saab
101,213,216,198,saab
102,198,224,196,saab
100,185,202,208,saab
54,129,146,184,saab
90,183,211,196,saab
96,198,219,198,saab
96,187,207,206,saab
104,211,222,196,saab
94,187,214,201,saab
57,135,151,184,saab
90,178,189,208,saab
86,167,186,204,saab
109,212,229,199,saab
110,217,231,206,saab
83,172,197,194,saab
74,151,174,196,saab
80,157,172,209,saab
98,195,219,201,saab
88,173,197,202,saab
55,142,153,183,saab
