@relation vehicle

@attribute Circularity numeric
@attribute Praxis_aspect_ratio numeric
@attribute Length_rectangular numeric
@attribute Minor_variance numeric
@attribute Gyration_radius numeric
@attribute Major_skewness numeric
@attribute Class {van,saab,bus,opel}

@data
36,60,134,265,119,62,van
50,57,170,351,187,77,van
41,58,145,330,162,72,van
37,61,140,278,121,64,van
43,54,149,359,161,74,van
35,64,129,246,112,66,van
44,67,149,367,154,66,van
42,66,144,347,150,65,van
43,55,150,350,164,73,van
49,64,158,363,203,75,van
44,56,155,363,175,76,van
36,52,129,206,125,80,van
44,64,144,283,171,65,van
41,60,141,246,157,61,van
39,49,142,261,134,75,van
42,58,144,345,161,72,van
42,57,144,227,160,66,van
37,53,129,218,135,79,van
43,52,144,282,172,79,van
47,138,155,354,187,135,van
47,58,155,345,184,73,van
45,63,147,307,179,72,van
42,68,142,268,170,71,van
49,56,162,365,185,75,van
43,54,153,351,165,75,van
43,97,149,332,164,91,van
44,66,150,355,159,67,van
36,59,130,291,127,73,van
47,60,155,355,186,75,van
46,63,160,367,176,73,van
41,65,145,314,140,64,van
36,58,125,205,138,85,van
37,52,128,207,125,86,van
38,66,139,296,130,67,van
39,52,135,241,142,75,van
43,64,143,285,174,69,van
47,65,157,354,178,76,van
38,59,131,301,138,71,van
39,60,134,212,141,61,van
40,59,139,241,150,62,van
42,58,142,268,164,69,van
39,55,134,204,148,69,van
43,57,149,339,159,71,van
37,60,135,262,128,69,van
37,54,127,213,147,82,van
38,52,139,243,132,74,van
47,58,151,349,186,74,van
46,61,152,323,199,70,van
37,60,130,253,121,65,van
35,62,127,258,115,66,van
48,64,161,363,186,75,van
44,55,158,351,164,75,van
36,61,130,266,127,66,van
40,53,137,250,157,84,van
43,64,145,281,159,63,van
37,59,125,221,133,82,van
44,65,156,348,143,66,van
41,56,144,237,155,72,van
38,62,132,194,137,72,van
45,67,147,313,179,66,van
47,64,149,359,182,68,van
45,63,148,316,161,64,van
47,55,160,354,176,74,van
40,53,140,247,157,86,van
