@relation vehicle

@attribute Circularity numeric
@attribute Praxis_aspect_ratio numeric
@attribute Length_rectangular numeric
@attribute Minor_variance numeric
@attribute Gyration_radius numeric
@attribute Major_skewness numeric
@attribute Class {van,saab,bus,opel}

@data
41,63,143,309,127,63,van
47,64,145,354,184,75,bus
36,57,125,238,139,82,saab
35,59,128,304,120,64,opel
53,54,171,691,218,74,saab
43,57,146,323,172,83,bus
55,54,175,683,221,76,opel
42,61,145,338,163,72,van
37,54,132,209,129,72,van
45,65,144,312,177,73,bus
45,65,147,611,189,72,opel
45,67,157,365,157,67,van
48,58,163,371,185,75,van
42,55,145,320,172,86,bus
46,64,163,387,170,71,van
56,64,169,928,239,85,bus
54,57,170,707,198,72,opel
48,63,165,354,188,73,van
54,68,164,638,238,71,saab
39,62,131,388,147,74,opel
44,60,146,347,178,81,bus
48,56,167,366,185,76,van
36,62,125,367,126,63,opel
42,53,141,335,172,85,bus
45,69,144,322,184,80,bus
41,55,136,266,165,74,opel
53,67,165,692,222,67,saab
38,55,138,251,123,69,van
45,102,160,347,177,90,van
45,56,155,364,188,75,van
38,60,131,435,144,66,saab
38,59,131,389,137,68,saab
54,63,175,720,213,71,saab
41,64,138,341,152,73,bus
54,57,164,833,253,81,bus
46,66,151,546,169,66,opel
47,57,149,388,197,72,opel
44,56,143,296,174,68,opel
39,62,150,294,124,62,van
45,66,144,322,176,72,bus
44,64,143,299,173,66,bus
36,70,127,341,127,69,bus
37,62,134,280,140,68,van
47,74,148,629,186,79,bus
51,54,162,641,221,72,saab
46,59,158,356,177,79,van
43,62,145,323,171,83,bus
43,65,145,319,168,77,bus
55,66,173,680,221,74,saab
39,55,132,314,149,77,saab
46,63,157,372,171,70,van
55,59,177,678,223,74,opel
49,67,156,601,174,69,opel
53,62,165,688,196,72,saab
45,67,149,351,174,67,van
53,63,172,707,212,71,saab
46,58,149,409,164,61,opel
38,62,132,232,139,70,opel
40,61,132,472,157,71,opel
39,56,144,251,134,72,van
52,64,157,616,186,65,opel
53,57,168,661,218,71,saab
47,60,155,440,169,59,saab
44,58,145,323,185,84,bus
56,57,169,928,268,82,bus
43,62,143,489,153,64,saab
48,59,152,438,196,67,opel
54,64,171,669,221,73,saab
41,59,140,459,147,63,saab
46,74,149,408,191,70,bus
54,70,168,687,228,68,saab
37,54,127,352,145,71,opel
52,60,162,691,212,67,saab
38,68,129,450,137,74,bus
50,60,156,663,188,68,saab
42,62,142,253,161,63,van
44,70,141,535,178,71,opel
52,62,165,697,214,72,saab
43,54,145,320,174,87,bus
41,62,144,318,161,71,van
38,56,130,261,141,75,opel
47,71,152,476,201,70,bus
52,62,161,587,204,64,opel
49,61,159,665,215,71,saab
46,66,159,368,176,72,van
