@relation vehicle

@attribute Praxis_aspect_ratio numeric
@attribute Max_length_aspect_ratio numeric
@attribute Praxis_rectangular numeric
@attribute Class {van,saab,bus,opel}

@data
62,9,19,van
68,8,18,van
66,10,19,van
61,9,19,van
59,8,17,van
61,7,17,van
126,49,19,van
69,8,18,van
64,8,18,van
63,9,19,van
55,7,18,van
60,10,19,van
55,5,17,van
65,12,19,van
56,11,20,van
56,6,17,van
59,11,20,van
58,11,20,van
56,6,17,van
56,10,20,van
58,7,17,van
70,12,20,van
68,10,19,van
57,3,17,van
57,10,19,van
54,11,20,van
59,7,17,van
52,8,18,van
66,9,19,van
56,8,18,van
58,9,19,van
58,7,17,van
62,8,18,van
51,6,18,van
58,10,19,van
57,10,20,van
58,9,19,van
53,6,17,van
54,5,17,van
68,9,18,van
59,8,18,van
55,5,17,van
60,6,18,van
62,9,18,van
64,7,18,van
62,8,19,van
48,8,18,van
63,11,20,van
63,11,20,van
63,7,18,van
56,11,20,van
68,9,18,van
54,11,20,van
55,11,19,van
67,10,20,van
62,8,18,van
65,9,19,van
49,7,18,van
62,8,18,van
67,10,20,van
53,9,20,van
66,9,19,van
65,9,19,van
61,11,19,van
54,6,17,van
58,6,18,van
60,6,18,van
63,8,19,van
105,55,18,van
138,49,19,van
48,7,18,van
55,3,17,van
66,11,20,van
64,9,20,van
56,11,20,van
60,8,18,van
58,6,18,van
72,10,20,van
64,8,18,van
57,8,18,van
64,11,19,van
64,9,19,van
49,7,18,van
59,6,17,van
59,8,18,van
55,11,20,van
63,8,19,van
66,11,20,van
64,9,19,van
60,7,17,van
52,6,18,van
53,7,18,van
65,10,19,van
53,7,18,van
55,8,18,van
56,10,20,van
58,10,20,van
58,4,17,van
59,7,18,van
60,11,20,van
62,5,17,van
52,6,17,van
58,11,20,van
66,11,20,van
54,10,20,van
58,10,19,van
57,6,17,van
60,9,18,van
62,11,20,van
56,11,20,van
64,10,20,van
62,9,18,van
64,8,18,van
52,8,18,van
102,43,20,van
66,25,18,van
56,7,18,van
59,6,17,van
55,12,20,van
59,7,18,van
59,7,18,van
52,10,20,van
57,6,17,van
64,9,19,van
64,11,20,van
63,11,20,van
55,5,17,van
63,8,18,van
64,11,20,van
68,10,19,van
53,6,18,van
57,9,19,van
66,8,19,van
63,9,19,van
55,8,18,van
69,8,18,van
64,10,20,van
66,8,18,van
51,7,18,van
66,9,19,van
60,9,19,van
52,5,18,van
64,9,18,van
58,11,20,van
59,5,17,van
64,11,20,van
54,10,19,van
54,2,17,van
64,7,18,van
51,7,18,van
67,9,20,van
65,9,18,van
63,10,19,van
48,7,19,van
59,9,20,van
64,10,18,van
56,4,17,van
64,8,18,van
56,7,18,van
54,7,18,van
67,9,19,van
55,11,20,van
64,11,20,van
59,8,18,van
68,10,20,van
50,8,18,van
61,9,19,van
64,10,18,van
54,5,17,van
64,10,19,van
61,7,18,van
133,48,20,van
67,10,19,van
68,10,19,van
56,9,18,van
56,6,17,van
63,8,18,van
59,6,18,van
61,9,18,van
62,6,19,saab
54,7,19,saab
68,10,24,saab
61,9,22,saab
67,8,19,saab
66,10,24,saab
58,7,18,saab
59,7,19,saab
56,6,18,saab
67,12,25,saab
65,11,24,saab
65,10,23,saab
66,10,22,saab
69,12,25,saab
56,5,18,saab
56,6,20,saab
56,7,19,saab
59,8,19,saab
60,8,20,saab
66,7,21,saab
61,10,24,saab
60,11,22,saab
66,9,22,saab
67,9,22,saab
63,9,22,saab
63,7,21,saab
61,11,24,saab
59,9,21,saab
57,12,24,saab
60,9,23,saab
56,11,24,saab
59,9,20,saab
64,8,20,saab
56,7,18,saab
64,10,23,saab
62,11,22,saab
59,10,24,saab
63,9,21,saab
56,8,19,saab
60,10,22,saab
54,10,24,saab
68,11,24,saab
60,8,21,saab
64,12,23,saab
62,8,21,saab
63,12,25,saab
67,10,23,saab
58,5,18,saab
59,10,24,saab
56,7,19,saab
60,9,21,saab
62,12,24,saab
62,7,19,saab
