@relation vehicle

@attribute Max_length_aspect_ratio numeric
@attribute Praxis_rectangular numeric
@attribute Length_rectangular numeric
@attribute Class {van,saab,bus,opel}

@data
11,20,157,van
10,20,160,van
9,19,157,van
11,20,162,van
7,18,144,van
7,18,129,van
9,18,134,van
10,20,160,van
9,20,149,van
10,19,153,van
9,20,150,van
7,18,142,van
8,18,139,van
8,18,130,van
8,18,144,van
6,17,125,van
25,18,139,van
9,19,152,van
8,18,148,van
8,18,148,van
9,18,142,van
9,19,145,van
9,19,139,van
7,17,139,van
11,19,145,van
7,18,142,van
6,18,130,van
10,20,164,van
8,18,140,van
7,18,145,van
7,18,143,van
3,17,122,van
11,20,158,van
11,20,163,van
5,17,128,van
5,17,132,van
10,20,160,van
10,19,151,van
8,19,150,van
8,18,142,van
6,17,129,van
6,17,137,van
10,18,142,van
11,20,153,van
12,20,155,van
8,18,136,van
10,19,149,van
6,17,130,van
6,17,132,van
7,19,140,van
7,18,132,van
5,17,124,van
10,19,144,van
11,20,159,van
8,19,147,van
6,17,135,van
3,17,128,van
8,18,144,van
11,20,160,van
5,17,125,van
10,20,170,van
6,18,144,van
9,19,148,van
9,19,143,van
7,18,133,van
6,18,130,van
10,20,151,van
8,18,135,van
6,18,140,van
8,19,144,van
6,17,129,van
9,18,127,van
6,18,141,van
10,20,149,van
10,19,148,van
9,19,156,van
11,19,150,van
10,20,161,van
11,20,161,van
7,18,145,van
8,18,145,van
5,17,127,van
5,17,128,van
11,20,163,van
11,20,157,van
7,18,137,van
9,18,146,van
7,18,141,van
6,17,135,van
8,19,145,van
9,19,140,van
8,18,134,van
7,18,140,van
6,17,126,van
9,19,147,van
7,18,145,van
10,20,159,van
11,20,157,van
9,19,155,van
7,18,143,van
5,17,132,van
10,19,150,van
10,20,156,van
8,18,139,van
8,18,140,van
9,19,143,van
10,19,137,van
10,19,149,van
11,20,167,van
9,19,148,van
5,17,134,van
9,18,135,van
7,17,127,van
9,19,141,van
8,18,134,van
8,18,142,van
6,18,146,van
8,18,148,van
8,18,129,van
49,19,156,van
5,18,135,van
11,20,160,van
10,20,163,van
8,18,141,van
10,19,148,van
11,20,159,van
49,19,155,van
8,18,150,van
8,18,136,van
12,20,158,van
48,20,163,van
6,17,144,van
7,18,144,van
10,19,148,van
7,18,138,van
7,18,139,van
5,17,128,van
9,19,152,van
11,20,167,van
8,18,135,van
11,20,167,van
10,19,139,van
7,17,140,van
9,18,147,van
11,20,156,van
10,20,155,van
11,20,162,van
7,17,134,van
12,19,157,van
9,19,145,van
11,20,163,van
9,18,143,van
11,20,158,van
9,18,137,van
8,18,144,van
46,19,149,van
9,18,144,van
8,18,131,van
10,19,149,van
10,20,158,van
43,20,160,van
11,19,151,van
9,19,147,van
4,17,125,van
9,18,142,van
11,20,155,van
9,19,144,van
10,20,157,van
8,18,137,van
6,18,139,van
9,18,130,van
8,17,139,van
11,20,165,van
8,18,145,van
10,18,141,van
7,18,143,van
9,20,158,van
10,20,157,van
9,19,148,van
11,24,165,saab
12,24,167,saab
10,23,158,saab
11,25,172,saab
10,24,162,saab
10,22,157,saab
10,23,164,saab
4,17,125,saab
11,24,156,saab
10,23,152,saab
8,20,148,saab
6,19,131,saab
7,18,127,saab
10,22,160,saab
9,20,134,saab
6,18,136,saab
10,24,171,saab
8,19,128,saab
9,20,148,saab
10,23,159,saab
7,20,147,saab
7,19,140,saab
9,22,138,saab
6,19,130,saab
9,21,140,saab
10,25,168,saab
11,24,162,saab
11,25,167,saab
11,24,159,saab
9,20,149,saab
9,20,139,saab
11,24,163,saab
8,18,142,saab
12,24,171,saab
6,17,121,saab
10,24,168,saab
12,24,168,saab
10,23,149,saab
5,19,131,saab
10,22,160,saab
12,24,170,saab
9,23,150,saab
6,19,136,saab
10,21,158,saab
9,22,158,saab
7,20,152,saab
7,19,134,saab
9,20,134,saab
6,20,148,saab
9,22,143,saab
9,22,144,saab
6,18,125,saab
8,21,134,saab
11,24,162,saab
10,24,166,saab
8,19,149,saab
7,19,126,saab
8,21,152,saab
11,24,157,saab
6,19,137,saab
10,24,173,saab
9,21,135,saab
10,23,162,saab
5,19,143,saab
10,23,155,saab
7,21,139,saab
10,24,169,saab
12,24,165,saab
12,25,173,saab
6,18,129,saab
11,25,175,saab
8,20,134,saab
12,24,162,saab
11,24,168,saab
7,20,131,saab
11,24,172,saab
6,17,118,saab
6,18,125,saab
6,17,127,saab
10,24,166,saab
10,21,155,saab
9,23,158,saab
11,23,154,saab
8,19,128,saab
8,21,133,saab
6,18,123,saab
7,18,124,saab
12,25,168,saab
12,25,177,saab
8,19,129,saab
8,19,133,saab
5,18,135,saab
10,24,165,saab
11,22,162,saab
11,24,168,saab
11,24,167,saab
11,23,165,saab
6,18,125,saab
8,20,136,saab
11,25,172,saab
9,21,155,saab
8,18,127,saab
9,20,132,saab
9,22,162,saab
7,21,151,saab
8,21,134,saab
7,19,132,saab
7,21,131,saab
12,24,163,saab
12,25,167,saab
7,19,130,saab
11,25,166,saab
7,19,132,saab
7,19,128,saab
8,20,134,saab
7,19,131,saab
11,23,164,saab
11,23,167,saab
11,25,168,saab
10,24,156,saab
10,23,150,saab
11,24,159,saab
7,19,133,saab
8,20,153,saab
10,22,156,saab
7,20,131,saab
11,24,169,saab
12,23,163,saab
11,24,163,saab
6,18,131,saab
8,21,132,saab
8,22,144,saab
10,24,171,saab
7,20,131,saab
7,19,143,saab
9,24,171,saab
4,18,133,saab
11,24,164,saab
7,19,133,saab
11,25,172,saab
12,25,170,saab
10,24,163,saab
12,25,168,saab
5,18,127,saab
6,19,136,saab
9,23,147,saab
7,20,147,saab
7,18,134,saab
10,24,164,saab
7,18,128,saab
6,19,139,saab
8,20,150,saab
11,21,153,saab
5,18,130,saab
11,25,174,saab
10,25,174,saab
8,20,134,saab
10,22,150,saab
4,18,127,saab
7,21,154,saab
8,19,144,saab
12,24,162,saab
12,23,162,saab
10,25,170,saab
9,22,148,saab
9,23,152,saab
11,23,158,saab
11,24,162,saab
9,22,149,saab
11,24,159,saab
9,23,151,saab
8,20,133,saab
12,25,169,saab
7,20,132,saab
11,24,168,saab
10,24,153,saab
4,17,118,saab
4,18,127,saab
9,22,138,saab
11,25,163,saab
8,19,128,saab
10,21,143,saab
9,21,144,saab
11,24,171,saab
11,22,146,saab
7,18,126,saab
11,25,167,saab
7,18,124,saab
11,25,172,saab
10,23,152,saab
10,23,149,saab
11,24,169,saab
8,19,146,saab
9,22,144,saab
10,24,173,saab
7,19,145,bus
6,19,147,bus
7,19,137,bus
22,19,147,bus
7,19,145,bus
8,19,143,bus
8,19,148,bus
7,19,141,bus
8,19,145,bus
7,19,146,bus
5,22,145,bus
7,19,145,bus
5,20,137,bus
7,26,171,bus
7,26,168,bus
7,19,149,bus
6,19,145,bus
5,20,144,bus
4,27,162,bus
7,19,140,bus
5,21,138,bus
7,19,143,bus
6,22,158,bus
5,20,149,bus
5,19,138,bus
6,20,150,bus
6,19,145,bus
22,19,139,bus
6,19,131,bus
8,19,144,bus
5,22,141,bus
7,19,142,bus
52,19,144,bus
7,19,146,bus
6,20,134,bus
8,19,145,bus
7,26,164,bus
6,28,169,bus
6,19,146,bus
7,19,136,bus
5,19,124,bus
6,19,134,bus
