@relation vehicle

@attribute Compactness numeric
@attribute Max_length_aspect_ratio numeric
@attribute Scatter_ratio numeric
@attribute Minor_variance numeric
@attribute Class {van,saab,bus,opel}

@data
97,6,153,361,bus
86,7,122,223,van
94,5,174,465,bus
88,8,140,293,saab
90,49,153,346,van
95,9,205,628,opel
107,11,209,653,opel
91,8,172,445,saab
91,6,171,446,bus
104,9,197,583,saab
94,10,157,363,van
95,9,201,602,opel
92,9,146,319,van
89,7,147,323,bus
100,9,197,578,saab
103,12,222,728,opel
93,8,136,279,van
87,6,151,337,saab
84,7,177,469,opel
107,11,219,705,saab
81,7,153,342,bus
90,8,157,367,saab
89,7,122,225,van
83,8,147,325,bus
85,6,114,195,van
99,13,222,722,opel
94,9,131,258,van
85,6,116,197,saab
83,4,129,245,saab
93,7,173,452,saab
96,10,200,598,opel
82,7,132,252,saab
94,6,158,385,bus
97,10,151,334,van
91,9,147,323,van
87,7,154,350,opel
106,4,250,923,bus
100,9,217,704,opel
90,7,176,467,saab
87,10,133,265,van
88,6,140,287,opel
101,12,216,685,opel
93,6,133,263,saab
85,7,149,326,bus
89,7,135,266,opel
85,7,150,328,bus
93,7,135,262,van
91,7,154,362,bus
94,7,162,394,opel
95,6,145,322,bus
85,4,152,340,opel
82,7,150,330,bus
94,5,186,533,bus
104,12,221,718,opel
108,11,220,709,saab
95,9,157,365,saab
88,8,137,281,van
86,8,150,326,bus
104,11,207,637,saab
88,19,152,342,bus
97,8,128,246,van
104,11,205,623,opel
108,11,220,712,saab
83,7,132,250,van
88,6,123,227,van
88,7,144,312,bus
95,9,191,543,saab
85,6,142,295,saab
91,8,139,289,van
96,6,167,427,bus
108,10,206,635,saab
102,6,225,766,bus
104,11,213,667,saab
85,8,143,307,van
88,7,132,249,van
100,6,218,719,bus
107,10,188,526,opel
88,7,148,332,bus
97,11,201,602,opel
92,9,189,536,opel
85,7,122,219,opel
98,5,166,427,bus
95,10,189,534,opel
90,8,137,283,van
