@relation vehicle

@attribute Compactness numeric
@attribute Major_variance numeric
@attribute Major_kurtosis numeric
@attribute Class {van,saab,bus,opel}

@data
93,164,196,van
85,140,186,van
93,156,189,van
96,167,192,van
96,161,201,van
84,156,196,van
93,171,185,van
89,168,190,van
94,171,182,van
93,174,184,van
84,141,179,van
86,167,189,van
96,160,183,van
85,134,197,van
93,170,194,van
95,175,184,van
93,158,193,van
94,174,189,van
86,139,180,van
91,168,189,van
86,140,200,van
94,172,190,van
85,138,196,van
88,135,179,van
89,137,181,van
86,145,202,van
98,160,191,van
88,156,201,van
86,168,190,van
91,159,190,van
84,159,194,van
85,139,181,van
98,160,201,van
83,143,181,van
85,173,190,van
86,140,190,van
88,147,193,van
93,172,183,van
94,176,183,van
91,163,191,van
87,157,193,van
93,164,184,van
91,164,191,van
89,147,199,van
85,136,180,van
84,166,183,van
90,173,185,van
83,145,177,van
90,175,186,van
89,171,183,van
89,173,186,van
96,162,183,van
85,171,187,van
91,166,188,van
89,138,181,van
83,169,191,van
89,166,189,van
87,171,188,van
89,173,185,van
95,176,189,van
85,170,183,van
95,168,196,van
90,158,201,van
90,155,183,van
87,138,180,van
89,169,182,van
90,169,185,van
98,159,186,van
89,170,187,van
89,146,199,van
91,165,197,van
90,172,184,van
86,141,186,van
92,159,182,van
90,154,197,van
89,168,186,van
90,169,182,van
93,169,195,van
94,155,195,van
95,173,182,van
90,162,193,van
95,163,199,van
97,173,192,van
96,167,192,van
89,175,186,van
87,167,189,van
91,159,191,van
88,176,183,van
96,154,181,van
93,180,184,van
93,180,183,van
92,135,190,van
92,164,183,van
93,164,185,van
90,272,185,van
86,140,184,van
94,179,184,van
89,200,183,van
92,165,199,van
94,164,194,van
90,179,185,van
93,157,201,van
89,177,183,van
94,154,201,van
90,200,186,van
85,150,195,van
98,164,186,van
89,172,188,van
90,149,201,van
93,160,199,van
98,173,194,van
90,173,183,van
83,144,180,van
91,139,192,van
94,159,196,van
91,159,201,van
90,177,185,van
94,179,183,van
88,142,176,van
86,153,194,van
91,170,189,van
89,170,184,van
100,176,189,van
97,148,195,van
90,159,196,van
93,160,184,van
91,171,189,van
97,158,184,van
90,165,187,van
88,176,184,van
89,143,193,van
97,173,192,van
90,175,185,van
94,320,188,van
96,173,192,van
88,147,202,van
87,135,186,van
93,163,192,van
96,161,199,van
83,142,176,van
