@relation vehicle

@attribute Radius_ratio numeric
@attribute Praxis_aspect_ratio numeric
@attribute Max_length_aspect_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
144,59,8,van
151,63,7,van
165,69,8,van
139,59,7,van
150,64,9,van
142,57,10,van
141,57,9,van
126,56,6,van
166,66,10,van
147,62,8,van
143,60,11,van
146,60,9,van
161,64,10,van
130,55,7,van
162,63,9,van
162,64,10,van
125,52,8,van
117,51,6,van
150,63,8,van
148,61,9,van
176,67,10,van
114,53,6,van
113,53,6,van
121,59,5,van
140,60,7,van
142,59,11,van
136,56,8,van
162,64,8,van
136,58,10,van
125,53,7,van
160,64,9,van
131,56,7,van
137,56,10,van
173,67,10,van
158,62,10,van
322,133,48,van
133,55,11,van
151,61,8,van
139,58,6,van
150,63,8,van
160,63,10,van
131,56,9,van
119,56,4,van
306,126,49,van
175,70,12,van
145,62,9,van
154,64,9,van
136,55,11,van
162,64,11,van
125,52,7,van
158,68,9,van
149,62,9,van
148,61,8,van
157,64,8,van
138,57,10,van
129,59,6,van
166,67,9,van
115,54,5,van
150,64,10,van
149,60,8,van
174,66,9,van
136,58,6,van
160,62,8,van
151,62,8,van
163,66,11,van
149,59,11,van
174,68,10,van
137,58,7,van
111,48,8,van
135,59,9,van
150,64,10,van
142,58,9,van
121,53,9,van
142,56,10,van
164,64,11,van
143,61,9,van
116,53,7,van
138,58,7,van
163,63,9,van
139,56,11,van
126,56,6,van
167,69,8,van
116,54,6,van
105,52,5,van
170,65,9,van
114,53,7,van
160,66,25,van
159,63,9,van
169,67,10,van
155,62,8,van
140,58,11,van
147,60,6,van
133,57,6,van
110,54,2,van
143,59,8,van
134,56,11,van
161,65,12,van
134,59,6,van
166,65,10,van
150,61,7,van
164,68,10,van
152,64,7,van
145,58,9,van
163,68,10,van
111,54,5,van
151,64,8,van
162,66,11,van
147,64,11,van
157,61,9,van
149,60,10,van
133,56,11,van
333,138,49,van
154,64,9,van
141,58,9,van
141,57,11,van
141,59,8,van
126,52,8,van
126,52,9,van
157,64,11,van
144,58,10,van
115,56,5,van
145,58,11,van
153,59,8,van
169,66,9,van
110,55,3,van
250,105,55,van
147,62,9,van
124,52,6,van
125,52,10,van
137,54,11,van
150,63,11,van
123,51,7,van
133,55,11,van
127,54,7,van
129,57,6,van
161,68,8,van
159,65,9,van
111,48,7,van
140,61,7,van
138,59,7,van
178,72,10,van
159,63,11,van
135,55,12,van
159,63,8,van
138,55,8,van
164,68,9,van
231,97,46,van
137,58,6,van
147,61,11,van
123,55,5,van
125,55,5,van
159,64,10,van
160,64,11,van
136,58,11,van
140,59,6,van
150,64,7,van
124,51,7,van
131,54,11,van
133,55,8,van
160,63,8,van
147,58,10,van
246,102,43,van
137,58,11,van
161,63,10,van
143,62,11,van
114,48,7,van
131,56,6,van
133,56,7,van
121,49,7,van
139,58,8,van
132,56,10,van
162,64,10,van
143,59,7,van
120,50,8,van
172,67,9,van
164,66,8,van
125,54,10,van
163,66,11,van
136,54,10,van
182,55,12,saab
190,60,10,saab
201,66,9,saab
208,66,9,saab
194,60,10,saab
129,55,7,saab
162,61,8,saab
135,56,5,saab
203,65,11,saab
186,56,11,saab
191,57,12,saab
139,59,5,saab
176,59,9,saab
184,60,9,saab
201,62,11,saab
195,63,8,saab
174,56,11,saab
203,65,9,saab
146,58,7,saab
188,64,9,saab
151,62,6,saab
179,60,7,saab
126,54,7,saab
153,56,7,saab
133,55,7,saab
168,54,10,saab
228,68,12,saab
201,62,12,saab
186,61,10,saab
209,61,11,saab
104,53,4,saab
155,56,8,saab
165,57,8,saab
204,61,11,saab
176,59,7,saab
210,66,11,saab
174,66,7,saab
221,69,12,saab
136,53,6,saab
180,67,8,saab
234,70,12,saab
132,62,6,saab
146,58,7,saab
130,58,5,saab
231,71,11,saab
117,53,7,saab
114,53,4,saab
209,69,8,saab
217,67,10,saab
211,64,9,saab
203,62,10,saab
162,63,6,saab
119,53,5,saab
177,64,7,saab
211,61,11,saab
154,56,6,saab
203,62,11,saab
137,60,5,saab
201,60,12,saab
215,68,10,saab
221,68,11,saab
231,72,10,saab
197,62,10,saab
203,66,10,saab
223,66,10,saab
130,57,6,saab
152,58,6,saab
196,63,10,saab
188,61,10,saab
199,65,11,saab
166,60,8,saab
213,64,11,saab
161,59,7,saab
176,59,7,saab
211,65,10,saab
115,57,3,saab
142,56,7,saab
191,64,9,saab
115,51,6,saab
225,71,12,saab
192,63,9,saab
187,61,9,saab
176,54,10,saab
186,59,9,saab
209,66,10,saab
136,55,6,saab
141,54,7,saab
165,60,7,saab
183,63,8,saab
212,65,11,saab
138,59,4,saab
195,61,10,saab
202,64,10,saab
169,59,7,saab
184,57,11,saab
162,60,8,saab
171,60,8,saab
123,53,8,saab
213,67,12,saab
194,60,10,saab
220,65,12,saab
178,58,8,saab
201,66,10,saab
149,57,7,saab
199,60,11,saab
184,59,9,saab
197,62,11,saab
206,63,10,saab
169,60,8,saab
222,67,12,saab
204,64,11,saab
136,55,6,saab
148,61,5,saab
228,69,12,saab
181,56,11,saab
161,62,7,saab
182,56,11,saab
195,63,9,saab
175,60,9,saab
189,59,10,saab
174,58,8,saab
231,67,12,saab
167,60,7,saab
183,64,8,saab
199,60,12,saab
136,58,6,saab
132,54,7,saab
201,59,11,saab
169,61,8,saab
127,58,6,saab
171,58,9,saab
118,55,4,saab
197,58,11,saab
234,73,10,saab
134,63,7,saab
201,64,11,saab
220,69,10,saab
189,57,11,saab
186,62,9,saab
158,59,7,saab
189,63,9,saab
172,55,10,saab
180,59,9,saab
208,62,9,saab
190,63,10,saab
197,64,11,saab
144,56,6,saab
140,62,7,saab
119,57,6,saab
209,66,10,saab
162,57,7,saab
206,65,10,saab
220,66,11,saab
120,55,5,saab
156,59,8,saab
160,59,7,saab
206,63,12,saab
193,59,10,saab
219,66,11,saab
197,60,11,saab
202,66,9,saab
122,57,4,saab
184,64,6,saab
197,61,9,saab
191,59,9,saab
222,68,11,saab
131,61,4,saab
175,60,9,saab
172,59,8,saab
197,62,9,saab
210,63,11,saab
200,66,7,saab
202,59,11,saab
192,64,9,saab
195,61,10,saab
170,60,8,saab
205,63,11,saab
206,61,11,saab
208,64,10,saab
157,56,7,saab
214,64,10,saab
200,62,10,saab
191,60,11,saab
