@relation wine

@attribute ColorIntensity numeric
@attribute OD280/OD315 numeric
@attribute Class {1,2,3}

@data
7.8,3.45,1
5.25,3.58,1
5,2.82,1
5.64,3.92,1
5.4,3,1
4.28,3,1
4.5,3.52,1
4.36,3,1
5.65,3.71,1
5.68,3.17,1
5.1,3.47,1
6.25,3.03,1
5.04,3.35,1
4.8,3.22,1
7.22,3.55,1
5.2,2.85,1
6.1,3.33,1
3.58,3.2,1
6.38,3.31,1
3.52,3.82,1
3.95,2.77,1
6,2.84,1
3.8,4,1
4.25,2.51,1
3.84,2.87,1
6.9,2.88,1
4.7,3.59,1
6.2,2.65,1
7.5,3,1
4.9,3.44,1
5.4,2.73,1
7.05,3.26,1
3.93,3.63,1
6.2,2.75,1
4.38,3.4,1
5.05,3.58,1
6.3,2.93,1
5.6,2.9,1
5.6,3.37,1
4.32,2.93,1
6.6,2.57,1
4.2,2.87,1
6.75,2.85,1
5.43,3.56,1
7.2,2.91,1
5.75,3.17,1
7.3,2.88,1
5.1,3.36,1
6.8,2.87,1
8.7,2.82,1
5.24,3.33,1
5.7,2.71,1
4.6,2.78,1
4.5,3.4,1
2.08,3.12,2
2.06,2.96,2
3.9,3.14,2
2.95,2.23,2
3.05,3.08,2
4.5,2.77,2
2.9,3.19,2
2.2,2.72,2
4.6,2.48,2
2.7,3.02,2
3.08,2.31,2
3.35,3.5,2
3.8,2.14,2
2.57,3.13,2
2.15,3.3,2
3.27,1.67,2
3.8,2.5,2
1.74,3.21,2
2.12,2.78,2
2.8,3.64,2
3.4,2.31,2
6,3.69,2
2.6,2.63,2
3.25,3.39,2
2.9,2.81,2
2.45,2.26,2
2.5,3.12,2
3.8,2.46,2
2.65,2.52,2
2.7,3.3,2
5.75,1.59,2
4.6,2.3,2
4.68,3.48,2
2.4,2.27,2
3.6,2.65,2
2,2.78,2
2.8,2.75,2
2.6,3.21,2
2.3,2.83,2
3.4,2.12,2
2.6,2.57,2
3.05,1.82,2
3.17,1.93,2
2.94,3.57,2
2.65,3.26,2
3.21,3.13,2
3.94,2.84,2
3.25,2.96,2
3.3,2.96,2
2.45,2.77,2
2.62,3.16,2
1.95,1.82,2
2.9,2.74,2
2.8,3.38,2
2.85,3.07,2
3.05,2.06,2
4.45,2.87,2
2.6,3.1,2
1.28,3.05,2
1.9,2.87,2
2.76,3.28,2
2.5,2.26,2
3.38,3.16,2
6.62,1.75,3
7.6,1.55,3
5.4,1.42,3
7.1,1.58,3
5.28,1.75,3
4.35,2.06,3
5.88,1.82,3
9.3,1.62,3
10.52,1.51,3
5.5,1.83,3
10.8,1.47,3
9.58,1.68,3
7.65,1.86,3
4,1.68,3
4.1,1.29,3
3.85,1.27,3
5.7,1.36,3
8.21,2,3
5.7,1.82,3
4.92,2.15,3
5.45,1.51,3
10.68,1.56,3
7.9,1.48,3
5.6,2.47,3
9.7,1.71,3
7.7,1.74,3
9.899999,1.63,3
13,1.96,3
4.4,2.05,3
7.1,1.33,3
9.01,1.64,3
7.5,1.73,3
9.4,1.33,3
10.2,1.56,3
8.5,1.92,3
11.75,1.78,3
4.6,2.31,3
9.2,1.6,3
8.6,1.3,3
5.58,2.11,3
5,1.69,3
8.66,1.8,3
4.9,1.33,3
