@relation wine

@attribute OD280/OD315 numeric
@attribute Class {1,2,3}

@data
2.87,1
2.69,1
3.53,1
3.44,1
3,1
3.47,1
2.93,1
3,1
3.26,1
2.51,1
3.2,1
3.03,1
2.85,1
3.17,1
2.87,1
3.59,1
3.33,1
2.91,1
2.75,1
2.9,1
3.33,1
3.4,1
3.45,1
2.84,1
3.35,1
3,1
3.38,1
3.92,1
2.65,1
3.31,1
3.82,1
3.55,1
4,1
2.93,1
2.82,1
2.82,1
2.57,1
3.52,1
2.78,1
3.22,1
3.58,1
2.87,1
3.2,1
2.73,1
3.36,1
3.71,1
3.63,1
2.71,1
3.1,1
3.37,1
3.56,1
3.4,1
2.88,1
2.72,2
3.64,2
3.48,2
3.33,2
2.52,2
2.75,2
3.5,2
2.96,2
3.26,2
2.14,2
3.19,2
3.05,2
3.57,2
3.02,2
2.26,2
3.3,2
1.67,2
2.01,2
2.31,2
3.3,2
2.96,2
2.06,2
2.74,2
3.69,2
3.12,2
3.07,2
3.08,2
1.82,2
2.78,2
3.39,2
3.13,2
2.77,2
2.96,2
3.38,2
2.81,2
2.5,2
2.87,2
3.1,2
2.46,2
3.28,2
2.23,2
3.14,2
3.16,2
2.3,2
3.21,2
2.87,2
2.78,2
2.65,2
2.63,2
3.17,2
2.42,2
2.48,2
3.21,2
2.44,2
2.44,2
1.59,2
3.16,2
1.82,2
3.12,2
3.18,2
2.77,2
2.31,2
2.26,2
2.83,2
1.62,3
1.73,3
2.31,3
1.29,3
1.33,3
2.47,3
1.33,3
1.86,3
1.75,3
1.68,3
1.82,3
1.56,3
1.56,3
1.83,3
1.29,3
1.68,3
1.27,3
2.11,3
1.58,3
1.69,3
1.33,3
1.47,3
1.71,3
1.75,3
1.96,3
1.64,3
1.74,3
1.82,3
1.51,3
1.58,3
1.92,3
1.36,3
1.51,3
2.15,3
2,3
1.63,3
1.78,3
2.06,3
1.75,3
1.62,3
1.55,3
1.48,3
1.42,3
