@relation australian

@attribute A5 numeric
@attribute A7 numeric
@attribute A8 {0,1}
@attribute Class {0,1}

@data
2,15,1,0
9,1665,0,0
7,165,0,0
4,835,1,0
10,165,0,0
3,21,0,0
8,25,0,0
1,0,0,0
9,25,0,0
13,5,0,0
11,21,1,0
6,125,1,0
14,375,1,0
9,875,0,0
4,25,0,0
1,65,0,0
7,5,1,0
9,25,0,0
9,3,0,0
9,85,0,0
6,4,0,0
6,75,1,0
8,0,0,0
8,4,0,0
1,0,0,0
1,125,0,0
1,0,0,0
9,1,0,0
2,585,0,0
14,0,0,0
9,35,1,0
1,0,0,0
11,415,0,0
4,125,0,0
1,4,0,0
8,96,0,0
6,175,0,0
11,665,0,0
1,0,1,0
7,35,0,0
4,675,1,0
2,5,0,0
1,0,0,0
8,795,1,0
11,3,1,0
4,35,0,0
4,125,0,0
3,125,0,0
6,3,0,0
3,7,0,0
8,15,0,0
2,125,0,0
1,45,0,0
8,4,0,0
2,75,0,0
5,29,0,0
4,85,0,0
4,125,0,0
8,835,1,0
8,2085,0,0
10,1585,1,0
5,0,0,0
9,25,0,0
12,75,0,0
9,4,0,0
1,0,0,0
5,0,0,0
8,2,0,0
2,585,0,0
3,10,0,0
4,1,1,0
10,0,1,0
3,25,0,0
3,45,0,0
4,3,0,0
4,25,0,0
8,25,0,0
9,4,0,0
3,5,0,0
3,415,0,0
2,425,0,0
7,85,0,0
7,85,0,0
13,125,0,0
8,165,0,0
8,175,0,0
9,1165,0,0
6,125,1,0
7,5,0,0
10,0,0,0
9,7,0,0
4,125,0,0
2,575,0,0
3,415,0,0
3,0,0,0
1,85,0,0
2,3,0,0
6,5,0,0
7,85,1,0
3,1,1,0
6,25,0,0
9,165,0,0
6,125,1,0
8,1085,0,0
6,45,1,0
1,5,1,0
6,85,0,0
1,0,1,0
4,5,0,0
9,1,0,0
6,665,0,0
2,165,0,0
10,4,0,0
3,85,0,0
10,125,0,0
11,85,0,0
3,125,0,0
13,5,0,0
7,1075,1,0
6,4,1,0
8,25,0,0
4,29,0,0
8,25,0,0
9,1165,1,0
9,25,1,0
8,2,0,0
1,0,0,0
8,946,1,0
8,54,0,0
13,15,0,0
11,175,1,0
3,165,0,0
8,25,0,0
8,25,0,0
1,0,0,0
6,25,0,0
2,375,0,0
4,4,0,0
7,1,0,0
8,2335,0,0
11,1,1,0
3,1,1,0
11,35,0,0
4,415,0,0
13,135,1,0
7,4,0,0
7,125,0,0
1,0,0,0
4,85,0,0
4,375,0,0
6,455,1,0
8,125,0,0
8,0,0,0
8,585,1,0
14,1,0,0
4,25,0,0
8,829,0,0
3,5,1,0
6,4,0,0
6,25,0,0
4,15,0,0
10,2,0,0
6,25,0,0
4,1,0,0
11,5085,0,0
8,25,1,0
2,125,0,0
3,85,0,0
3,4,0,0
8,5,1,0
2,5,0,0
8,585,0,0
8,125,0,0
8,1,0,0
2,875,1,0
1,4,0,0
13,35,0,0
3,1085,0,0
9,29,0,0
3,5,1,0
2,54,0,0
9,29,0,0
8,229,0,0
8,25,1,0
1,325,0,0
