@relation australian

@attribute A3 numeric
@attribute A8 {0,1}
@attribute A12 {1,2,3}
@attribute A13 numeric
@attribute Class {0,1}

@data
5,0,2,360,0
585,0,2,120,0
1,1,2,167,0
354,0,2,180,0
25,0,2,200,0
1146,0,2,100,0
25,0,2,280,0
13,0,2,140,0
154,0,2,356,0
85,1,2,80,0
875,0,2,254,0
71,0,2,240,0
15,0,1,300,0
6,0,2,272,0
25,0,2,100,0
165,1,2,80,0
95,0,2,0,0
5,0,1,252,0
75,0,2,132,0
2085,0,2,300,0
665,0,2,2000,0
471,0,2,160,0
175,0,2,112,0
325,0,2,416,0
1085,0,2,280,0
15,1,2,100,0
15,0,2,160,0
175,1,2,160,0
75,0,1,320,0
2415,0,2,220,0
29,0,2,160,0
13335,0,2,120,0
3125,0,2,0,0
45,0,2,200,0
171,0,1,400,0
271,0,1,80,0
0,0,2,86,0
15,0,2,0,0
835,0,1,240,0
135,0,2,184,0
3,0,2,0,0
335,0,2,340,0
3,0,2,0,0
25,0,2,460,0
25,0,1,200,0
175,1,2,163,0
835,1,1,200,0
3125,0,2,200,0
79,0,2,420,0
25,1,2,523,0
125,1,2,140,0
3375,0,2,0,0
165,0,1,62,0
125,0,2,160,0
275,0,2,160,0
15,0,2,200,0
7,0,2,0,0
4,0,2,411,0
125,0,2,352,0
35,0,2,216,0
705,0,2,225,0
35,0,2,232,0
125,0,2,216,0
55,0,1,100,0
67,1,2,400,0
15,1,1,368,0
0,0,2,160,0
335,0,2,160,0
6,0,1,0,0
25,0,2,200,0
19,1,2,94,0
5085,0,2,140,0
9,0,2,70,0
5,0,2,240,0
125,0,2,200,0
125,1,2,80,0
0,0,1,0,0
15,0,2,372,0
54,0,2,272,0
835,0,2,120,0
79,0,2,160,0
12125,0,2,180,0
2,0,2,256,0
8125,0,2,184,0
2165,0,3,120,0
7,0,2,0,0
65,0,2,60,0
425,0,2,454,0
3625,0,2,100,0
2165,0,2,120,0
335,0,1,160,0
14,0,2,160,0
5,0,2,550,0
125,0,2,200,0
271,0,2,320,0
875,0,2,280,0
1375,1,2,200,0
325,0,2,369,0
125,0,2,140,0
2,0,2,0,0
9,0,2,0,0
42,0,2,309,0
4085,0,2,120,0
1165,1,2,180,0
2,0,2,276,0
571,0,2,120,0
125,1,2,260,0
375,0,2,0,0
1625,0,2,0,0
46,0,2,280,0
55,0,2,210,0
165,0,1,280,0
25,0,2,260,0
9585,0,2,80,0
2521,1,2,760,0
25,0,1,420,0
835,0,2,220,0
45,0,2,360,0
204,0,2,120,0
85,0,2,140,0
4,0,2,360,0
15,0,2,120,0
1085,0,2,170,0
2665,0,2,0,0
7,0,2,160,0
1175,0,2,180,0
175,0,2,132,0
165,0,2,320,0
0,0,2,144,0
529,1,2,160,0
1021,0,2,0,0
425,0,2,0,0
10,0,2,120,0
154,0,2,100,0
125,0,2,0,0
125,0,2,92,0
65,1,2,443,0
145,0,2,0,0
275,0,2,80,0
335,1,2,252,0
665,0,2,220,0
65,0,2,0,0
175,1,2,164,0
