@relation australian

@attribute A3 numeric
@attribute A8 {0,1}
@attribute A12 {1,2,3}
@attribute A13 numeric
@attribute Class {0,1}

@data
115,1,2,0,1
708,1,2,100,0
5,1,2,0,1
13915,1,2,70,1
0,1,2,0,1
1125,1,2,0,1
415,0,2,128,0
2835,0,2,176,0
1585,1,2,583,1
1375,0,2,0,0
8,1,2,280,1
85,1,2,181,1
375,1,2,181,1
3,1,2,160,1
5,1,2,312,1
10,1,2,140,0
125,0,2,108,0
2229,1,2,0,1
75,1,2,212,0
3,0,2,160,0
12,1,2,120,0
254,0,2,180,0
4625,1,2,0,1
475,0,2,460,0
15,1,2,0,1
13,0,2,228,0
9,0,2,0,0
15,1,2,0,1
75,0,2,320,0
5,1,2,980,0
1254,1,2,156,1
55,1,2,80,1
175,0,2,150,0
5,0,2,17,0
2335,0,2,180,0
4,0,2,460,0
10915,0,2,200,0
9625,1,2,0,1
1125,0,2,184,0
75,1,2,333,1
55,1,2,408,1
12835,0,2,0,0
16165,1,2,250,1
85,0,2,0,0
704,1,2,360,1
75,0,2,240,0
1025,0,2,320,0
115,0,2,0,0
35,1,2,300,0
75,1,2,160,1
229,0,2,200,0
375,1,2,260,1
2415,0,2,120,0
3,1,2,80,1
271,0,1,80,0
75,0,2,220,0
2415,1,2,200,1
7835,0,2,184,0
954,0,2,200,0
46,1,2,440,1
25,1,2,0,1
3165,0,2,160,0
54,0,2,120,0
75,1,2,140,0
125,0,2,180,0
271,1,2,211,1
55,1,2,228,1
254,1,2,0,1
125,0,2,0,0
