@relation australian

@attribute A8 {0,1}
@attribute A12 {1,2,3}
@attribute A13 numeric
@attribute Class {0,1}

@data
0,2,0,1
1,2,88,1
1,2,160,0
1,2,160,0
0,2,0,0
0,2,0,1
1,2,0,1
1,2,120,1
1,2,0,1
1,2,0,1
0,2,108,0
0,2,0,0
1,2,0,1
0,2,600,0
0,2,120,0
0,2,460,0
1,2,300,1
1,2,195,1
1,2,171,0
0,2,160,0
1,2,380,1
1,1,280,0
0,2,0,0
0,2,100,0
0,1,0,0
0,2,320,0
1,2,181,1
1,2,395,1
1,2,840,1
1,2,0,1
1,2,0,1
0,2,0,0
0,2,2000,0
1,2,0,1
0,2,320,0
0,2,200,0
0,2,380,0
0,2,276,0
1,2,96,1
0,2,220,0
0,2,0,0
0,2,120,0
0,2,280,0
0,1,400,0
0,3,184,1
1,2,320,1
1,2,0,1
1,1,0,1
1,2,330,1
0,2,140,0
1,2,0,1
1,2,500,1
0,2,263,0
0,2,170,0
1,2,300,0
0,2,140,0
1,2,94,0
0,2,70,0
0,2,100,0
1,2,0,1
0,2,240,0
1,2,70,1
1,2,0,1
0,1,200,0
1,2,60,1
0,2,136,0
0,2,100,0
1,2,280,1
1,2,100,1
