@relation automobile

@attribute Height numeric
@attribute Curb-weight numeric
@attribute Symboling {-2,-1,0,1,2,3}

@data
56.2,2935,-2
56.2,3045,-2
56.2,2912,-2
59.8,2535,-1
54.9,2480,-1
55.5,3217,-1
55.5,3062,-1
53.9,2458,-1
55.5,3049,-1
54.9,2326,-1
55.5,2952,-1
53.9,2414,-1
58.7,3750,-1
51.6,2403,-1
57.5,3042,-1
56.3,3770,-1
55.5,3012,-1
59.8,2535,-1
57.5,3157,-1
54.1,3131,-1
57.5,3034,-1
52.5,2190,0
54.9,3495,0
56.7,3020,0
54.4,2670,0
58.3,2024,0
52,1909,0
54.3,2710,0
56.7,3075,0
54.3,2395,0
54.9,2420,0
53,2455,0
53.3,2236,0
54.3,2510,0
52.8,2122,0
52.5,2340,0
54.3,2385,0
56.7,3197,0
53,2275,0
55.5,2410,0
52.8,2140,0
52.8,2275,0
53,2081,0
54.7,2302,0
56.1,3296,0
53,2094,0
52.5,2145,0
59.1,3110,0
55.1,3095,0
56.7,3252,0
54.7,2324,0
55.1,3060,0
59.1,2280,0
54.1,2372,0
55.5,2425,0
54.5,2010,0
52.8,2109,0
56,3130,0
54.9,2650,0
52.8,4066,0
55.5,2410,0
54.1,2304,0
59.1,2290,0
53.3,2289,0
51.6,2405,1
51.6,2365,1
54.1,1900,1
52,1874,1
54.5,2017,1
52.6,1837,1
50.8,2145,1
51.6,2403,1
49.7,3139,1
50.8,1989,1
50.6,1967,1
50.8,2128,1
52.6,2265,1
50.8,1876,1
53.7,2385,1
54.1,1905,1
54.1,1890,1
54.5,1938,1
50.6,1989,1
54.5,1985,1
53.3,2028,1
50.8,2128,1
55.9,3086,1
50.8,2191,1
52.6,2204,1
54.5,2015,1
54.5,1889,1
51,2293,1
52.6,1956,1
54.5,1951,1
50.8,1876,1
53.7,2385,1
52.6,2169,1
54.5,1971,1
50.6,1989,1
53.5,2037,1
54.5,2040,1
50.8,1918,1
54.1,1950,1
54.1,1945,1
54.3,2395,2
53,2975,2
52,2551,2
53.2,1488,2
56.1,2847,2
52,2536,2
56.1,2695,2
55.7,2264,2
52,2679,2
53.7,2120,2
55.7,2240,2
52,2714,2
53.7,2050,2
55.7,2261,2
50.8,1918,2
50.8,1713,2
55.7,2209,2
52,2540,2
53.3,2008,2
50.8,1944,2
54.3,2337,2
56.1,2758,2
50.8,1819,2
55.7,2319,2
55.7,2275,2
55.7,2212,2
50.8,3685,3
52,2976,3
56.1,2658,3
49.7,3071,3
52,3016,3
56.1,2808,3
49.7,3139,3
49.4,2370,3
51.4,2221,3
56.1,2707,3
50.2,2811,3
