@relation automobile

@attribute Normalized-losses numeric
@attribute Wheel-base numeric
@attribute Width numeric
@attribute Symboling {-2,-1,0,1,2,3}

@data
103,104.3,67.2,-2
103,104.3,67.2,-2
103,104.3,67.2,-2
137,96.3,65.4,-1
65,102.4,66.5,-1
74,103.3,64.6,-1
95,109.1,68.9,-1
93,110,70.3,-1
65,102.4,66.5,-1
93,115.6,71.7,-1
65,102.4,66.5,-1
65,102.4,66.5,-1
95,109.1,68.9,-1
95,109.1,68.9,-1
74,104.3,67.2,-1
74,104.3,67.2,-1
95,109.1,68.8,-1
95,109.1,68.9,-1
90,104.5,66.5,-1
93,110,70.3,-1
74,104.3,67.2,-1
118,104.9,66.1,0
102,97.2,65.4,0
91,95.7,64.4,0
93,106.7,70.3,0
106,96.5,65.2,0
188,101.2,64.8,0
110,96.5,64,0
91,95.7,64.4,0
102,97.2,65.4,0
161,107.9,68.4,0
161,107.9,68.4,0
106,96.5,65.2,0
108,100.4,66.5,0
161,107.9,68.4,0
85,96.9,65.4,0
91,95.7,63.6,0
85,96.9,65.4,0
188,101.2,64.8,0
78,96.5,63.9,0
115,98.8,66.5,0
89,97,65.4,0
89,97,65.4,0
91,95.7,64.4,0
85,96.5,65.2,0
106,97.2,65.2,0
102,97,65.4,0
85,96.5,62.5,0
102,97.2,65.4,0
85,96.5,65.2,0
81,95.7,63.6,0
145,113,69.6,0
77,95.7,63.6,0
161,107.9,68.4,0
102,97,65.4,0
91,95.7,64.4,0
108,100.4,66.5,0
161,107.9,68.4,0
91,95.7,64.4,0
115,98.8,66.5,0
106,97.2,65.2,0
91,95.7,64.4,0
91,95.7,64.4,0
103,94.5,63.8,1
104,93.1,64.2,1
104,93.1,64.2,1
128,94.5,63.8,1
74,95.7,63.6,1
113,93.1,64.2,1
148,93.7,63.8,1
128,94.5,63.8,1
101,93.7,64,1
122,94.5,63.8,1
168,94.5,64,1
129,98.8,66.5,1
118,93.7,63.8,1
158,105.8,71.4,1
119,93.7,63.8,1
101,93.7,64,1
161,93,63.8,1
168,94.5,64,1
107,96.5,66,1
118,93.7,63.8,1
128,94.5,63.8,1
231,99.2,67.9,1
104,93.1,64.2,1
128,94.5,63.8,1
154,93.7,63.8,1
119,93.7,63.8,1
98,94.5,63.6,1
168,94.5,64,1
148,93.7,63.8,1
101,93.7,64,1
122,94.5,63.8,1
125,96.3,65.4,1
158,105.8,71.4,1
154,93.7,63.8,1
87,95.7,63.6,1
128,94.5,63.8,1
129,98.8,66.5,1
125,96.3,65.4,1
118,93.7,63.8,1
148,93.7,63.8,1
103,94.5,63.8,1
154,93.7,63.8,1
94,97.3,65.5,2
94,97.3,65.5,2
137,86.6,63.9,2
104,99.1,66.5,2
164,99.4,66.4,2
94,97.3,65.5,2
161,93.7,64.4,2
104,99.1,66.5,2
122,97.3,65.5,2
122,97.3,65.5,2
104,99.1,66.5,2
134,98.4,65.6,2
83,93.7,63.6,2
83,93.7,63.4,2
134,98.4,65.6,2
83,93.3,63.8,2
134,98.4,65.6,2
134,98.4,65.6,2
161,93.7,64.4,2
137,86.6,63.9,2
134,98.4,65.6,2
192,101.2,64.8,2
164,99.8,66.2,2
134,98.4,65.6,2
121,88.4,60.3,2
94,97.3,65.5,2
150,99.1,66.5,3
150,99.1,66.5,3
186,94.5,68.3,3
153,96.3,65.4,3
153,96.3,65.4,3
256,94.5,64,3
145,95.9,66.3,3
197,102.9,67.7,3
194,91.3,67.9,3
142,96.6,70.5,3
197,102.9,67.7,3
150,99.1,66.5,3
