@relation contraceptive

@attribute Wife_age numeric
@attribute Wife_education numeric
@attribute Children numeric
@attribute Contraceptive_method {1,2,3}

@data
45,1,8,1
38,1,2,1
44,4,1,1
31,3,2,1
47,1,2,1
23,3,2,1
45,3,3,1
38,4,1,1
35,4,3,1
24,2,3,1
26,2,3,1
23,2,2,1
36,2,5,1
31,3,2,1
25,3,0,1
26,4,1,1
30,4,2,1
43,4,5,1
23,4,2,1
36,2,4,1
30,1,4,1
32,2,2,1
32,4,1,1
31,3,2,1
47,4,4,1
32,3,4,1
47,1,7,1
43,1,5,1
49,2,6,1
48,4,3,1
41,3,5,1
23,4,2,1
22,3,2,1
32,2,4,1
37,1,0,1
17,2,1,1
37,4,2,1
45,2,4,1
38,4,4,2
37,4,2,2
30,2,1,2
36,4,3,2
38,4,2,2
42,2,8,2
31,4,3,2
31,3,2,2
48,4,4,2
36,4,4,2
38,4,5,2
47,2,7,2
47,4,6,2
43,3,2,2
36,3,7,2
47,1,10,2
29,4,2,2
33,3,3,2
45,3,6,2
35,4,3,2
31,4,3,2
36,4,2,3
35,4,4,3
41,4,1,3
41,4,5,3
24,4,1,3
22,4,1,3
19,3,3,3
27,2,5,3
24,4,2,3
35,4,6,3
22,3,3,3
30,3,4,3
39,4,4,3
25,4,2,3
27,3,3,3
34,4,2,3
30,3,3,3
23,2,2,3
25,2,3,3
21,3,2,3
41,1,9,3
23,4,2,3
24,3,1,3
41,4,8,3
29,2,2,3
23,1,3,3
26,2,2,3
24,4,3,3
22,1,2,3
31,3,3,3
36,4,3,3
46,4,4,3
34,4,6,3
17,2,0,3
29,2,3,3
21,2,3,3
36,2,11,3
46,1,9,3
35,2,6,1
49,4,1,1
20,3,0,1
35,3,6,1
25,4,1,1
48,1,6,1
38,1,8,1
20,3,2,1
28,3,5,1
20,3,1,1
28,4,1,1
19,4,1,1
38,1,4,1
44,1,2,1
22,3,2,1
24,4,4,1
33,2,3,1
38,3,4,1
22,2,1,1
41,1,3,1
37,3,0,1
24,3,2,1
47,2,5,1
31,3,2,1
32,1,4,1
35,4,3,2
21,4,1,2
34,3,3,2
21,3,3,2
29,4,3,2
43,3,6,2
24,4,1,2
27,4,1,2
27,4,2,2
48,4,3,2
25,3,2,2
48,4,7,2
31,2,4,3
37,3,6,3
16,2,1,3
26,4,2,3
22,4,1,3
30,3,4,3
44,4,5,3
26,3,2,3
18,3,1,3
36,4,3,3
41,4,5,3
27,2,3,3
27,4,4,3
30,1,2,3
