@relation contraceptive

@attribute Wife_age numeric
@attribute Husband_education numeric
@attribute Standard-of-living numeric
@attribute Contraceptive_method {1,2,3}

@data
38,2,3,1
26,3,4,1
37,4,4,1
24,4,3,1
40,4,4,1
23,3,4,1
27,4,2,1
27,2,2,1
38,4,3,1
22,4,3,1
25,4,1,1
40,1,2,1
22,3,3,1
34,4,3,1
48,4,3,1
40,4,3,1
33,4,4,1
34,3,3,1
49,4,2,1
25,3,1,1
30,3,1,1
21,4,3,1
37,4,4,1
23,4,3,1
26,4,2,1
49,2,1,1
40,4,4,1
30,4,4,1
20,3,3,1
34,3,3,1
34,3,3,1
38,3,1,1
23,3,2,1
35,3,4,1
33,2,3,1
20,4,3,1
19,4,4,1
47,4,4,1
40,3,2,1
45,1,2,1
38,3,2,1
45,4,4,1
44,2,1,1
16,4,4,1
36,3,4,1
31,3,4,1
37,4,4,1
25,4,2,1
43,3,4,1
30,4,3,1
25,2,1,1
48,4,4,1
44,4,4,1
23,1,1,1
45,3,3,1
32,4,4,1
27,4,4,1
24,3,2,1
30,4,4,1
26,4,3,1
42,3,4,1
48,2,1,1
47,2,1,1
24,4,3,1
38,2,2,1
31,1,2,1
28,2,2,1
32,4,4,1
29,4,4,1
48,4,4,1
36,3,3,1
49,4,4,1
25,3,4,1
44,2,2,1
31,4,3,1
26,4,3,1
32,4,4,1
45,4,4,1
22,3,2,1
31,2,4,1
47,3,1,1
22,4,3,1
37,3,4,1
30,4,3,1
38,4,4,1
49,4,4,1
35,2,4,1
23,4,3,1
26,4,2,1
32,3,3,1
43,2,2,1
37,2,3,1
39,2,2,1
25,2,1,1
24,4,3,1
26,4,1,1
40,1,4,1
18,2,1,1
25,4,3,1
49,3,3,1
25,4,4,1
37,4,4,1
45,4,3,1
25,4,3,1
25,4,2,1
40,2,1,1
25,3,4,1
44,3,3,1
47,4,3,1
39,1,1,1
47,1,4,1
22,3,4,1
45,2,1,1
25,4,3,1
35,4,4,1
31,2,2,1
24,2,1,1
29,4,4,1
32,4,4,1
27,4,3,1
24,4,1,1
47,2,3,1
28,4,2,1
30,4,4,1
28,4,3,1
49,3,4,1
28,4,4,1
43,4,3,1
31,4,4,1
48,1,1,1
30,2,3,1
40,2,2,1
32,4,3,1
48,1,3,1
25,4,1,1
41,4,3,1
49,4,4,1
34,4,4,1
31,4,2,1
38,2,4,1
33,4,4,1
35,3,3,1
39,2,4,1
40,4,4,1
32,4,3,1
31,4,3,1
48,4,4,1
41,4,3,1
27,4,2,1
28,4,3,1
23,4,4,1
28,4,4,1
26,4,4,1
27,3,4,1
37,4,4,1
35,4,3,1
41,2,2,1
28,4,3,1
43,3,4,1
25,3,4,1
30,4,4,1
37,3,4,1
42,4,4,1
37,3,2,1
49,4,4,1
30,4,1,1
33,4,3,1
26,4,4,1
28,3,3,1
25,4,4,1
47,1,2,1
23,3,3,1
29,4,4,1
47,3,3,1
45,2,3,1
28,1,1,1
37,2,2,1
49,4,4,1
31,3,3,1
32,2,2,1
30,4,4,1
45,3,2,1
27,4,4,1
49,4,4,1
34,4,3,1
33,2,4,1
43,4,4,1
37,4,4,1
27,4,4,1
21,4,3,1
33,2,1,1
32,4,3,1
26,3,1,1
28,2,4,1
39,4,4,1
34,3,4,1
32,4,4,1
41,3,4,1
22,4,1,1
33,4,4,1
35,3,2,1
27,3,1,1
29,2,2,1
36,3,2,1
21,3,2,1
37,3,2,1
47,2,4,1
44,2,4,1
49,3,3,1
42,4,4,1
46,4,4,1
45,3,4,1
44,2,3,1
33,3,4,1
22,4,4,1
24,4,4,1
27,4,3,1
25,3,1,1
33,3,2,1
47,4,4,1
25,3,4,1
47,4,4,1
41,3,4,1
17,2,1,1
23,4,4,1
42,3,4,1
38,2,2,1
22,1,2,1
32,4,4,1
36,4,3,1
41,3,3,1
28,4,3,1
24,4,2,1
19,2,1,1
30,1,2,1
20,4,4,1
45,1,1,1
44,2,4,1
40,3,2,1
43,4,4,1
47,2,2,1
48,1,3,1
31,2,3,1
37,4,4,1
26,3,3,1
37,3,3,1
29,4,4,1
21,2,2,1
31,4,2,1
24,4,3,1
45,4,4,1
43,3,3,1
48,1,2,1
16,4,3,1
39,4,4,1
44,4,3,1
33,3,4,1
26,4,4,1
34,4,3,1
48,3,2,1
29,4,3,1
26,4,4,1
22,4,3,1
26,3,3,1
48,3,3,1
40,3,4,1
26,3,4,1
31,4,2,1
29,4,3,1
22,4,4,1
26,4,4,1
28,4,4,1
32,2,1,1
34,4,4,1
45,3,4,1
22,1,2,1
28,4,2,1
29,3,1,1
36,4,4,1
35,2,1,1
28,4,4,1
42,3,3,1
36,2,3,1
22,4,4,1
30,3,4,1
20,4,2,1
47,2,2,1
48,3,4,1
38,3,2,1
22,4,4,1
23,4,4,1
47,1,4,1
23,4,4,1
38,4,3,1
25,4,1,1
22,3,1,1
35,4,4,1
36,3,3,1
23,4,4,1
42,4,3,1
20,3,3,1
42,3,2,1
40,2,2,1
42,2,3,1
33,4,3,1
20,3,4,1
42,3,3,1
21,2,4,1
24,4,3,1
45,4,4,1
23,4,3,1
40,4,2,1
26,4,4,1
44,4,4,1
24,4,4,1
34,4,4,1
39,4,4,1
23,3,3,1
22,3,1,1
28,4,4,1
28,4,4,1
38,2,4,1
48,4,4,1
36,3,2,1
47,4,4,1
26,4,4,1
25,3,2,1
29,2,2,1
18,4,1,1
33,4,4,1
28,4,1,1
25,4,4,1
32,4,2,1
32,4,3,1
43,2,4,1
29,4,4,1
37,3,4,1
28,4,1,1
26,4,3,1
19,4,3,1
25,2,2,1
20,3,4,1
25,3,2,1
47,4,2,1
47,1,3,1
35,4,2,1
24,2,1,1
44,4,4,1
30,4,4,1
20,4,3,1
36,3,1,1
22,4,1,1
47,2,3,1
40,3,3,1
21,3,2,1
47,4,3,1
31,4,2,1
42,2,3,1
31,4,4,1
48,3,4,1
19,3,2,1
27,4,2,1
40,2,3,1
49,4,3,1
22,4,3,1
27,4,1,1
20,4,3,1
24,3,3,1
27,2,2,1
45,4,3,1
36,3,3,1
21,4,2,1
17,3,2,1
20,3,4,1
47,2,3,1
27,4,4,1
45,4,4,1
28,4,3,1
46,4,3,1
24,3,3,1
28,4,3,1
30,2,1,1
46,1,2,1
31,4,3,1
23,2,2,1
48,1,3,1
46,4,4,1
29,3,1,1
38,2,3,1
41,4,4,1
49,2,1,1
30,3,2,1
47,1,1,1
47,3,3,1
49,3,3,1
45,4,3,1
43,4,4,1
19,2,2,1
21,3,4,1
26,4,1,1
36,4,2,1
35,4,4,1
45,3,3,1
25,4,2,1
27,4,3,1
40,4,4,1
26,3,1,1
46,4,4,1
26,4,1,1
21,4,3,1
24,4,2,1
24,4,4,1
32,4,3,1
29,4,3,1
34,4,1,1
22,3,4,1
48,1,4,1
27,3,4,1
27,3,4,1
45,2,3,1
20,3,2,1
19,3,4,1
39,1,3,1
43,4,4,1
42,4,3,1
45,4,4,1
46,2,3,1
26,4,2,1
25,3,2,1
29,4,4,1
28,4,4,1
26,2,1,1
24,3,1,1
22,4,2,1
39,3,4,1
25,4,4,1
28,4,4,1
38,4,3,1
20,4,4,1
30,4,4,1
41,3,3,1
24,3,3,1
49,4,4,1
31,4,4,1
46,2,1,1
42,3,4,1
26,3,4,1
22,2,1,1
44,4,4,1
22,2,1,1
21,3,4,1
32,4,4,1
34,2,3,1
25,3,2,1
21,3,4,1
47,3,4,1
25,4,4,1
18,4,1,1
33,1,1,1
29,3,2,1
38,3,2,1
22,2,4,1
42,4,4,1
23,4,3,1
39,2,1,1
43,2,1,1
20,4,2,1
38,3,3,1
34,2,3,1
43,3,2,1
49,4,4,1
21,4,4,1
44,4,4,1
43,3,3,1
34,4,2,1
25,3,2,1
36,1,3,1
36,4,3,1
19,4,3,1
27,4,3,1
43,2,4,1
30,4,4,1
23,4,3,1
39,4,4,1
21,3,2,1
37,3,3,1
21,4,3,1
25,3,1,1
31,4,4,1
31,3,3,1
23,4,1,1
45,3,3,1
29,4,4,1
38,4,4,1
48,4,4,1
39,3,4,1
24,4,1,1
32,3,2,1
42,2,4,1
27,3,3,1
47,2,2,1
44,4,2,1
48,4,1,1
24,2,4,1
22,4,3,1
45,4,4,1
25,2,3,1
26,3,4,1
32,2,2,1
42,3,2,1
30,4,3,1
25,4,3,1
47,2,4,1
38,4,4,1
28,4,1,1
42,4,2,1
23,4,4,1
23,4,4,1
42,4,2,1
21,4,2,1
18,3,3,1
34,3,2,1
21,3,2,1
20,2,2,1
42,4,4,1
27,4,4,1
22,4,4,1
27,4,3,1
20,3,4,1
20,4,4,1
32,3,4,1
49,2,2,1
35,3,2,1
35,4,2,1
45,4,4,1
24,4,4,1
32,2,4,1
49,3,2,1
39,1,1,1
36,3,2,1
28,3,1,1
27,2,1,1
26,4,3,1
25,2,3,1
39,3,3,1
47,4,4,1
29,3,4,1
43,3,1,1
44,4,4,1
40,3,2,1
42,3,3,1
35,4,3,1
30,4,4,1
47,3,1,1
