@relation contraceptive

@attribute Wife_age numeric
@attribute Children numeric
@attribute Contraceptive_method {1,2,3}

@data
38,6,1
42,1,1
26,1,1
38,1,1
48,2,1
40,2,1
21,0,1
29,0,1
44,4,1
49,5,1
38,1,1
45,1,1
33,2,1
30,2,1
33,3,1
30,0,1
20,0,1
31,3,1
45,6,1
30,5,1
40,1,1
26,0,1
32,4,1
37,2,1
22,0,1
47,6,1
22,0,1
44,5,1
29,1,1
26,1,1
32,1,1
31,8,1
34,0,1
45,3,1
40,6,1
32,1,1
18,1,1
20,1,1
47,6,1
49,6,1
30,5,1
20,3,1
36,5,2
42,7,2
39,3,2
36,3,2
32,2,2
42,8,2
36,4,2
32,7,2
29,2,2
31,4,2
25,1,2
41,5,2
27,1,2
41,4,2
41,4,2
43,3,2
48,7,2
48,6,2
42,7,2
39,3,2
44,3,2
34,6,2
34,8,2
24,2,3
24,3,3
38,3,3
34,2,3
27,2,3
46,4,3
33,7,3
43,8,3
22,2,3
32,8,3
33,7,3
33,3,3
29,4,3
23,1,3
22,1,3
28,2,3
27,1,3
25,2,3
22,3,3
28,4,3
21,1,3
21,1,3
34,4,3
27,2,3
21,1,3
37,3,3
43,2,3
36,6,3
25,1,3
24,4,3
31,3,3
26,3,3
46,9,3
28,6,3
21,1,1
28,0,1
23,1,1
41,5,1
42,1,1
24,1,1
30,1,1
35,5,1
28,0,1
24,1,1
20,2,1
39,10,1
47,2,1
31,2,1
18,1,1
32,2,1
23,0,1
29,2,1
25,3,1
48,8,1
40,0,1
22,1,2
22,1,2
44,9,2
26,1,2
38,8,2
29,3,2
24,2,2
35,5,2
42,4,2
43,5,2
34,6,3
43,5,3
35,4,3
36,4,3
21,2,3
26,1,3
22,1,3
30,6,3
26,2,3
38,4,3
26,3,3
28,4,3
46,5,3
41,5,3
31,4,3
27,2,3
34,2,3
