@relation contraceptive

@attribute Wife_age numeric
@attribute Children numeric
@attribute Husband_occupation numeric
@attribute Contraceptive_method {1,2,3}

@data
43,7,3,1
36,8,3,1
27,3,3,1
38,2,2,1
25,4,3,1
25,1,2,1
32,2,2,1
43,5,1,1
42,10,3,1
24,1,4,1
25,0,2,1
28,5,2,1
40,3,3,1
48,3,3,1
26,3,2,1
24,2,3,1
21,2,2,1
49,5,1,1
28,0,1,1
33,1,3,1
20,0,3,1
42,1,3,1
34,8,2,1
48,4,3,1
37,5,3,1
22,2,1,1
25,1,3,1
39,1,3,1
22,0,2,1
38,7,3,1
30,2,1,1
25,1,2,1
21,2,3,1
22,0,3,1
25,1,3,1
39,6,1,1
40,2,3,1
21,0,3,1
39,1,3,1
30,3,2,1
28,1,2,1
25,1,3,1
23,1,2,1
46,8,3,1
39,2,1,1
19,0,3,1
23,2,3,1
47,2,2,1
35,2,2,1
47,1,3,1
33,6,3,2
37,3,1,2
39,4,1,2
26,2,3,2
32,4,2,2
23,1,3,2
25,1,3,2
31,1,1,2
39,4,1,2
24,1,4,2
40,6,1,2
40,6,1,2
33,4,1,2
22,1,1,2
33,5,3,2
28,4,1,2
29,4,3,2
38,3,1,2
49,11,1,2
43,5,3,2
34,2,2,2
35,3,2,2
31,2,1,2
37,4,2,2
41,6,1,2
24,1,1,3
25,1,3,3
29,3,4,3
35,6,3,3
33,8,3,3
19,1,1,3
27,2,1,3
33,4,2,3
40,3,1,3
35,4,1,3
48,3,2,3
28,1,1,3
26,1,3,3
26,3,3,3
20,2,3,3
24,3,2,3
37,3,2,3
35,6,2,3
26,2,3,3
19,1,2,3
25,1,2,3
20,1,3,3
22,1,3,3
47,4,1,3
32,4,3,3
24,5,3,3
19,1,3,3
32,6,2,3
37,4,2,3
21,1,3,3
26,4,2,3
21,2,2,3
20,1,3,3
40,5,3,3
30,2,1,3
38,3,3,3
27,1,1,1
39,5,3,1
49,4,2,1
42,3,1,1
23,1,2,1
24,0,2,1
27,2,1,1
46,5,3,1
36,6,2,1
42,5,2,1
32,1,1,1
34,4,3,1
31,1,3,1
29,3,1,2
27,1,3,2
36,3,3,2
39,3,2,2
28,2,2,2
26,4,3,2
38,4,2,2
36,3,1,2
24,2,3,3
24,3,3,3
35,6,2,3
25,3,3,3
25,2,1,3
25,3,2,3
36,3,1,3
25,2,2,3
31,2,1,3
23,2,2,3
32,5,3,3
29,1,2,3
37,4,2,3
40,4,2,3
17,1,2,3
