@relation crx

@attribute A3 numeric
@attribute A9 {t,f}
@attribute A10 {t,f}
@attribute Class {positive,negative}

@data
55,t,t,positive
925,t,t,positive
979,t,t,positive
446,t,t,positive
846,f,f,positive
5,t,t,positive
165,t,f,positive
529,t,t,positive
3335,t,t,positive
1835,t,f,positive
7625,t,t,positive
15,t,t,positive
95,t,f,positive
115,t,t,positive
5,t,t,positive
65,t,t,positive
15,f,f,positive
504,t,t,positive
1025,t,t,positive
65,t,t,positive
1,t,t,positive
835,t,t,positive
254,t,f,positive
25,t,t,positive
4,t,f,positive
9,t,t,positive
425,t,t,positive
25,t,f,positive
1125,f,f,positive
5875,t,t,positive
996,t,f,positive
15,t,t,positive
12335,t,f,positive
621,t,t,positive
425,t,t,positive
3,t,t,positive
11,t,t,positive
1835,t,t,positive
4,f,f,positive
13585,t,f,positive
125,t,f,positive
5,t,f,positive
11,t,t,positive
2125,t,t,positive
375,f,f,positive
65,t,t,positive
11,t,t,positive
275,t,t,positive
11835,t,f,positive
55,t,f,positive
75,t,t,positive
13,t,t,positive
4625,t,t,positive
10,t,f,positive
85,t,t,positive
9,t,t,positive
304,t,t,positive
185,t,t,positive
254,t,f,positive
75,t,f,positive
154,t,t,positive
6,t,t,positive
10,t,t,positive
146,t,t,positive
5125,t,f,positive
15,t,t,positive
171,t,t,positive
1375,t,f,positive
604,f,f,positive
7,t,t,positive
14,t,t,positive
875,t,f,positive
229,t,t,positive
5,t,t,positive
65,t,t,positive
95,t,t,positive
1233,t,t,positive
3,t,f,positive
4415,t,t,positive
2875,t,f,positive
4415,t,f,positive
25085,t,t,positive
11,t,f,positive
15,t,t,positive
425,t,f,positive
6,t,t,positive
104,t,f,positive
0,f,f,positive
83,f,f,positive
75,t,t,positive
105,t,f,positive
21,t,f,positive
105,t,t,positive
1125,t,t,positive
125,t,f,positive
95,t,f,positive
46,t,t,positive
875,t,t,positive
22,f,f,positive
1254,t,t,positive
10,t,t,positive
54,t,t,positive
1,t,f,positive
0,t,f,positive
175,t,f,positive
25,t,t,positive
0,t,t,positive
5625,t,f,positive
55,t,t,positive
6665,t,t,positive
375,t,t,positive
16,t,t,positive
704,t,t,positive
585,t,t,positive
115,t,t,positive
504,t,f,positive
175,t,t,positive
271,t,t,positive
954,t,f,positive
