@relation crx

@attribute A8 numeric
@attribute A9 {t,f}
@attribute A11 numeric
@attribute Class {positive,negative}

@data
35,t,1,positive
196,t,14,positive
29,t,11,positive
175,t,5,positive
875,t,0,positive
154,t,1,positive
85,t,0,positive
4165,t,2,positive
171,t,0,positive
4,t,14,positive
285,t,40,positive
1,t,3,positive
5,t,5,positive
665,t,0,positive
46,t,1,positive
35,t,0,positive
2585,t,7,positive
125,t,1,positive
15,t,12,positive
20,t,7,positive
629,t,15,positive
375,t,0,positive
55,t,14,positive
75,t,2,positive
45,t,7,positive
1085,t,11,positive
1625,t,6,positive
1625,t,2,positive
35,t,10,positive
1,t,5,positive
55,t,12,positive
525,t,1,positive
15,f,0,positive
1275,t,0,positive
25,t,12,positive
96,t,3,positive
85,t,5,positive
425,t,3,positive
121,t,4,positive
1,t,4,positive
2375,t,8,positive
2085,t,5,positive
75,t,1,positive
4,t,0,positive
121,t,67,positive
15,t,8,positive
165,f,0,positive
2,t,2,positive
1375,t,0,positive
14,t,6,positive
0,t,0,positive
175,t,9,positive
4,t,0,positive
5665,t,6,positive
375,f,0,positive
254,t,1,positive
5,t,4,positive
415,t,5,positive
204,t,1,positive
7875,t,6,positive
4,t,0,positive
4,f,0,positive
5,t,7,positive
15,t,2,positive
25,t,7,positive
25,t,2,positive
8665,t,5,positive
25,t,6,positive
835,t,0,positive
4625,t,2,positive
0,t,0,positive
5,t,0,positive
10,t,13,positive
1625,t,1,positive
0,t,15,positive
4,t,0,positive
1875,t,6,positive
4,t,9,positive
246,f,0,positive
25,t,0,positive
75,t,4,positive
146,t,5,positive
1415,t,0,positive
21,f,0,positive
125,t,0,positive
1275,t,1,positive
25,t,17,positive
0,t,0,positive
5,t,2,positive
4,t,1,positive
1415,t,1,positive
0,t,0,positive
5,t,3,positive
585,t,4,positive
1085,t,16,positive
6,t,0,positive
15,t,20,positive
225,t,5,positive
5,t,0,positive
4,t,4,positive
25,t,0,positive
5165,t,9,positive
3165,t,0,positive
25,t,3,positive
5,t,2,positive
3,t,0,positive
0,t,11,positive
1665,t,3,positive
65,t,16,positive
0,f,0,positive
25,t,0,positive
1,t,4,positive
25,t,11,positive
125,t,1,positive
229,t,7,positive
425,t,12,positive
129,t,5,positive
0,t,0,positive
0,t,11,positive
2585,t,0,positive
1,t,11,positive
3,t,0,positive
1085,t,8,positive
7375,t,3,positive
325,t,1,positive
104,t,0,positive
125,t,23,positive
475,t,2,positive
1585,t,0,positive
5,t,6,positive
3085,t,6,positive
7,t,8,positive
225,t,1,positive
165,t,3,positive
1415,t,0,positive
4,t,0,positive
45,t,4,positive
75,t,7,positive
85,f,0,positive
0,t,14,positive
835,t,0,positive
4,f,0,positive
796,t,8,positive
1625,t,3,positive
5,t,6,positive
15,t,0,positive
20,t,11,positive
13875,t,2,positive
85,t,0,positive
25,t,0,positive
55,t,7,positive
1835,t,19,positive
225,t,0,positive
2,t,3,positive
4,t,14,positive
25,t,5,positive
14,t,8,positive
125,t,9,positive
1335,t,0,positive
2625,t,11,positive
875,t,0,positive
10,f,0,positive
275,t,1,positive
335,t,1,positive
4,t,1,positive
396,t,0,positive
21,t,6,positive
5375,t,9,positive
3165,t,3,positive
2,t,11,positive
7585,t,15,positive
35,t,6,positive
0,t,1,positive
6,t,0,positive
8625,t,6,positive
85,t,0,positive
85,t,9,positive
5,t,7,positive
6,t,11,positive
2125,t,11,positive
7415,t,0,positive
29,t,6,positive
125,t,0,positive
4,t,7,positive
325,t,2,positive
125,t,0,positive
125,t,0,positive
14415,t,11,positive
317,t,10,positive
375,t,5,positive
146,t,7,positive
75,t,4,positive
175,t,11,positive
8,t,0,positive
7,t,3,positive
175,t,3,positive
125,t,5,positive
175,t,0,positive
65,t,6,positive
458,t,0,positive
5,t,0,positive
15,t,2,positive
304,t,6,positive
75,t,7,positive
175,t,8,positive
8,t,14,positive
16,t,0,positive
25,t,3,positive
229,t,3,positive
625,t,7,positive
0,f,0,positive
15,t,10,positive
225,f,0,positive
1,t,4,positive
4,f,1,positive
0,t,11,positive
10,t,14,positive
604,t,3,positive
5,t,3,positive
45,t,12,positive
65,t,0,positive
85,t,0,positive
11,t,0,positive
1335,t,8,positive
15,t,17,positive
1,t,0,positive
9,t,0,positive
15,f,0,positive
175,t,2,positive
575,t,0,positive
1835,t,12,positive
4335,t,0,positive
75,t,2,positive
625,t,9,positive
3,t,9,positive
3125,t,8,positive
2375,t,3,positive
375,t,8,positive
0,t,0,positive
2,t,11,positive
429,t,1,positive
15,t,0,positive
7,t,16,positive
3085,t,1,positive
2,t,1,positive
25,t,6,positive
665,t,0,positive
85,t,7,positive
15,f,0,positive
175,t,2,positive
25,t,0,positive
4,t,0,positive
65,t,14,positive
2165,f,0,positive
1585,t,1,positive
125,t,4,positive
4,t,1,positive
155,t,12,positive
14,t,1,positive
2,t,11,positive
225,t,1,positive
175,t,5,positive
85,t,1,positive
29,t,7,positive
425,t,6,positive
1,f,0,negative
795,t,5,negative
125,f,0,negative
25,f,0,negative
4,f,0,negative
165,f,0,negative
1,f,0,negative
35,t,3,negative
55,f,0,negative
4,f,0,negative
275,t,0,negative
35,f,0,negative
5,t,0,negative
1,f,2,negative
875,f,0,negative
