@relation crx

@attribute A6 {w,q,m,r,cc,k,c,d,x,i,e,aa,ff,j}
@attribute A9 {t,f}
@attribute A10 {t,f}
@attribute A14 numeric
@attribute Class {positive,negative}

@data
cc,t,t,80,positive
e,t,t,0,positive
c,f,f,128,positive
q,t,t,80,positive
c,t,t,0,positive
q,t,f,280,positive
w,t,t,383,positive
c,t,t,96,positive
ff,t,t,232,positive
m,t,f,360,positive
w,f,f,150,positive
c,t,t,352,positive
aa,t,t,370,positive
aa,t,t,0,positive
aa,t,t,0,positive
aa,t,t,120,positive
w,t,t,60,positive
q,t,f,228,positive
w,t,t,100,positive
d,f,f,431,positive
aa,t,f,0,positive
c,f,f,100,positive
c,f,f,232,positive
k,t,t,150,positive
aa,t,t,200,positive
c,t,t,220,positive
w,t,f,70,positive
i,t,t,0,positive
w,t,t,0,positive
c,t,f,0,positive
q,t,t,129,positive
c,t,t,0,positive
c,t,t,32,positive
i,t,t,120,positive
k,t,t,320,positive
w,t,t,80,positive
x,t,t,380,positive
m,t,t,396,positive
x,t,t,515,positive
i,t,t,0,positive
q,t,t,80,positive
q,t,t,455,positive
cc,t,t,260,positive
q,t,t,0,positive
j,t,t,0,positive
m,t,t,260,positive
cc,t,t,96,positive
q,t,t,333,positive
e,t,f,0,positive
c,t,t,0,positive
aa,t,f,100,positive
cc,t,t,0,positive
d,t,t,200,positive
c,t,t,186,positive
q,t,f,92,positive
k,t,f,0,positive
w,t,f,487,positive
i,t,f,400,positive
cc,t,t,120,positive
w,t,t,80,positive
k,t,t,380,positive
j,t,f,100,positive
e,t,t,375,positive
q,t,t,0,positive
w,t,f,280,positive
q,t,t,0,positive
e,t,t,0,positive
m,t,t,280,positive
ff,t,f,0,positive
q,t,f,29,positive
x,t,t,420,positive
m,t,f,225,positive
i,t,t,0,positive
c,t,f,160,positive
ff,t,t,0,positive
cc,t,t,160,positive
c,t,f,300,positive
q,t,t,49,positive
c,t,f,40,positive
x,f,f,164,positive
q,t,f,60,positive
cc,t,t,583,positive
i,t,t,274,positive
j,t,t,0,positive
cc,f,f,300,positive
d,t,f,0,positive
x,t,t,100,positive
x,t,f,510,positive
cc,t,f,80,positive
x,t,f,0,positive
c,t,t,100,positive
c,t,t,40,positive
aa,t,f,100,positive
c,f,f,0,positive
cc,t,t,0,positive
cc,t,t,399,positive
aa,t,t,80,positive
cc,t,f,0,positive
i,t,f,0,positive
c,t,t,180,positive
c,f,f,0,positive
w,t,t,80,positive
cc,t,f,100,positive
q,t,t,0,positive
ff,f,f,450,positive
d,t,t,250,positive
c,t,t,160,positive
c,t,f,0,positive
d,t,t,160,positive
c,t,t,200,positive
x,t,t,395,positive
w,t,t,500,positive
aa,t,t,156,positive
x,t,t,60,positive
k,t,f,0,positive
d,t,f,100,positive
c,t,f,240,positive
c,t,t,396,positive
w,t,t,240,positive
aa,t,f,230,positive
cc,t,t,88,positive
w,t,t,120,positive
w,t,t,290,positive
c,t,t,181,positive
i,t,t,56,positive
r,t,f,164,positive
cc,t,t,400,positive
q,t,t,100,positive
q,t,f,100,positive
x,t,t,121,positive
i,t,t,80,positive
m,t,t,410,positive
cc,t,t,181,positive
k,t,t,0,positive
ff,t,t,0,positive
c,t,t,0,positive
m,f,f,500,positive
m,t,t,260,positive
aa,t,t,80,positive
w,t,f,400,positive
e,t,t,0,positive
w,t,t,120,positive
x,t,t,520,positive
i,t,f,320,positive
cc,t,t,311,positive
x,t,t,120,positive
x,t,t,303,positive
x,t,t,253,positive
c,t,t,432,positive
q,t,t,0,positive
aa,t,f,160,positive
w,t,f,52,positive
q,t,f,280,positive
c,t,t,0,positive
c,t,t,50,positive
x,f,f,711,positive
e,t,f,0,positive
x,t,t,840,positive
q,t,t,220,positive
q,t,f,21,positive
x,t,t,0,positive
c,t,t,220,positive
e,t,t,0,positive
q,t,f,350,positive
c,t,t,312,positive
q,t,t,60,positive
e,t,f,393,positive
k,t,t,181,positive
w,t,t,202,positive
x,t,t,0,positive
w,t,f,260,positive
x,t,t,70,positive
w,t,t,70,positive
cc,t,t,211,positive
aa,t,t,60,positive
cc,t,t,399,positive
w,t,f,120,positive
q,t,t,80,positive
e,t,f,0,positive
i,f,f,216,positive
aa,t,t,168,positive
c,t,t,144,positive
w,f,f,290,positive
cc,t,t,330,positive
k,t,f,24,positive
cc,t,t,100,positive
cc,f,f,300,positive
c,t,t,0,positive
cc,t,f,440,positive
q,t,t,381,positive
q,t,t,80,positive
q,t,t,0,positive
x,t,t,0,positive
i,t,t,0,positive
m,t,t,108,positive
w,t,f,239,positive
m,t,f,110,positive
aa,t,t,0,positive
c,t,t,312,positive
x,t,t,519,positive
q,t,t,100,positive
x,t,t,140,positive
x,t,t,0,positive
m,t,t,0,positive
c,t,t,0,positive
c,t,f,491,positive
q,t,t,0,positive
cc,t,t,440,positive
c,t,t,300,positive
k,t,f,180,positive
aa,t,f,370,positive
q,t,t,0,positive
c,t,t,0,positive
w,t,f,120,positive
e,t,t,99,positive
cc,t,t,520,positive
x,t,f,0,positive
q,t,t,120,positive
m,t,t,204,positive
q,t,t,0,positive
w,t,f,154,positive
w,t,t,434,positive
w,t,t,40,positive
e,f,t,560,positive
q,t,f,260,positive
q,t,f,0,positive
d,t,t,0,positive
m,t,t,240,positive
c,t,f,260,positive
q,t,t,200,positive
q,t,t,80,positive
x,t,t,340,positive
ff,t,t,30,positive
cc,t,t,0,positive
x,t,f,160,positive
c,t,t,0,positive
c,t,t,300,positive
c,t,t,200,positive
x,t,t,0,positive
c,t,t,371,positive
cc,t,f,0,positive
q,t,t,520,positive
c,t,f,340,positive
q,t,t,145,positive
q,t,t,0,positive
q,t,t,43,positive
c,t,t,0,positive
c,t,f,0,positive
aa,t,t,88,positive
aa,t,f,20,positive
q,t,t,140,positive
c,t,t,117,positive
e,t,t,0,positive
w,t,f,160,positive
c,t,t,0,positive
m,t,t,360,positive
c,t,t,200,positive
r,t,t,0,positive
q,t,t,408,positive
c,t,t,0,positive
q,t,f,102,positive
q,t,f,120,positive
q,t,t,120,positive
cc,t,t,320,positive
q,t,t,470,positive
c,f,f,280,negative
i,t,f,560,negative
ff,f,t,45,negative
c,f,f,240,negative
c,f,f,112,negative
c,t,f,140,negative
j,f,f,276,negative
c,f,f,280,negative
i,f,f,178,negative
q,t,t,80,negative
i,f,f,420,negative
w,f,t,0,negative
x,f,f,154,negative
k,f,f,280,negative
k,f,f,200,negative
ff,f,f,180,negative
m,f,f,140,negative
ff,f,t,200,negative
k,f,f,160,negative
c,f,t,160,negative
cc,f,f,0,negative
aa,t,f,180,negative
q,f,f,120,negative
c,f,f,120,negative
q,f,f,454,negative
d,f,f,228,negative
c,f,f,0,negative
i,f,f,200,negative
m,f,f,320,negative
c,f,f,0,negative
j,f,t,200,negative
j,t,f,100,negative
c,f,t,160,negative
k,f,f,140,negative
k,f,f,216,negative
m,t,f,400,negative
c,f,f,0,negative
c,t,f,112,negative
ff,t,t,180,negative
aa,f,f,80,negative
c,f,f,136,negative
aa,t,f,160,negative
q,t,t,160,negative
i,f,f,550,negative
c,f,f,132,negative
q,f,f,160,negative
m,f,t,100,negative
ff,f,t,0,negative
aa,f,f,0,negative
m,f,t,352,negative
d,f,f,292,negative
m,t,f,368,negative
c,f,t,416,negative
k,f,f,320,negative
w,f,f,465,negative
d,f,f,240,negative
d,f,f,252,negative
d,f,f,280,negative
q,t,f,440,negative
q,t,f,268,negative
aa,t,f,120,negative
x,f,f,520,negative
ff,f,t,92,negative
i,f,f,440,negative
e,f,f,260,negative
aa,t,f,188,negative
d,f,f,0,negative
c,f,f,280,negative
c,t,f,280,negative
i,f,f,144,negative
m,f,f,400,negative
cc,f,f,348,negative
w,f,f,200,negative
aa,f,f,240,negative
q,f,t,108,negative
cc,f,f,340,negative
k,f,f,180,negative
k,f,t,0,negative
k,f,f,224,negative
i,f,f,140,negative
ff,f,t,200,negative
c,f,f,136,negative
c,f,f,460,negative
c,f,f,300,negative
m,f,f,0,negative
k,f,f,356,negative
d,t,f,0,negative
k,f,f,100,negative
c,t,f,80,negative
ff,f,f,120,negative
k,t,t,100,negative
d,f,f,120,negative
w,f,f,160,negative
ff,t,t,94,negative
w,f,f,360,negative
j,f,f,86,negative
ff,f,f,76,negative
ff,f,t,70,negative
c,t,f,164,negative
c,f,f,240,negative
aa,f,f,180,negative
d,f,f,80,negative
w,f,t,420,negative
k,f,f,0,negative
i,f,f,180,negative
k,f,f,120,negative
k,f,f,280,negative
ff,f,f,100,negative
ff,f,t,176,negative
c,t,t,140,negative
aa,f,f,0,negative
k,f,f,340,negative
c,f,t,2000,negative
aa,t,f,240,negative
c,f,f,132,negative
aa,t,f,400,negative
d,f,f,80,negative
aa,f,t,80,negative
w,f,t,240,negative
c,f,f,480,negative
ff,t,f,0,negative
i,f,f,0,negative
m,f,f,80,negative
x,f,f,128,negative
cc,f,f,0,negative
i,f,t,240,negative
w,t,f,200,negative
m,f,t,272,negative
k,f,f,20,negative
ff,f,f,160,negative
ff,f,t,0,negative
ff,f,f,0,negative
ff,f,t,0,negative
c,f,t,225,negative
w,f,t,120,negative
c,f,t,0,negative
i,f,f,160,negative
c,f,f,0,negative
j,f,f,160,negative
aa,t,f,200,negative
i,f,f,210,negative
k,f,f,231,negative
w,f,f,200,negative
w,f,f,100,negative
q,t,t,300,negative
w,f,t,340,negative
cc,f,f,240,negative
ff,f,f,100,negative
i,f,f,220,negative
c,t,f,0,negative
w,f,t,220,negative
aa,f,f,108,negative
c,f,f,320,negative
i,f,f,73,negative
i,f,f,144,negative
i,t,t,75,negative
ff,f,f,280,negative
i,t,t,132,negative
q,f,f,220,negative
m,f,f,130,negative
i,t,f,0,negative
ff,f,f,180,negative
k,t,t,212,negative
ff,f,f,0,negative
w,f,t,0,negative
c,f,f,280,negative
c,t,t,140,negative
k,f,t,174,negative
w,f,f,160,negative
i,f,f,221,negative
c,f,t,128,negative
e,f,f,260,negative
c,f,f,160,negative
aa,f,f,120,negative
i,f,f,120,negative
w,f,f,0,negative
q,f,t,0,negative
c,f,f,170,negative
c,t,f,200,negative
ff,t,f,320,negative
d,f,f,120,negative
c,f,f,0,negative
e,f,f,0,negative
c,f,t,200,negative
k,f,t,280,negative
x,t,f,680,negative
aa,f,f,220,negative
d,f,f,144,negative
cc,f,f,120,negative
i,f,f,100,negative
x,f,f,280,negative
i,f,f,210,negative
k,f,f,280,negative
aa,f,t,0,negative
i,f,f,140,negative
w,f,f,309,negative
c,f,f,0,negative
c,f,f,140,negative
w,f,t,272,negative
ff,f,t,200,negative
e,f,f,120,negative
i,t,f,171,negative
q,f,f,160,negative
ff,f,f,0,negative
i,f,f,160,negative
q,t,t,167,negative
c,f,f,120,negative
c,f,f,180,negative
c,t,t,180,negative
k,f,f,232,negative
w,f,f,320,negative
i,f,f,200,negative
k,t,t,180,negative
ff,f,f,180,negative
q,f,t,369,negative
ff,f,f,62,negative
c,f,f,160,negative
ff,t,f,80,negative
ff,f,f,160,negative
c,f,f,60,negative
ff,f,f,340,negative
k,f,f,100,negative
i,f,f,232,negative
e,t,f,420,negative
ff,f,f,0,negative
cc,f,f,100,negative
c,f,t,200,negative
aa,f,f,200,negative
aa,f,t,320,negative
c,f,f,120,negative
q,f,f,380,negative
ff,f,f,0,negative
c,t,f,120,negative
ff,f,t,96,negative
i,t,f,252,negative
k,f,f,300,negative
i,f,f,300,negative
c,f,t,0,negative
i,t,f,100,negative
aa,f,f,320,negative
k,t,f,280,negative
i,f,f,60,negative
k,f,f,240,negative
i,f,t,400,negative
c,f,f,200,negative
aa,f,f,240,negative
ff,t,f,130,negative
ff,f,f,80,negative
c,f,t,40,negative
w,t,f,260,negative
c,f,f,220,negative
c,t,f,360,negative
x,t,f,176,negative
q,f,f,108,negative
c,f,t,180,negative
d,f,f,272,negative
aa,t,f,443,negative
q,t,t,760,negative
e,f,f,140,negative
q,f,f,200,negative
q,f,f,120,negative
m,f,f,120,negative
q,f,t,160,negative
c,f,f,0,negative
d,f,f,176,negative
r,f,f,132,negative
k,t,f,140,negative
q,f,t,129,negative
aa,f,f,60,negative
ff,f,t,350,negative
ff,f,f,120,negative
c,f,f,216,negative
q,t,t,200,negative
c,f,f,0,negative
k,t,f,160,negative
ff,f,f,0,negative
aa,t,f,523,negative
e,f,f,100,negative
m,f,t,254,negative
c,f,f,0,negative
d,f,f,0,negative
aa,f,f,0,negative
c,f,t,200,negative
d,f,f,0,negative
i,f,f,480,negative
m,f,f,0,negative
w,f,f,120,negative
i,f,f,141,negative
m,f,t,280,negative
w,f,t,100,negative
q,f,t,200,negative
w,t,t,329,negative
m,f,f,28,negative
ff,f,t,160,negative
ff,f,t,160,negative
m,f,f,400,negative
i,f,f,0,negative
ff,f,t,17,negative
cc,t,f,100,negative
k,t,t,120,negative
j,f,f,140,negative
c,f,f,110,negative
aa,f,t,720,negative
k,f,f,160,negative
i,f,f,80,negative
aa,f,f,720,negative
k,f,f,140,negative
ff,f,f,145,negative
