@relation crx

@attribute A5 {g,p,gg}
@attribute A9 {t,f}
@attribute A10 {t,f}
@attribute Class {positive,negative}

@data
g,t,f,positive
p,t,f,positive
g,t,t,positive
g,t,t,positive
g,t,f,positive
g,t,t,positive
g,t,t,positive
g,t,t,positive
g,t,f,positive
g,f,f,positive
g,t,f,positive
g,t,t,positive
g,t,t,positive
g,t,f,positive
g,t,f,positive
p,f,f,positive
g,t,t,positive
p,t,t,positive
g,t,t,positive
g,t,t,positive
p,t,t,positive
p,t,t,positive
g,t,f,positive
g,t,t,positive
g,t,t,positive
g,t,t,positive
g,t,t,positive
g,t,t,positive
g,t,f,positive
g,t,t,positive
p,t,t,positive
g,t,f,positive
g,t,t,positive
g,t,t,positive
g,t,t,positive
g,t,t,positive
g,t,t,positive
g,t,t,positive
g,t,f,positive
g,t,f,positive
g,t,t,positive
g,t,t,positive
g,f,f,positive
g,t,t,positive
g,t,f,positive
g,t,t,positive
g,f,f,positive
g,t,t,positive
p,t,t,positive
g,t,f,positive
g,t,f,positive
p,t,f,positive
g,t,t,positive
g,t,f,positive
g,t,t,positive
g,t,t,positive
g,t,t,positive
g,t,t,positive
g,t,t,positive
g,t,f,positive
p,t,f,positive
p,t,f,positive
g,t,f,positive
g,t,f,positive
g,t,f,positive
g,t,f,positive
g,t,t,positive
p,t,f,positive
g,t,t,positive
g,t,t,positive
g,t,t,positive
g,t,t,positive
g,t,t,positive
g,t,t,positive
p,t,t,positive
g,t,t,positive
g,t,f,positive
g,t,t,positive
g,t,t,positive
g,t,t,positive
g,t,t,positive
g,t,f,positive
g,t,t,positive
g,t,t,positive
g,t,t,positive
g,t,t,positive
g,t,t,positive
g,f,f,positive
g,t,t,positive
g,t,t,positive
p,t,t,positive
p,t,t,positive
p,f,f,positive
g,t,t,positive
p,t,t,positive
g,t,t,positive
g,t,t,positive
g,t,f,positive
g,t,f,positive
g,t,t,positive
g,t,t,positive
p,t,t,positive
g,t,t,positive
g,t,t,positive
g,t,f,positive
g,t,t,positive
g,t,t,positive
g,t,t,positive
g,f,f,positive
g,t,t,positive
g,t,t,positive
g,t,t,positive
g,t,t,positive
g,t,t,positive
g,t,f,positive
g,t,t,positive
g,t,f,positive
g,t,f,positive
p,f,f,positive
g,t,t,positive
g,t,t,positive
g,t,t,positive
p,t,t,positive
g,t,f,positive
g,t,t,positive
g,t,t,positive
g,t,f,positive
g,t,f,positive
g,t,t,positive
p,t,t,positive
g,t,t,positive
p,t,f,positive
p,t,f,positive
g,t,t,positive
g,t,t,positive
g,t,t,positive
g,t,t,positive
g,t,f,positive
g,t,t,positive
g,f,t,positive
g,t,f,positive
g,t,t,positive
g,t,f,positive
g,t,t,positive
g,t,f,positive
g,t,t,positive
g,t,t,positive
g,t,f,positive
g,t,t,positive
g,t,f,positive
p,t,t,positive
g,t,t,positive
g,t,t,positive
g,t,t,positive
g,t,t,positive
g,t,t,positive
p,t,t,positive
g,t,t,positive
g,t,t,positive
g,t,t,positive
g,t,t,positive
g,t,f,positive
g,f,f,positive
g,t,t,positive
g,f,f,positive
g,t,f,positive
g,f,f,positive
g,t,t,positive
g,t,t,positive
g,t,t,positive
g,t,t,positive
p,t,t,positive
g,t,f,positive
p,t,t,positive
g,t,t,positive
g,t,f,positive
g,t,t,positive
g,t,t,positive
g,t,t,positive
g,t,t,positive
g,t,f,positive
g,t,t,positive
g,t,f,positive
p,t,t,positive
g,t,t,positive
p,t,f,positive
g,t,t,positive
g,t,t,positive
g,t,t,positive
g,t,t,positive
p,t,t,positive
g,t,t,positive
g,t,f,positive
g,t,f,positive
g,t,t,positive
g,t,t,positive
g,t,t,positive
g,t,t,positive
g,t,t,positive
g,t,f,positive
g,t,t,positive
g,t,t,positive
g,t,t,positive
g,t,t,positive
g,t,t,positive
p,t,f,positive
g,t,t,positive
g,t,t,positive
g,t,t,positive
p,t,t,positive
g,t,t,positive
g,t,t,positive
p,t,t,positive
g,f,f,positive
p,t,t,positive
p,t,f,positive
g,t,t,positive
g,t,t,positive
g,t,f,positive
g,t,t,positive
p,t,t,positive
g,t,f,positive
gg,f,f,positive
g,t,t,positive
g,f,f,positive
g,t,t,positive
g,t,t,positive
g,t,f,positive
g,t,t,positive
p,f,f,positive
g,t,t,positive
g,t,f,positive
g,t,t,positive
g,t,t,positive
