@relation ecoli

@attribute Aac numeric
@attribute Alm1 numeric
@attribute Alm2 numeric
@attribute Site {cp,im,imS,imL,imU,om,omL,pp}

@data
34,25,35,cp
27,23,34,cp
5,32,41,cp
5,46,54,cp
39,32,42,cp
39,38,4,cp
48,22,23,cp
48,44,52,cp
52,35,44,cp
46,24,35,cp
55,52,58,cp
45,42,5,cp
63,34,43,cp
29,28,39,cp
48,47,54,cp
43,2,31,cp
42,36,45,cp
31,19,31,cp
42,47,54,cp
41,34,43,cp
43,33,43,cp
38,24,35,cp
44,37,46,cp
36,38,46,cp
53,14,26,cp
52,45,36,cp
49,22,33,cp
49,37,46,cp
43,29,39,cp
48,22,29,cp
46,44,52,cp
43,26,36,cp
36,21,32,cp
47,26,36,cp
54,52,59,cp
38,34,43,cp
57,27,37,cp
37,27,27,cp
45,31,41,cp
46,24,35,cp
42,42,36,cp
53,32,41,cp
45,3,17,cp
16,29,39,cp
3,33,43,cp
51,49,56,cp
44,17,29,cp
47,31,41,cp
53,35,44,cp
49,37,46,cp
52,32,41,cp
41,34,43,cp
45,39,47,cp
6,6,2,cp
52,49,56,cp
43,26,37,cp
48,16,28,cp
37,28,33,cp
45,33,42,cp
45,35,38,cp
44,52,59,cp
44,23,34,cp
63,25,35,cp
42,35,44,cp
56,2,25,cp
49,46,53,cp
41,35,44,cp
51,44,51,cp
39,21,32,cp
59,3,4,cp
41,23,34,cp
47,33,42,cp
44,32,41,cp
38,35,44,cp
43,27,37,cp
46,3,27,cp
5,42,5,cp
46,32,35,cp
46,51,57,cp
34,37,28,cp
37,38,43,cp
55,25,35,cp
51,28,39,cp
41,28,38,cp
34,37,46,cp
43,18,3,cp
39,28,39,cp
5,33,42,cp
42,29,39,cp
38,22,0,cp
41,38,46,cp
41,33,42,cp
39,28,38,cp
33,45,52,cp
42,35,44,cp
54,27,37,cp
45,25,35,cp
28,33,42,cp
58,31,41,cp
56,18,3,cp
56,4,48,cp
44,26,36,cp
59,41,49,cp
73,5,14,cp
36,26,37,cp
49,23,34,cp
56,11,23,cp
35,28,38,cp
45,22,33,cp
5,24,25,cp
58,2,31,cp
53,18,29,cp
48,38,46,cp
49,35,44,cp
49,3,4,cp
48,26,36,cp
54,35,44,cp
42,29,39,cp
51,33,43,cp
54,16,28,cp
55,22,33,cp
38,3,4,cp
37,36,42,cp
56,24,35,cp
37,53,59,cp
42,39,47,cp
55,55,61,cp
42,48,55,cp
41,29,39,cp
49,92,37,im
5,79,82,im
6,78,8,im
57,78,81,im
53,75,78,im
0,8,32,im
58,75,78,im
56,78,73,im
66,67,71,im
52,72,75,im
46,87,88,im
48,78,73,im
52,77,71,im
51,82,84,im
71,7,74,im
58,71,75,im
58,94,94,im
36,76,23,im
54,67,71,im
56,81,83,im
52,76,79,im
33,39,48,im
48,86,87,im
54,77,8,im
55,88,89,im
39,76,79,im
66,64,69,im
67,9,9,im
66,65,69,im
65,82,84,im
61,71,74,im
53,79,81,im
71,75,78,im
52,76,79,im
33,78,8,im
61,71,74,im
46,65,69,im
64,1,99,im
57,7,74,im
48,71,74,im
65,71,73,im
59,85,86,im
56,86,83,im
59,88,89,im
57,76,79,im
45,88,89,im
71,61,66,im
65,79,81,im
71,65,69,im
74,58,63,im
64,73,66,im
43,47,54,im
61,74,77,im
51,9,88,im
41,67,21,im
54,67,52,im
31,92,92,im
42,61,34,im
53,91,92,im
62,76,79,im
59,66,66,im
58,72,68,im
45,81,83,im
57,78,8,im
35,67,44,im
51,66,7,im
51,72,76,im
57,84,85,im
56,87,81,im
53,52,35,imS
54,76,79,imS
51,82,84,imL
4,47,3,imL
55,78,74,imU
59,89,9,imU
45,73,68,imU
57,75,78,imU
62,74,77,imU
65,76,79,imU
63,81,83,imU
42,67,68,imU
64,7,74,imU
58,79,81,imU
5,59,62,imU
64,75,77,imU
5,71,75,imU
51,78,74,imU
6,49,33,imU
64,72,76,imU
67,61,66,imU
54,64,68,imU
65,77,79,imU
61,76,79,imU
54,7,74,imU
59,73,76,imU
5,66,68,imU
57,77,79,imU
46,82,7,imU
56,71,74,imU
57,87,88,imU
66,81,83,imU
48,77,8,imU
52,73,75,imU
59,74,77,imU
73,4,3,om
86,58,29,om
84,45,27,om
7,33,26,om
57,53,29,om
68,43,36,om
51,33,33,om
74,54,37,om
73,5,25,om
77,59,52,om
79,45,28,om
88,53,2,om
72,38,38,om
83,57,3,om
66,54,33,om
75,54,15,om
77,36,45,om
83,4,29,om
37,54,1,omL
54,56,36,omL
52,59,3,omL
62,55,28,omL
66,58,16,omL
6,4,39,pp
46,44,52,pp
37,45,4,pp
47,47,51,pp
49,49,41,pp
41,5,35,pp
43,44,42,pp
3,39,24,pp
42,54,36,pp
53,28,38,pp
46,45,33,pp
47,49,54,pp
49,7,2,pp
5,36,38,pp
31,38,43,pp
46,57,26,pp
58,51,31,pp
5,57,42,pp
39,47,34,pp
54,49,23,pp
17,55,21,pp
51,37,38,pp
4,54,32,pp
35,51,49,pp
39,44,35,pp
38,65,56,pp
44,39,38,pp
4,54,39,pp
56,52,43,pp
31,53,52,pp
41,39,2,pp
52,4,48,pp
43,37,3,pp
4,39,19,pp
41,5,25,pp
49,4,34,pp
42,84,85,pp
25,42,25,pp
37,39,44,pp
49,42,19,pp
46,31,29,pp
34,41,36,pp
52,49,56,pp
46,36,4,pp
39,47,33,pp
35,52,33,pp
