@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute EmploymentSince {A75,A73,A74,A71,A72}
@attribute Property {A121,A122,A124,A123}
@attribute NPeopleMain numeric
@attribute Customer {1,2}

@data
A11,A73,A124,2,2
A14,A73,A124,2,1
A12,A71,A123,1,2
A12,A73,A123,1,1
A11,A73,A123,1,1
A13,A72,A122,1,1
A14,A73,A124,1,1
A13,A73,A121,1,2
A12,A71,A124,1,2
A14,A73,A123,1,1
A12,A74,A122,2,1
A14,A74,A121,1,1
A11,A75,A124,1,1
A14,A74,A122,1,1
A14,A75,A122,1,1
A12,A73,A121,1,1
A11,A73,A123,1,1
A12,A73,A121,1,2
A11,A73,A122,2,2
A12,A74,A124,2,2
A12,A73,A123,2,2
A11,A73,A123,1,1
A13,A75,A121,1,2
A11,A73,A121,1,1
A11,A75,A124,1,2
A13,A73,A123,1,2
A11,A75,A122,2,1
A11,A75,A124,2,2
A14,A74,A121,1,1
A11,A75,A122,1,2
A12,A74,A121,1,2
A12,A72,A123,1,2
A12,A73,A122,1,1
A14,A75,A122,1,1
A13,A75,A123,1,1
A12,A73,A124,1,1
A14,A74,A123,1,1
A14,A72,A121,1,1
A14,A71,A121,1,1
A12,A73,A121,1,1
A11,A72,A121,1,1
A14,A74,A123,1,1
A14,A75,A123,1,1
A14,A74,A121,1,1
A14,A75,A122,1,1
A11,A72,A123,1,2
A14,A75,A124,1,1
A14,A74,A121,2,1
A13,A73,A121,2,2
A12,A72,A123,1,2
A14,A73,A122,1,2
A13,A72,A122,1,1
A11,A74,A123,1,2
A14,A74,A123,1,1
A12,A75,A121,1,2
A11,A73,A121,2,1
A14,A75,A121,1,1
A14,A73,A121,1,1
A13,A75,A124,2,2
A11,A73,A121,2,1
A14,A72,A123,1,2
A14,A72,A123,1,2
A11,A74,A124,1,1
A12,A75,A123,2,2
A12,A71,A122,1,1
A14,A74,A123,1,1
A12,A72,A123,1,1
A14,A73,A122,1,1
A13,A75,A124,1,1
A12,A74,A122,1,2
A13,A73,A123,1,1
A12,A72,A122,2,2
A14,A73,A121,1,1
A12,A72,A123,1,1
A12,A74,A121,1,1
A13,A73,A121,2,1
A13,A73,A124,1,2
A11,A73,A121,1,2
A14,A75,A122,1,1
A12,A71,A123,1,1
A12,A74,A121,1,2
A12,A71,A121,1,1
A14,A75,A123,2,1
A14,A72,A122,1,1
A14,A73,A121,1,1
A12,A74,A123,1,1
A11,A74,A121,1,1
A14,A73,A123,1,1
A11,A73,A122,2,1
A14,A73,A124,1,1
A12,A74,A124,2,1
A12,A73,A123,1,1
A14,A73,A121,1,1
A12,A72,A123,1,1
A12,A71,A123,2,1
A12,A75,A121,1,1
A12,A73,A122,1,1
A13,A73,A123,1,1
A11,A73,A122,1,1
A11,A74,A123,1,1
