@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute DurationMonth numeric
@attribute CreditAmount numeric
@attribute InstallmentPlans {A143,A141,A142}
@attribute Customer {1,2}

@data
A14,12,2748,A141,1
A12,6,932,A143,1
A14,24,929,A142,1
A14,15,2788,A141,1
A13,10,1225,A143,1
A14,18,1149,A143,1
A11,24,1382,A143,1
A11,36,5371,A143,1
A14,24,3430,A143,1
A14,12,5801,A143,1
A14,36,3342,A143,1
A12,12,6078,A143,1
A14,12,996,A143,1
A11,12,2577,A143,1
A12,18,1113,A143,1
A14,42,7166,A143,1
A14,12,930,A143,1
A11,24,2957,A143,1
A12,10,7308,A141,1
A11,12,1107,A143,1
A11,24,2384,A141,1
A14,12,1264,A143,1
A14,9,2301,A143,1
A12,24,5743,A143,1
A13,36,5848,A143,1
A14,24,6842,A143,1
A12,9,1919,A143,1
A14,6,1743,A143,1
A12,30,2181,A143,1
A14,24,7814,A143,1
A14,48,6110,A141,1
A14,36,5842,A143,1
A14,24,4679,A143,1
A12,9,1199,A143,1
A12,20,7057,A141,1
A11,12,1344,A143,1
A12,15,2326,A141,1
A11,18,3104,A141,1
A13,18,1445,A141,1
A13,6,1343,A143,1
A11,24,4020,A142,1
A14,15,3594,A143,1
A12,18,3213,A143,1
A14,12,1736,A143,1
A14,22,1283,A143,1
A12,24,6967,A143,1
A12,18,3872,A143,1
A14,7,846,A143,1
A12,18,3590,A143,1
A14,48,3609,A142,1
A14,24,1901,A143,1
A11,27,3416,A143,1
A14,12,701,A143,1
A14,15,2221,A143,1
A12,11,4771,A143,1
A14,21,2241,A143,1
A13,12,1480,A141,1
A12,12,2028,A143,1
A14,6,2108,A143,1
A12,48,3566,A143,1
A14,6,1204,A141,1
A12,21,3652,A143,1
A12,24,2760,A141,1
A14,24,1851,A143,1
A14,12,682,A143,1
A11,30,10623,A143,1
A12,11,1322,A143,1
A12,24,3069,A143,1
A11,12,652,A143,1
A11,15,1053,A143,1
A14,48,7629,A141,1
A14,10,1924,A143,1
A12,8,907,A143,1
A14,10,2146,A143,1
A13,24,1925,A143,1
A14,60,10144,A143,1
A11,12,1858,A143,1
A14,36,3079,A143,1
A14,24,3757,A143,1
A11,13,1797,A141,1
A11,36,2348,A143,1
A11,12,1526,A143,1
A14,24,5150,A143,1
A14,18,1820,A143,1
A11,24,1755,A143,1
A14,4,3380,A143,1
A14,6,1898,A143,1
A13,12,2251,A143,1
A14,6,1346,A141,1
A12,24,2896,A143,1
A12,27,5965,A143,1
A14,24,3181,A143,1
A13,6,2116,A143,1
A14,24,1413,A143,1
A14,10,2069,A143,1
A14,24,1287,A143,1
A14,18,3780,A143,1
A14,36,909,A143,1
A14,6,362,A143,1
A12,21,2745,A143,1
A14,24,1927,A143,1
A14,24,3488,A143,1
A14,15,1478,A141,1
A14,24,5103,A143,1
A14,18,2051,A143,1
A14,15,1829,A143,1
A14,15,3568,A141,1
A14,12,3527,A143,1
A14,6,1554,A143,1
A12,12,1424,A143,1
A12,18,5866,A143,1
A11,24,1747,A143,1
A14,24,3972,A143,1
A12,36,3711,A143,1
A12,24,5084,A143,1
A13,12,1424,A143,1
A11,24,1603,A143,1
A12,30,3832,A143,1
A11,24,3149,A141,1
A11,18,2389,A142,1
A12,18,1301,A143,1
A14,6,2978,A143,1
A12,24,1743,A143,1
A11,12,1657,A143,1
A12,42,9283,A141,1
A14,6,518,A143,1
A12,10,1521,A143,1
A12,12,2930,A143,1
A12,18,4439,A141,1
A14,6,426,A143,1
A13,12,1881,A143,1
A14,24,4139,A143,1
A14,12,3331,A142,1
A12,6,484,A141,1
A14,24,1525,A143,1
A12,36,2273,A143,1
A14,28,7824,A141,1
A14,18,4594,A143,1
A14,15,3343,A143,1
A11,47,10722,A143,1
A14,30,1867,A143,1
A14,7,730,A143,1
A14,22,2675,A143,1
A11,21,3357,A141,1
A14,9,1224,A143,1
A14,9,3577,A143,1
A12,30,2991,A143,1
A11,12,2122,A143,1
A14,15,3556,A143,1
A12,15,2728,A141,1
A12,8,760,A143,1
A11,8,731,A143,1
A13,15,2687,A143,1
A12,12,983,A143,1
A13,24,5152,A141,1
A14,36,3835,A143,1
A14,15,1386,A143,1
A12,18,1295,A143,1
A14,15,1360,A143,1
A11,42,3394,A143,1
A11,39,14179,A143,1
A11,18,4380,A143,1
A11,21,3599,A143,1
A13,10,1275,A143,1
A11,15,1433,A143,1
A14,36,5742,A143,1
A12,48,12169,A143,1
A14,12,1963,A143,1
A11,9,1364,A143,1
A12,18,6361,A143,1
A11,24,6579,A143,1
A12,12,625,A141,1
A14,30,4272,A143,1
A13,24,3749,A143,1
A12,24,6403,A143,1
A11,6,3676,A143,1
A14,12,1258,A143,1
A12,21,3976,A143,1
A11,12,3590,A143,1
A14,12,1934,A143,1
A12,27,2528,A143,1
A14,24,1278,A143,1
A12,36,6948,A143,1
A14,10,1364,A143,1
A13,24,1377,A143,1
A14,4,1544,A143,1
A12,18,6260,A143,1
A14,24,1516,A143,1
A14,18,1098,A143,1
A13,12,1474,A141,1
A12,9,458,A143,1
A12,6,1068,A143,1
A11,15,806,A143,1
A14,54,9436,A143,1
A14,9,1244,A143,1
A14,12,3447,A143,1
A12,12,1092,A143,1
A12,12,2002,A143,1
A14,24,2611,A143,1
A14,6,1543,A143,1
A12,12,1567,A143,1
A14,18,1800,A143,1
A11,6,1374,A141,1
A12,48,6681,A143,1
A13,21,2923,A141,1
A13,12,2247,A142,1
A11,6,860,A143,1
A12,13,2101,A143,1
A14,9,2753,A143,1
A11,24,2924,A141,1
A14,12,2073,A143,1
A14,6,1382,A143,1
A14,27,5190,A143,1
A14,18,1028,A143,1
A14,24,4526,A143,1
A14,9,3074,A143,1
A12,24,3758,A143,1
A11,18,5302,A143,1
A11,6,2647,A143,1
A14,10,1418,A143,1
A14,24,2872,A143,1
A14,10,2901,A143,1
A11,12,1620,A143,1
A12,36,2337,A143,1
A14,12,707,A141,1
A11,24,2828,A142,1
A12,15,1308,A143,1
A13,18,1961,A143,1
A12,6,1050,A142,1
A11,21,2606,A143,1
A14,18,1950,A142,1
A12,20,2629,A141,1
A14,36,9566,A142,1
A12,24,2825,A143,1
A14,39,8588,A143,1
A12,8,1414,A143,1
A14,18,1126,A143,1
A13,6,683,A141,1
A14,10,1287,A143,1
A11,12,385,A143,1
A12,39,11760,A143,1
A12,15,1537,A143,1
A14,9,2507,A143,1
A12,24,1201,A143,1
A14,60,6527,A143,1
A14,48,7238,A141,1
A14,24,3062,A143,1
A12,26,7966,A143,1
A14,24,2679,A143,1
A12,30,2503,A142,1
A11,20,2212,A143,1
A12,7,2415,A143,1
A12,18,7374,A142,1
A11,11,3939,A143,1
A11,12,1200,A141,1
A12,48,8487,A143,1
A12,48,5381,A141,1
A13,10,3949,A143,1
A14,24,2197,A143,1
A12,12,1410,A143,1
A14,15,4657,A143,1
A14,21,1572,A141,1
A14,18,2320,A143,1
A14,24,5511,A142,1
A11,15,975,A143,1
A11,10,2241,A143,1
A14,12,3565,A143,1
A11,24,3632,A141,1
A14,24,4042,A143,1
A14,36,4686,A143,1
A14,36,6614,A143,1
A11,24,2964,A141,1
A14,36,7409,A143,1
A14,15,1471,A143,1
A14,12,1495,A143,1
A14,15,1532,A143,1
A14,24,5804,A143,1
A13,15,1905,A143,1
A12,12,3124,A141,1
A14,24,1552,A141,1
A14,15,3812,A143,1
A14,36,9055,A143,1
A13,12,3399,A143,1
A12,24,3512,A141,1
A11,36,5493,A143,1
A11,30,6187,A143,1
A14,4,1503,A143,1
A12,9,276,A143,1
A14,9,1313,A143,1
A12,9,1391,A141,1
A14,18,1505,A143,1
A12,11,1577,A143,1
A14,12,3077,A143,1
A14,9,2697,A143,1
A14,12,618,A143,1
