@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute DurationMonth numeric
@attribute CreditAmount numeric
@attribute InstallmentPlans {A143,A141,A142}
@attribute Customer {1,2}

@data
A14,12,2096,A143,1
A11,42,7882,A143,1
A14,24,2424,A143,1
A14,9,2134,A143,1
A12,18,1913,A141,1
A12,12,1158,A143,1
A12,18,6204,A143,1
A14,11,1393,A143,1
A11,6,1352,A143,1
A14,11,7228,A143,1
A14,18,3378,A143,1
A12,36,2225,A141,2
A11,36,6229,A143,2
A11,10,2315,A143,1
A12,36,2323,A143,1
A12,14,1410,A143,1
A12,6,1449,A141,1
A14,48,3578,A143,1
A12,12,2366,A143,1
A14,24,3868,A143,1
A14,12,1768,A143,1
A13,10,781,A143,1
A12,12,1860,A143,1
A11,12,3499,A143,2
A14,18,1984,A141,1
A12,24,7758,A143,1
A11,12,1282,A143,2
A14,18,1055,A143,1
A14,12,763,A143,1
A12,18,4297,A143,2
A14,27,5117,A143,1
A14,24,2978,A143,1
A14,12,2141,A143,1
A11,24,1823,A142,2
A14,18,433,A143,2
A14,18,2662,A143,1
A11,48,4788,A143,1
A14,18,2515,A143,1
A13,4,1494,A143,1
A11,24,1938,A143,2
A11,6,3384,A143,2
A14,12,776,A143,1
A11,18,2473,A143,2
A12,18,3001,A143,1
A11,6,1957,A143,1
A14,9,2406,A143,1
A14,14,802,A143,1
A14,33,7253,A143,1
A14,12,2292,A142,2
A11,24,1381,A143,2
A11,12,2579,A143,2
A14,15,3186,A143,1
A11,9,2136,A143,1
A12,12,3017,A143,1
A14,39,2569,A143,1
A14,12,1163,A143,1
A12,6,1209,A143,2
A14,10,1309,A143,2
A11,48,7119,A143,2
A14,6,1750,A141,1
A12,12,1995,A143,1
A14,24,5433,A143,1
A12,36,2820,A143,2
A11,12,1289,A143,1
A12,24,1837,A141,2
A12,60,9157,A143,1
A14,15,1979,A143,1
A14,42,4042,A143,1
A12,15,1444,A143,1
A14,12,1393,A141,1
A12,12,1922,A143,2
A12,36,8086,A143,2
A14,48,10222,A142,1
A14,18,1453,A143,1
A12,36,2862,A143,1
A12,15,2631,A143,1
A11,9,1138,A143,1
A11,12,1228,A143,2
A11,24,2325,A141,1
A14,21,5248,A143,1
A12,12,841,A143,1
A14,24,1393,A143,1
A11,18,7511,A143,2
A14,24,1597,A143,1
A14,12,1101,A143,1
A14,12,886,A143,1
A11,36,5179,A143,2
A14,24,1559,A141,1
A11,18,1442,A143,2
A14,36,10875,A143,1
A11,27,2442,A142,1
A14,36,8947,A142,1
A11,18,4153,A143,2
A12,24,4736,A141,2
A11,24,3161,A143,2
A14,12,522,A143,1
A14,18,1533,A143,2
A13,30,3656,A142,1
A12,15,1264,A143,2
A14,48,4844,A141,2
