@relation german

@attribute DurationMonth numeric
@attribute CreditHistory {A34,A32,A33,A30,A31}
@attribute CreditAmount numeric
@attribute Age numeric
@attribute InstallmentPlans {A143,A141,A142}
@attribute NCredits numeric
@attribute Telephone {A192,A191}
@attribute Customer {1,2}

@data
6,A32,1595,51,A143,1,A191,1
15,A32,2221,20,A143,1,A191,1
24,A34,5507,44,A143,2,A191,1
24,A33,2032,60,A143,2,A192,1
7,A33,846,36,A143,1,A191,1
24,A32,5511,25,A142,1,A191,1
15,A34,1829,46,A143,2,A192,1
10,A34,781,63,A143,2,A192,1
6,A34,250,41,A141,2,A191,1
12,A30,1410,31,A143,1,A192,1
21,A32,3160,41,A143,1,A192,1
15,A32,2631,25,A143,1,A191,1
5,A32,3448,74,A143,1,A191,1
13,A32,2101,23,A143,1,A191,1
9,A32,1236,23,A143,1,A192,1
9,A32,1391,27,A141,1,A192,1
30,A32,3857,40,A143,1,A192,1
24,A32,3757,62,A143,1,A192,1
36,A34,5842,35,A143,2,A192,1
12,A34,2331,49,A143,1,A192,1
12,A32,1884,39,A143,1,A192,1
24,A33,4679,35,A143,2,A192,1
21,A32,2476,46,A143,1,A192,1
24,A32,2910,34,A143,1,A192,1
24,A32,3149,22,A141,1,A191,1
12,A32,1498,23,A141,1,A191,1
10,A32,2848,32,A143,1,A191,1
21,A34,2288,23,A143,1,A192,1
12,A32,2279,37,A143,1,A192,1
15,A33,3643,27,A143,2,A191,1
30,A30,8072,25,A141,3,A191,1
12,A34,1592,35,A143,1,A191,1
24,A32,3749,26,A143,1,A191,1
10,A34,1231,32,A143,2,A191,1
12,A32,2578,55,A143,1,A191,1
42,A34,4042,36,A143,2,A192,1
12,A32,2930,27,A143,1,A191,1
18,A32,3001,40,A143,1,A191,1
24,A32,2760,36,A141,1,A192,1
6,A34,1323,28,A143,2,A192,1
24,A32,1474,33,A143,1,A192,1
15,A32,1721,36,A143,1,A191,1
10,A32,727,46,A143,1,A192,1
24,A32,6568,21,A142,1,A191,1
24,A32,3488,23,A143,1,A191,1
10,A31,1048,23,A142,1,A191,1
33,A34,7253,35,A143,2,A192,1
9,A32,1449,27,A143,2,A191,1
12,A31,409,42,A143,2,A191,1
24,A32,1967,20,A143,1,A192,1
30,A30,4221,28,A143,2,A191,1
12,A34,2122,39,A143,2,A191,1
18,A34,1295,27,A143,2,A191,1
24,A34,1287,37,A143,2,A192,1
15,A32,1514,22,A143,1,A191,1
6,A34,1740,30,A143,2,A191,1
10,A32,1364,64,A143,1,A192,1
12,A32,1318,54,A143,1,A192,1
18,A32,2515,43,A143,1,A192,1
12,A32,1620,30,A143,1,A191,1
12,A34,930,65,A143,4,A191,1
24,A34,6419,44,A143,2,A192,1
12,A34,1655,63,A143,2,A192,1
60,A33,9157,27,A143,1,A191,1
9,A32,1199,67,A143,2,A192,1
6,A32,2063,30,A143,1,A192,1
12,A34,2096,49,A143,1,A191,1
6,A34,1221,27,A143,2,A191,1
24,A34,1585,40,A143,2,A191,1
6,A32,1203,43,A143,1,A192,1
36,A32,3595,28,A143,1,A191,1
4,A32,1494,29,A143,1,A191,1
30,A32,4811,24,A142,1,A191,1
18,A31,1445,49,A141,1,A191,1
20,A33,7057,36,A141,2,A192,1
10,A34,2132,27,A143,2,A191,1
12,A31,339,45,A141,1,A191,1
18,A32,1505,32,A143,1,A192,1
21,A32,5248,26,A143,1,A191,1
24,A34,1231,57,A143,2,A192,1
48,A33,6681,38,A143,1,A192,1
24,A34,6842,46,A143,2,A192,1
11,A34,1322,40,A143,2,A191,1
15,A34,1471,35,A143,2,A192,1
9,A32,458,24,A143,1,A191,1
30,A33,4272,26,A143,2,A191,1
36,A32,4795,30,A143,1,A192,1
9,A32,2118,37,A143,1,A191,1
18,A32,1984,47,A141,2,A191,1
12,A32,2141,35,A143,1,A191,1
28,A31,7824,40,A141,2,A192,1
12,A32,2390,50,A143,1,A192,1
24,A32,1377,47,A143,1,A192,1
6,A33,1449,31,A141,2,A191,1
24,A32,4020,27,A142,1,A191,1
36,A31,3990,29,A141,1,A191,1
24,A32,1755,58,A143,1,A192,1
18,A32,2622,34,A143,1,A191,1
