@relation german

@attribute DurationMonth numeric
@attribute SavingsAccount {A65,A61,A63,A64,A62}
@attribute InstallmentPlans {A143,A141,A142}
@attribute Housing {A152,A153,A151}
@attribute Customer {1,2}

@data
12,A61,A143,A152,1
18,A61,A141,A153,1
12,A63,A143,A152,1
24,A64,A143,A152,1
6,A65,A143,A152,1
24,A61,A143,A153,1
9,A63,A143,A153,1
10,A61,A143,A152,1
36,A65,A143,A152,1
6,A61,A143,A152,1
10,A61,A143,A152,1
36,A61,A143,A152,1
12,A61,A143,A152,1
18,A61,A143,A152,1
8,A61,A143,A152,1
30,A61,A143,A152,1
60,A61,A143,A152,1
48,A63,A143,A152,1
18,A61,A142,A152,1
47,A61,A143,A152,1
24,A61,A143,A152,1
12,A61,A143,A152,1
12,A65,A143,A153,1
12,A61,A143,A152,1
6,A63,A143,A152,1
48,A63,A143,A152,1
12,A61,A141,A152,1
24,A65,A141,A153,1
30,A65,A143,A152,1
30,A65,A141,A152,1
15,A61,A143,A152,1
21,A65,A143,A152,1
13,A61,A143,A152,1
6,A61,A143,A151,1
18,A65,A143,A152,1
18,A62,A143,A152,1
22,A65,A143,A151,1
24,A65,A141,A152,1
18,A61,A141,A151,1
15,A61,A143,A151,1
12,A61,A143,A152,1
24,A61,A141,A152,1
30,A65,A142,A152,1
24,A61,A143,A152,1
15,A63,A142,A152,1
21,A62,A143,A152,1
14,A61,A143,A152,1
12,A61,A143,A153,1
9,A61,A143,A152,1
12,A61,A143,A152,1
30,A62,A143,A151,1
24,A61,A141,A151,1
10,A65,A143,A152,1
12,A61,A141,A152,1
15,A61,A143,A152,1
60,A61,A143,A152,1
36,A65,A143,A152,1
20,A65,A143,A152,1
18,A64,A143,A152,1
24,A62,A143,A153,1
12,A61,A143,A152,1
12,A61,A143,A152,1
10,A63,A143,A151,1
15,A65,A143,A152,1
24,A61,A143,A153,1
16,A61,A143,A153,1
36,A63,A143,A152,1
24,A61,A143,A152,1
36,A61,A143,A153,1
18,A65,A143,A152,1
21,A65,A143,A152,1
20,A65,A143,A152,1
36,A65,A143,A152,1
12,A65,A143,A151,1
8,A61,A143,A152,1
24,A65,A143,A152,1
6,A63,A143,A151,1
15,A61,A143,A151,1
24,A63,A142,A152,1
18,A61,A143,A152,1
11,A61,A143,A152,1
12,A64,A143,A152,1
42,A61,A141,A152,1
24,A62,A143,A151,1
24,A61,A143,A152,1
12,A61,A143,A151,1
12,A61,A143,A152,1
36,A62,A143,A153,1
12,A64,A143,A152,1
24,A61,A143,A152,1
12,A65,A143,A152,1
18,A65,A143,A151,1
6,A62,A141,A152,1
10,A63,A143,A153,1
27,A61,A143,A152,1
24,A61,A143,A151,1
15,A61,A143,A152,1
24,A64,A143,A152,1
33,A61,A143,A152,1
12,A61,A143,A152,1
12,A61,A143,A152,1
24,A65,A143,A152,1
15,A61,A143,A152,1
9,A61,A143,A151,1
24,A63,A143,A152,1
11,A61,A143,A152,1
24,A65,A143,A152,1
18,A65,A143,A152,1
36,A61,A143,A152,1
6,A61,A143,A152,1
18,A61,A141,A152,1
12,A61,A143,A151,1
48,A62,A143,A153,1
15,A63,A143,A152,1
48,A65,A143,A153,1
24,A62,A142,A152,1
21,A65,A143,A152,1
12,A61,A143,A152,1
12,A62,A143,A151,1
6,A61,A143,A152,1
24,A61,A143,A152,1
6,A61,A143,A152,1
15,A61,A143,A152,1
24,A62,A143,A152,1
7,A65,A143,A153,1
12,A61,A141,A152,1
24,A61,A143,A153,1
15,A65,A143,A152,1
4,A61,A143,A152,1
12,A62,A143,A152,1
18,A63,A141,A152,1
18,A61,A143,A152,1
6,A63,A143,A152,1
6,A63,A141,A152,1
24,A65,A143,A152,1
6,A65,A143,A152,1
9,A61,A143,A152,1
7,A61,A143,A152,1
36,A62,A143,A152,1
9,A61,A143,A151,1
48,A61,A142,A152,1
18,A65,A141,A152,1
10,A61,A143,A152,1
12,A61,A143,A152,1
6,A61,A143,A152,1
60,A65,A143,A152,1
6,A61,A143,A152,1
9,A61,A141,A152,1
6,A65,A142,A152,1
48,A65,A141,A152,1
60,A65,A143,A153,1
24,A61,A141,A151,1
24,A61,A143,A153,1
36,A61,A143,A152,1
12,A61,A143,A152,1
42,A61,A143,A153,1
15,A61,A143,A152,1
10,A62,A143,A151,1
6,A61,A143,A152,1
