@relation german

@attribute DurationMonth numeric
@attribute SavingsAccount {A65,A61,A63,A64,A62}
@attribute InstallmentPlans {A143,A141,A142}
@attribute Housing {A152,A153,A151}
@attribute Customer {1,2}

@data
10,A61,A143,A151,1
7,A61,A143,A152,1
45,A61,A143,A152,2
7,A65,A143,A151,1
18,A61,A143,A152,1
12,A61,A143,A152,1
6,A61,A143,A152,1
12,A65,A143,A151,1
42,A65,A143,A152,2
12,A61,A143,A152,1
48,A65,A143,A152,1
48,A62,A143,A152,1
21,A61,A143,A152,2
6,A61,A143,A151,1
24,A65,A141,A153,1
12,A61,A143,A152,1
30,A61,A143,A153,1
36,A65,A143,A152,1
36,A65,A143,A152,1
6,A65,A143,A152,1
10,A61,A143,A152,1
12,A61,A141,A152,1
6,A62,A141,A151,1
30,A61,A141,A152,2
15,A62,A143,A152,1
12,A61,A141,A153,1
15,A61,A143,A152,2
12,A61,A143,A152,1
48,A65,A141,A152,1
10,A65,A143,A152,1
24,A65,A141,A152,2
12,A62,A143,A152,2
15,A65,A143,A151,2
10,A61,A143,A152,1
24,A63,A143,A151,1
6,A61,A143,A151,1
20,A65,A143,A152,1
18,A61,A143,A153,2
30,A62,A143,A152,1
24,A64,A143,A152,1
36,A61,A143,A152,2
24,A61,A143,A152,2
12,A65,A143,A152,1
48,A65,A141,A152,1
24,A61,A141,A152,1
27,A61,A143,A153,2
24,A65,A143,A152,2
6,A62,A143,A152,1
9,A62,A143,A152,1
15,A62,A143,A152,1
24,A65,A143,A152,1
18,A61,A143,A152,1
24,A61,A141,A152,1
24,A65,A141,A152,1
12,A61,A141,A152,1
12,A61,A143,A152,1
6,A62,A142,A152,2
21,A61,A143,A152,1
18,A61,A141,A152,2
24,A61,A143,A152,2
42,A61,A141,A152,2
21,A63,A141,A152,2
24,A61,A143,A152,1
18,A61,A143,A152,1
21,A65,A143,A152,1
30,A65,A143,A152,1
27,A61,A143,A151,2
48,A61,A143,A151,2
18,A62,A143,A152,1
6,A61,A141,A152,1
24,A65,A143,A151,2
12,A61,A143,A152,1
24,A63,A143,A151,1
12,A65,A143,A151,1
36,A61,A143,A152,2
42,A61,A141,A153,1
15,A61,A143,A151,2
48,A61,A143,A152,2
36,A61,A143,A152,1
21,A61,A143,A152,1
36,A65,A143,A153,2
24,A63,A143,A152,1
18,A61,A143,A152,2
12,A61,A142,A152,2
10,A61,A141,A151,2
12,A61,A141,A152,2
48,A61,A142,A153,2
6,A61,A143,A152,1
30,A65,A143,A152,1
15,A61,A141,A151,1
11,A61,A143,A152,1
15,A62,A143,A152,1
24,A63,A143,A152,1
18,A65,A143,A152,1
24,A61,A143,A152,1
42,A61,A143,A152,1
12,A65,A143,A152,1
15,A62,A141,A152,1
36,A61,A143,A152,1
30,A61,A143,A152,1
