@relation german

@attribute Purpose {A43,A46,A42,A40,A41,A49,A44,A45,A410,A48}
@attribute Age numeric
@attribute Customer {1,2}

@data
A41,44,2
A41,44,1
A40,30,1
A43,30,1
A41,58,2
A43,39,1
A42,29,1
A41,30,1
A43,25,1
A40,26,1
A43,51,1
A42,22,1
A40,54,1
A46,61,1
A43,35,1
A42,22,2
A40,51,1
A43,38,1
A43,34,1
A40,70,1
A42,33,2
A49,54,2
A43,21,2
A46,23,1
A45,27,1
A43,27,2
A43,27,1
A43,35,1
A49,36,1
A45,34,2
A43,26,1
A40,37,1
A42,33,1
A42,27,1
A40,39,1
A41,75,1
A46,30,2
A42,23,2
A44,23,1
A43,37,1
A40,52,1
A42,40,1
A42,46,1
A40,43,1
A46,23,1
A42,34,1
A41,21,1
A41,30,1
A41,35,2
A48,36,1
A40,62,1
A42,40,1
A43,32,1
A43,20,1
A40,28,2
A40,37,1
A45,23,1
A43,23,1
A49,22,1
A40,23,2
A43,50,2
A42,21,2
A40,29,2
A43,21,1
A45,38,1
A43,33,1
A42,50,1
A40,24,1
A46,56,1
A43,37,1
A43,27,1
A43,23,1
A40,37,2
A41,33,1
A45,55,2
A40,30,2
A43,63,1
A46,25,2
A40,37,1
A46,27,2
A42,27,1
A42,24,1
A43,65,1
A41,24,2
A43,25,2
A41,28,1
A40,68,2
A40,33,1
A43,35,2
A40,40,1
A43,36,1
A42,43,2
A40,33,1
A43,25,1
A40,68,2
A42,21,1
A42,24,1
A41,28,2
A43,23,2
A41,26,2
