@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute InstallmentRate numeric
@attribute Job {A173,A172,A174,A171}
@attribute Customer {1,2}

@data
A12,2,A173,2
A11,2,A173,1
A11,3,A174,1
A11,4,A174,2
A11,4,A173,2
A14,2,A172,1
A12,3,A173,2
A12,4,A173,1
A12,2,A173,1
A12,3,A172,1
A11,2,A173,1
A12,4,A173,2
A11,4,A172,1
A13,2,A172,1
A14,4,A173,1
A11,3,A173,1
A11,4,A173,2
A14,4,A174,2
A14,4,A173,1
A14,2,A172,1
A12,4,A172,2
A14,3,A173,1
A11,3,A172,1
A11,2,A173,1
A11,4,A173,1
A14,1,A173,2
A12,4,A173,1
A11,4,A173,2
A12,1,A173,2
A12,4,A173,2
A11,4,A173,1
A14,2,A172,1
A12,2,A172,1
A12,4,A172,1
A14,2,A174,1
A14,4,A173,1
A11,4,A173,2
A14,3,A173,1
A14,4,A173,1
A11,2,A174,1
A12,1,A173,2
A14,4,A173,1
A14,4,A173,1
A11,2,A173,1
A12,2,A173,1
A14,4,A174,1
A11,4,A173,1
A14,2,A173,1
A13,2,A173,1
A12,1,A174,2
A14,4,A174,1
A11,4,A173,2
A13,2,A173,1
A12,4,A173,2
A14,4,A173,2
A14,4,A172,1
A13,2,A173,1
A11,4,A173,2
A14,4,A173,1
A11,2,A173,1
A12,2,A173,1
A11,4,A173,2
A14,4,A174,1
A11,4,A172,1
A14,3,A173,1
A14,1,A171,1
A14,4,A172,2
A14,1,A173,1
A12,4,A173,1
A12,2,A172,1
A11,2,A172,2
A12,4,A172,2
A11,4,A173,1
A11,1,A172,2
A14,4,A173,1
A12,4,A173,2
A13,3,A173,1
A14,2,A173,2
A11,4,A173,1
A14,4,A173,1
A14,1,A173,1
A14,4,A173,2
A14,4,A173,1
A14,3,A173,1
A11,2,A173,2
A14,4,A173,1
A11,3,A173,2
A12,3,A173,1
A11,4,A172,1
A11,4,A173,1
A14,4,A173,1
A11,4,A173,1
A14,4,A174,2
A11,4,A173,1
A14,2,A173,1
A14,1,A172,1
A12,2,A173,1
A11,4,A174,1
A14,4,A173,1
A14,4,A173,1
