@relation glass

@attribute RI numeric
@attribute Mg numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
1.515706,3.46179,1
1.518075,2.86911,1
1.51926,3.33158,1
1.521515,3.57853,1
1.52172,3.8614,1
1.517551,3.42138,1
1.521515,3.65037,1
1.517847,3.66833,1
1.517437,3.60098,1
1.51566,3.44832,1
1.522996,3.57853,1
1.517665,3.69078,1
1.517551,3.60996,1
1.517506,3.56955,1
1.522267,3.81201,1
1.520991,3.592,1
1.51746,3.5022,1
1.51762,3.65935,1
1.515957,3.60996,1
1.521971,3.84793,1
1.517642,3.53812,1
1.52213,3.82099,1
1.517688,3.56057,1
1.51762,3.53812,1
1.517551,3.74017,1
1.518371,2.84217,1
1.517779,2.81074,1
1.517847,3.48873,1
1.517369,3.61894,1
1.517506,3.55159,1
1.517415,3.61894,1
1.526663,3.69976,1
1.517483,3.56057,1
1.517528,3.47077,1
1.522107,3.83895,1
1.517825,3.53812,1
1.512152,3.47077,1
1.517688,2.71196,1
1.517209,3.5022,1
1.517779,3.38995,1
1.519191,3.57853,1
1.51787,3.43036,1
1.521515,3.65037,1
1.51762,3.592,1
1.51762,3.60098,1
1.517551,3.65935,1
1.523201,3.72221,1
1.517938,3.5022,1
1.519009,3.47975,1
1.517688,3.52016,1
1.519761,3.57853,1
1.5191,3.73119,1
1.5191,3.52914,1
1.516184,3.55159,1
1.515888,3.43036,1
1.517209,3.47975,1
1.517756,3.47975,1
1.518986,3.34954,1
1.52172,3.74017,1
1.51967,3.74915,1
1.52213,3.82099,1
1.517551,3.60098,1
1.522221,3.7716,1
1.518417,3.74017,2
1.526139,0,2
1.515957,3.56057,2
1.518462,3.88834,2
1.515934,3.52016,2
1.518508,3.62792,2
1.518394,3.66833,2
1.516891,2.87809,2
1.520809,2.28092,2
1.516139,3.52016,2
1.518918,3.82997,2
1.516731,3.52016,2
1.518599,3.43036,2
1.51664,3.53812,2
1.515911,3.57853,2
1.520194,1.35149,2
1.516663,3.60996,2
1.518417,3.61894,2
1.516276,3.57853,2
1.516594,3.17892,2
1.516458,3.55159,2
1.516389,3.47975,2
1.516526,3.56955,2
1.517073,3.6818,2
1.527255,3.15198,2
1.531242,0,2
1.515934,3.592,2
1.516731,3.56057,2
1.516617,3.51118,2
1.518121,3.97814,2
1.515683,3.48873,2
1.53393,0,2
1.527392,0,2
1.515911,3.52016,2
1.518485,3.87038,2
1.518121,2.95891,2
1.521765,3.6818,2
1.515934,3.44832,2
1.52475,0,2
1.515888,3.40791,2
1.517437,3.25076,2
1.517096,3.47077,2
1.518189,2.76135,2
1.516184,3.5022,2
1.524089,2.90054,2
1.518052,3.79854,2
1.521765,1.01025,2
1.516298,3.33158,2
1.516731,3.64139,2
1.516458,3.60996,2
1.516868,3.53812,2
1.518189,0,2
1.516253,3.57853,2
1.520672,2.08785,2
1.518713,3.65935,2
1.517893,3.90181,2
1.516549,2.85115,2
1.515729,3.66833,2
1.516891,3.53812,2
1.515911,3.34056,2
1.52664,0,2
1.516321,3.56955,2
1.522221,0,2
1.518121,3.84793,2
1.527779,0,2
1.51844,3.75813,2
1.517073,3.47975,2
1.518462,3.96916,2
1.515911,3.52016,2
1.516435,3.52016,3
1.516936,3.57853,3
1.517779,3.65037,3
1.516093,3.52914,3
1.516458,3.39893,3
1.521264,3.90181,3
1.519351,3.53812,3
1.516093,3.39893,3
1.521219,3.75813,3
1.517756,3.40791,3
1.517688,3.65935,3
1.516549,3.38995,3
1.522107,3.78058,3
1.518326,3.34056,3
1.516708,3.56955,3
1.51664,3.44832,3
1.516663,0,5
1.513155,0,5
1.520421,0,5
1.520581,1.61191,5
1.519146,1.84988,5
1.521196,0.32777,5
1.5132,0,5
1.515137,2.68053,5
1.521515,1.71069,5
1.52172,1.88131,5
1.519693,0,5
1.523679,0,5
1.512995,1.74212,6
1.518531,2.19112,6
1.519169,0,6
1.518872,0.78126,6
1.51828,2.24051,6
1.519693,0,6
1.519055,2.38868,6
1.51115,0,6
1.519374,2.41113,6
1.516458,0,7
1.515455,0,7
1.516162,0,7
1.516572,0,7
1.516139,1.77804,7
1.522472,2.2001,7
1.517187,0,7
1.515137,0,7
1.518371,3.25974,7
1.51623,0,7
1.516845,0,7
1.523656,1.83192,7
1.523155,3.34056,7
1.518303,0,7
1.517278,0,7
1.51623,0,7
1.515569,0,7
1.517118,0,7
1.520649,0,7
1.516503,0,7
1.516389,0,7
1.516093,0,7
1.515091,0,7
1.516025,0,7
1.517323,0,7
1.516526,0,7
1.511309,3.20137,7
