@relation glass

@attribute Mg numeric
@attribute Al numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
3.57853,0.81965,1
3.60996,1.05077,1
3.81201,0.78113,1
3.5022,1.12139,1
3.47975,1.33004,1
3.53812,1.68956,1
3.60098,1.14065,1
3.55159,1.49054,1
3.5022,1.14065,1
3.47975,1.3493,1
3.7716,0.79076,1
3.52016,1.42955,1
3.83895,0.72014,1
3.34954,1.23053,1
2.84217,1.27868,1
2.86911,1.1888,1
3.65935,1.26905,1
3.38995,1.33004,1
2.81074,1.29152,1
3.47975,1.41029,1
3.72221,0.51149,1
3.69078,1.29152,1
3.47077,1.3814,1
3.57853,1.36856,1
4.49,1.09892,1
3.52914,1.32041,1
3.65037,0.87101,1
3.43036,1.1888,1
3.46179,1.56116,1
3.60098,1.35893,1
3.47077,1.12139,1
3.74017,0.8999,1
3.65037,0.87101,1
3.60098,1.35893,1
3.73119,1.17917,1
3.61894,1.29152,1
3.55159,1.53869,1
3.57853,0.8999,1
3.47975,1.3493,1
3.66833,1.15991,1
3.61894,1.10855,1
3.37199,1.17917,1
3.53812,1.21127,1
3.47975,1.29152,1
3.60996,1.61894,1
3.5022,1.15028,1
3.33158,1.27868,1
3.592,1.31078,1
3.48873,1.27868,1
3.56057,1.30115,1
3.56057,1.26905,1
3.53812,1.33967,1
3.43036,1.40066,1
3.42138,1.19843,1
3.592,1.12139,1
2.71196,1.29152,1
3.8614,0.88064,1
3.47975,1.23053,1
3.74915,0.29,1
3.44832,1.21127,1
3.84793,0.89027,1
3.65935,1.1888,1
3.82099,0.46976,1
0,1.87895,2
3.44832,1.42955,2
3.52016,1.53869,2
2.95891,1.42955,2
3.56955,1.47128,2
0,2.10044,2
3.74017,1.10855,2
2.72094,1.62857,2
3.6818,1.81154,2
3.52016,1.55153,2
3.82997,1.25942,2
3.52016,1.24979,2
3.47975,1.86932,2
2.28092,1.42955,2
3.57853,1.53869,2
3.25076,1.15991,2
3.40791,1.58042,2
2.90054,1.16954,2
3.62792,1.07003,2
3.87038,1.26905,2
3.17892,1.23053,2
3.5022,1.48091,2
1.35149,1.62857,2
0,0.55964,2
3.90181,1.30115,2
2.85115,1.43918,2
3.66833,1.24016,2
3.88834,1.33004,2
3.56955,1.57079,2
3.43036,1.42955,2
3.6818,1.15028,2
0,0.7715,2
3.08912,2.08118,2
3.48873,1.51943,2
3.47077,1.78907,2
0,0.66878,2
2.87809,1.70882,2
3.48873,1.47128,2
3.53812,1.61894,2
3.56057,1.64141,2
3.84793,1.24979,2
3.57853,1.49054,2
3.97814,1.17917,2
2.76135,0.82928,2
3.52016,2.1197,2
3.96916,1.1888,2
0,0.99941,2
3.60996,1.25942,2
0,0.74903,2
3.64139,1.52906,2
3.47975,1.70882,2
3.43934,1.44881,2
3.33158,1.49054,2
3.52016,1.90142,2
3.65935,1.56116,2
3.61894,1.57079,2
1.01025,1.35893,2
3.53812,1.60931,2
0,0.99941,2
3.55159,1.24979,2
3.92875,1.53869,2
3.60996,1.53869,2
3.79854,1.07966,2
3.51118,1.43918,2
3.75813,1.32041,2
3.66833,1.74092,2
3.56057,1.53869,2
3.90181,1.41029,2
3.39893,1.25942,3
3.39893,1.2209,3
3.65037,0.64952,3
3.40791,1.51943,3
3.52914,1.33967,3
3.35852,1.62857,3
3.53812,0.74903,3
3.90181,0.82928,3
3.38995,1.27868,3
3.75813,0.5789,3
3.34056,1.53869,3
3.52016,1.3493,3
3.56955,1.3814,3
3.78058,0.90953,3
3.57853,1.31078,3
0,1.58042,5
1.88131,1.56116,5
0,1.65104,5
1.71069,1.56116,5
1.61191,2.17106,5
0,3.0185,5
0,1.8308,5
0,3.04097,5
0,1.76018,5
2.68053,3.5,5
0,1.40066,5
1.84988,1.85969,5
0.78126,1.74092,6
2.24051,1.61894,6
0,0.55964,6
0,2.09081,6
2.19112,1.66067,6
1.74212,1.53869,6
0,0.34136,6
2.38868,1.56116,6
0,2.25131,7
0,1.9913,7
2.2001,2.05871,7
0,2.68145,7
3.34056,1.23053,7
0,1.93994,7
0,1.86932,7
0,2.65898,7
0,1.82117,7
0,2.02019,7
0,2.73923,7
3.25974,2.21921,7
1.77804,1.78907,7
0,1.97846,7
0,1.7987,7
0,2.51132,7
0,2.00093,7
0,2.08118,7
0,2.42144,7
0,1.9913,7
1.83192,1.31078,7
0,1.1888,7
0,2.88047,7
0,2.54021,7
0,2.79059,7
0,2.34119,7
