@relation glass

@attribute Mg numeric
@attribute Ca numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
3.57853,10.17516,1
3.60996,8.23836,1
3.81201,9.69096,1
3.53812,8.75484,1
3.47975,8.43204,1
3.53812,8.4428,1
3.65037,9.85236,1
3.55159,8.51812,1
3.5022,8.5504,1
3.47975,9.00232,1
3.82099,9.5726,1
3.52016,8.53964,1
3.83895,9.74476,1
3.34954,8.90548,1
2.84217,9.06688,1
2.86911,9.0346,1
3.65935,8.56116,1
3.38995,8.59344,1
2.81074,9.02384,1
3.47975,8.43204,1
3.72221,10.568,1
3.69078,8.21684,1
3.48873,8.48584,1
3.57853,8.30292,1
4.49,8.75484,1
3.52914,8.77636,1
3.65037,9.85236,1
3.43036,8.75484,1
3.46179,8.08772,1
3.60098,8.39976,1
3.47077,8.34596,1
3.33158,9.1422,1
3.74017,8.03392,1
3.57853,8.66876,1
3.73119,8.89472,1
3.56057,8.37824,1
3.55159,7.77568,1
3.57853,9.82008,1
3.47975,8.67952,1
3.60098,7.82948,1
3.61894,8.75484,1
3.37199,8.83016,1
3.53812,8.52888,1
3.47975,8.43204,1
3.60996,8.0662,1
3.5022,8.43204,1
3.69976,9.82008,1
3.592,8.4966,1
3.53812,8.389,1
3.56057,8.69028,1
3.61894,8.0662,1
3.56955,8.59344,1
3.43036,8.04468,1
3.42138,8.63648,1
3.592,9.40044,1
2.71196,9.05612,1
3.8614,9.54032,1
3.47975,8.56116,1
3.74915,9.00232,1
3.44832,8.57192,1
3.84793,9.15296,1
3.7716,10.2452,1
3.82099,9.5726,1
0,13.24176,2
3.44832,7.86176,2
2.08785,9.5726,2
2.95891,8.78712,2
2.90054,10.78848,2
0,13.29556,2
3.48873,8.03392,2
2.72094,9.22828,2
3.6818,7.88328,2
3.592,7.82948,2
3.15198,11.63852,2
3.52016,7.93708,2
3.47975,8.07696,2
2.28092,9.85236,2
3.57853,8.04468,2
3.25076,8.89472,2
3.52016,8.04468,2
3.61894,9.13144,2
3.62792,8.41052,2
3.87038,8.32444,2
3.52016,7.9048,2
3.5022,8.12,2
1.35149,10.56252,2
0,10.99292,2
3.90181,8.4428,2
3.34056,8.21684,2
3.66833,8.67952,2
3.88834,8.2814,2
3.56955,7.89404,2
3.43036,8.6042,2
3.6818,8.51812,2
0,14.6836,2
3.08912,7.07628,2
3.48873,8.07696,2
3.47077,8.18456,2
0,14.40384,2
2.87809,8.53964,2
3.57853,7.9586,2
3.53812,8.03392,2
3.56057,7.99088,2
3.53812,8.09848,2
3.57853,8.20608,2
3.97814,8.15228,2
2.76135,9.42196,2
3.52016,7.96936,2
3.96916,8.43204,2
0,11.52016,2
3.60996,8.6042,2
0,14.96336,2
2.85115,8.78712,2
3.47975,7.99088,2
3.43934,8.27064,2
3.33158,8.23836,2
3.52016,7.96936,2
3.82997,8.20608,2
3.61894,8.10924,2
1.01025,11.14356,2
0,13.43544,2
0,16.19,2
3.55159,8.09848,2
3.92875,8.20608,2
3.53812,8.10924,2
3.79854,8.37824,2
3.84793,8.12,2
3.75813,8.42128,2
3.66833,7.35604,2
3.56057,7.9048,2
3.90181,8.31368,2
3.75813,9.64792,3
3.39893,8.32444,3
3.65037,8.927,3
3.40791,8.78712,3
3.52914,8.3352,3
3.35852,8.80864,3
3.53812,8.89472,3
3.90181,9.48652,3
3.38995,8.64724,3
3.44832,8.37824,3
3.65935,8.6042,3
3.52016,8.52888,3
3.34056,8.99156,3
3.78058,9.1422,3
3.57853,8.78712,3
0,12.24108,5
1.88131,11.41256,5
0,11.53092,5
0.32777,11.27268,5
1.61191,9.70172,5
1.71069,11.617,5
0,10.17516,5
0,6.95792,5
0,11.31572,5
2.68053,5.87116,5
0,12.49932,5
1.84988,10.08908,5
0.78126,9.9492,6
2.41113,9.76628,6
0,11.21888,6
0,10.88532,6
2.24051,9.26056,6
1.74212,7.59276,6
0,6.64588,6
2.38868,9.5726,6
0,8.3352,7
0,8.39976,7
2.2001,9.75552,7
0,9.06688,7
3.34056,8.83016,7
0,8.47508,7
0,8.66876,7
0,9.07764,7
0,6.47372,7
0,8.4428,7
0,9.4112,7
3.25974,5.78508,7
1.77804,8.66876,7
0,8.51812,7
0,8.61496,7
0,8.83016,7
0,8.52888,7
0,8.7118,7
0,8.389,7
0,8.2814,7
0,8.61496,7
0,8.927,7
0,8.94852,7
3.20137,5.43,7
0,9.04536,7
0,8.75484,7
