@relation tae

@attribute Instructor numeric
@attribute Class {1,2,3}

@data
2,1
5,1
16,1
7,1
22,1
10,1
14,1
18,1
16,1
15,1
10,1
14,1
13,1
23,1
11,1
7,1
17,1
5,1
21,1
15,1
2,1
20,1
23,1
12,1
20,1
3,1
13,1
3,1
22,1
22,1
11,1
18,1
8,1
5,1
4,1
13,1
16,1
13,1
18,1
8,1
23,1
19,1
14,1
5,1
18,2
8,2
7,2
15,2
17,2
22,2
13,2
6,2
2,2
22,2
7,2
14,2
6,2
9,2
1,2
1,2
24,2
25,2
23,2
22,2
1,2
6,2
7,2
13,2
23,2
6,2
22,2
20,2
2,2
13,2
9,2
25,2
22,2
6,2
11,2
7,2
9,2
20,2
7,2
25,2
8,2
7,2
14,2
23,2
22,2
23,3
10,3
10,3
18,3
13,3
22,3
23,3
9,3
13,3
23,3
10,3
18,3
18,3
18,3
6,3
7,3
23,3
23,3
15,3
17,3
15,3
13,3
13,3
13,3
22,3
23,3
7,3
17,3
23,3
8,3
23,3
23,3
6,3
14,3
15,3
22,3
9,3
1,3
10,3
5,3
16,3
23,3
9,3
20,3
13,3
14,3
9,3
