@relation vehicle

@attribute Max_length_aspect_ratio numeric
@attribute Minor_variance numeric
@attribute Class {van,saab,bus,opel}

@data
8,253,van
11,365,van
7,249,van
7,261,van
10,334,van
8,258,van
6,195,van
11,363,van
5,204,van
8,289,van
8,307,van
9,345,van
10,379,van
9,268,van
8,307,van
7,275,van
8,283,van
8,249,van
7,212,van
5,212,van
9,326,van
10,359,van
10,312,van
7,278,van
11,376,van
2,208,van
10,265,van
10,349,van
7,237,van
10,351,van
11,371,van
11,368,van
10,351,van
9,268,van
10,367,van
55,289,van
5,209,van
6,227,van
8,243,van
8,256,van
9,262,van
11,366,van
11,375,van
6,218,van
9,319,van
9,339,van
10,352,van
9,339,van
7,242,van
11,338,van
9,313,van
9,238,van
10,354,van
10,371,van
6,200,van
11,369,van
10,365,van
11,373,van
8,290,van
9,311,van
9,280,van
10,351,van
10,363,van
7,223,van
8,253,van
9,258,van
10,317,van
11,362,van
8,253,van
8,265,van
8,265,van
8,294,van
9,323,van
8,241,van
3,204,van
11,354,van
8,294,van
7,262,van
10,363,van
6,223,van
10,345,van
11,365,van
7,251,van
8,309,van
9,334,van
5,219,van
4,205,van
11,381,van
11,355,van
8,300,van
9,316,van
8,305,van
10,354,van
8,331,van
6,275,van
8,281,van
8,284,van
7,278,van
8,301,van
9,305,van
6,209,van
9,358,van
5,207,van
6,211,van
11,374,van
10,367,van
10,364,van
6,255,van
10,339,van
5,221,van
49,346,van
8,279,van
8,318,van
9,363,van
7,247,van
11,372,van
9,324,van
11,366,van
9,333,van
7,259,van
11,350,van
7,250,van
6,206,van
7,284,van
7,225,van
8,281,van
6,253,van
9,359,van
10,351,van
9,356,van
7,272,van
10,355,van
11,367,van
10,357,van
11,352,van
9,314,van
11,387,van
11,369,van
11,362,van
48,364,van
5,241,van
7,277,van
8,260,van
12,354,van
43,347,van
9,309,van
8,251,van
6,222,van
10,389,van
7,246,van
7,249,van
5,194,van
8,269,van
7,240,van
10,308,van
9,281,van
6,243,van
49,354,van
6,273,van
5,213,van
7,261,van
6,196,van
9,237,van
8,279,van
4,208,van
11,366,van
12,358,van
11,356,van
7,280,van
7,254,van
46,332,van
10,348,van
10,264,van
10,367,van
25,296,van
8,246,van
5,207,van
10,355,van
11,354,van
6,203,van
4,220,saab
10,492,saab
10,600,saab
7,327,saab
9,511,saab
12,712,saab
11,608,saab
10,711,saab
5,319,saab
9,430,saab
5,230,saab
7,452,saab
9,415,saab
5,266,saab
8,349,saab
11,707,saab
8,298,saab
11,677,saab
11,673,saab
11,650,saab
9,578,saab
11,703,saab
5,333,saab
8,486,saab
12,691,saab
8,427,saab
11,545,saab
10,518,saab
8,430,saab
4,268,saab
12,668,saab
11,663,saab
12,694,saab
11,704,saab
10,664,saab
7,246,saab
4,245,saab
5,344,saab
11,639,saab
12,684,saab
10,576,saab
7,335,saab
7,314,saab
8,353,saab
9,584,saab
9,527,saab
7,298,saab
9,373,saab
12,627,saab
8,351,saab
11,688,saab
9,415,saab
8,293,saab
10,635,saab
10,489,saab
6,265,saab
10,586,saab
4,193,saab
11,669,saab
6,385,saab
9,457,saab
10,533,saab
6,337,saab
8,458,saab
11,665,saab
5,260,saab
9,613,saab
9,526,saab
10,635,saab
12,674,saab
12,712,saab
11,648,saab
