@relation vehicle

@attribute Compactness numeric
@attribute Minor_variance numeric
@attribute Major_kurtosis numeric
@attribute Class {van,saab,bus,opel}

@data
104,635,188,saab
101,651,186,opel
102,570,195,bus
80,314,180,saab
87,402,198,opel
97,732,186,opel
77,315,181,opel
109,712,188,saab
85,324,180,bus
89,266,184,saab
98,261,186,van
88,230,184,saab
93,240,189,van
91,335,193,opel
98,665,186,opel
88,379,193,bus
86,340,181,bus
101,681,185,opel
94,444,201,opel
90,336,192,bus
88,363,184,van
100,731,188,opel
93,354,184,van
91,361,195,saab
106,681,188,saab
90,492,191,saab
82,328,187,bus
105,718,187,saab
87,322,180,bus
106,494,202,opel
89,352,184,van
102,728,189,opel
88,319,180,saab
87,366,190,opel
95,425,191,saab
84,317,183,bus
104,694,190,saab
82,229,180,saab
98,413,200,bus
91,305,186,saab
98,650,189,opel
90,376,183,van
91,308,191,van
106,602,194,opel
100,517,198,bus
105,735,186,bus
94,418,191,opel
88,395,192,opel
109,630,192,opel
98,367,194,van
108,855,186,bus
85,324,179,bus
89,312,191,opel
101,458,197,saab
85,325,180,bus
85,200,196,van
96,534,195,bus
93,290,201,van
97,247,184,van
96,339,192,van
96,525,193,saab
90,389,185,van
110,659,190,saab
94,358,190,van
97,596,192,bus
108,576,194,saab
92,363,198,bus
106,693,188,opel
100,587,187,saab
94,361,199,bus
96,354,194,van
85,341,181,bus
94,351,182,van
106,838,185,bus
81,330,182,bus
97,677,185,opel
90,354,182,van
81,335,180,bus
90,375,185,van
95,314,199,van
86,358,183,opel
92,382,186,saab
94,373,193,saab
86,270,190,saab
85,212,186,van
