@relation vehicle

@attribute Compactness numeric
@attribute Distance_circularity numeric
@attribute Praxis_rectangular numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
91,66,18,197,van
84,70,18,202,van
88,58,18,206,van
94,68,18,196,van
89,89,19,199,van
89,60,17,199,van
89,81,20,193,van
85,66,17,190,van
94,66,18,201,van
88,64,18,210,van
89,74,18,193,van
94,82,19,197,van
90,66,18,202,van
85,51,17,184,van
100,90,20,200,van
98,68,18,187,van
93,88,19,206,van
86,76,18,196,van
91,82,19,201,van
88,84,19,196,van
89,84,19,200,van
88,53,17,183,van
89,58,17,206,van
85,73,18,199,van
90,78,20,192,van
89,84,20,197,van
88,85,20,195,van
90,85,20,195,van
90,63,18,204,van
97,62,18,186,van
98,66,18,194,van
91,78,19,200,van
93,78,18,208,van
83,59,18,183,van
90,85,20,195,van
87,53,17,183,van
94,72,18,195,van
84,80,20,193,van
83,53,18,183,van
94,66,18,208,van
89,77,19,200,van
96,58,18,182,van
91,70,18,194,van
89,68,18,196,van
89,76,20,193,van
91,88,19,207,van
83,49,17,184,van
92,70,18,185,van
93,84,20,195,van
93,70,18,190,van
90,86,19,194,van
86,66,17,208,van
88,84,20,195,van
96,88,19,199,van
93,64,18,185,van
92,60,17,194,van
93,85,19,204,van
93,63,18,201,van
86,58,17,194,van
97,88,20,200,van
97,87,20,202,van
97,66,18,200,van
93,62,18,184,van
88,51,17,183,van
90,62,18,208,van
89,85,20,193,van
90,72,18,203,van
87,64,18,201,van
89,84,20,192,van
90,57,18,182,van
88,66,17,198,van
98,68,18,186,van
93,70,18,190,van
91,64,18,201,van
85,57,17,202,van
86,62,17,204,van
100,85,20,196,van
88,55,18,183,van
86,70,18,202,van
89,81,20,192,van
82,70,18,199,van
94,85,19,196,van
95,85,19,204,van
96,77,18,208,van
87,66,18,196,van
91,76,18,192,van
94,87,20,195,van
94,87,20,194,van
98,70,18,185,van
86,68,18,201,van
92,58,17,203,van
85,47,17,184,van
93,73,18,188,van
95,88,20,198,van
87,81,19,198,van
94,81,19,202,van
96,80,19,207,van
93,78,18,210,van
95,82,19,207,van
94,83,19,196,van
88,80,19,197,van
92,66,19,183,van
85,64,17,203,van
89,68,18,209,van
85,68,18,187,van
93,79,19,203,van
85,80,19,199,van
94,84,20,191,van
93,90,19,203,van
87,81,19,199,van
90,72,18,209,van
92,82,19,206,van
94,91,20,200,van
93,82,20,194,van
93,85,19,196,van
87,64,18,201,van
94,82,20,192,van
97,91,19,205,van
89,70,18,187,van
86,75,20,192,van
91,80,19,199,van
96,88,19,202,van
90,85,20,192,van
84,53,17,183,van
85,71,19,196,van
90,81,19,196,van
85,82,20,193,van
92,66,18,184,van
95,92,20,200,van
91,66,18,194,van
86,69,18,195,van
94,68,18,196,van
90,85,19,196,van
85,68,18,203,van
90,81,19,195,van
94,85,20,199,van
89,66,18,191,van
98,88,20,202,van
89,74,20,191,van
86,62,17,208,van
96,64,18,184,van
95,84,19,206,van
89,85,19,197,van
96,85,19,202,van
90,75,20,192,van
95,83,20,197,van
90,73,20,191,van
90,77,20,191,van
94,87,20,194,van
92,62,17,210,van
96,87,19,201,van
89,80,20,193,van
93,83,20,197,van
90,73,20,193,van
89,63,17,188,van
86,44,17,183,van
89,83,20,194,van
95,76,20,193,van
94,85,20,195,van
89,51,17,185,van
93,64,18,204,van
93,85,19,196,van
96,70,18,183,van
89,85,19,196,van
89,85,19,197,van
90,78,20,192,van
95,82,20,191,van
86,58,17,186,van
91,84,19,199,van
89,70,17,207,van
86,60,17,190,van
93,85,20,195,van
91,77,18,209,van
89,77,20,191,van
88,76,18,209,van
93,82,19,207,van
85,75,20,191,van
89,78,20,194,van
95,66,18,183,van
104,108,25,203,saab
119,106,24,202,saab
110,104,24,203,saab
96,69,18,209,saab
107,103,25,197,saab
