@relation vehicle

@attribute Max_length_aspect_ratio numeric
@attribute Elongatedness numeric
@attribute Class {van,saab,bus,opel}

@data
8,50,van
10,44,van
9,45,van
7,49,van
10,43,van
8,52,van
10,43,van
9,44,van
11,44,van
10,43,van
11,43,van
6,57,van
8,48,van
6,52,van
7,51,van
10,44,van
6,54,van
6,55,van
6,49,van
49,43,van
9,44,van
8,46,van
9,49,van
11,43,van
10,44,van
46,45,van
10,43,van
8,47,van
10,43,van
11,43,van
9,46,van
4,57,van
5,57,van
25,47,van
5,53,van
9,48,van
12,43,van
8,47,van
7,55,van
8,52,van
9,50,van
5,57,van
10,44,van
9,50,van
5,56,van
8,53,van
10,44,van
9,45,van
6,51,van
9,50,van
10,43,van
12,44,van
9,50,van
7,52,van
8,48,van
5,55,van
10,44,van
9,53,van
5,58,van
9,46,van
9,43,van
9,46,van
11,44,van
6,53,van
11,43,van
8,44,van
7,50,van
49,44,van
9,43,van
10,46,van
10,46,van
8,50,van
7,49,van
7,50,van
7,49,van
8,48,van
8,46,van
4,57,van
10,50,van
7,48,van
11,44,van
3,57,van
7,53,van
8,50,van
9,44,van
5,55,van
9,45,van
8,49,van
9,45,van
48,43,van
9,44,van
8,48,van
6,56,van
10,43,van
6,58,van
10,43,van
7,50,van
9,45,van
9,46,van
11,43,van
11,44,van
7,54,van
8,48,van
6,56,van
10,44,van
7,54,van
7,51,van
11,43,van
6,58,van
5,57,van
9,46,van
10,44,van
8,49,van
10,42,van
9,45,van
10,50,van
11,43,van
8,47,van
7,51,van
6,52,van
9,48,van
9,45,van
10,46,van
7,52,van
8,46,van
8,51,van
11,43,van
9,53,van
11,43,van
10,42,van
6,57,van
5,56,van
11,42,van
11,43,van
11,43,van
11,43,van
9,46,van
10,44,van
11,43,van
8,48,van
11,44,van
7,52,van
10,43,van
7,52,van
8,46,van
8,50,van
55,48,van
8,51,van
7,49,van
11,43,van
7,51,van
8,52,van
3,57,van
7,53,van
7,52,van
11,43,van
6,49,van
8,51,van
9,45,van
6,57,van
7,54,van
7,52,van
8,52,van
6,52,van
10,45,van
10,44,van
7,53,van
11,42,van
11,43,van
10,43,van
11,43,van
2,57,van
